Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.92,1.93,1.83,1.87,1.87,469800,
2020-01-03,1.84,1.856,1.75,1.84,1.84,452400,-0.016042780748663166
2020-01-06,1.84,1.9,1.76,1.87,1.87,466400,0.016304347826086918
2020-01-07,1.87,1.89,1.81,1.85,1.85,271800,-0.010695187165775444
2020-01-08,1.85,1.87,1.78,1.86,1.86,389800,0.00540540540540535
2020-01-09,1.85,1.93,1.83,1.86,1.86,1180900,0.0
2020-01-10,2.27,2.38,1.97,2.18,2.18,7599800,0.17204301075268824
2020-01-13,2.2,2.23,2.03,2.11,2.11,1096500,-0.03211009174311941
2020-01-14,2.12,2.13,1.94,1.99,1.99,1059900,-0.056872037914691864
2020-01-15,1.99,2.07,1.91,1.98,1.98,617700,-0.005025125628140725
2020-01-16,1.98,2.03,1.93,1.97,1.97,554100,-0.005050505050505083
2020-01-17,1.97,2.0,1.8,1.84,1.84,546800,-0.06598984771573602
2020-01-21,1.79,1.87,1.72,1.73,1.73,539000,-0.05978260869565222
2020-01-22,1.67,1.73,1.55,1.72,1.72,672600,-0.005780346820809301
2020-01-23,1.73,1.74,1.58,1.6,1.6,536600,-0.06976744186046502
2020-01-24,1.61,1.62,1.52,1.57,1.57,1010200,-0.018750000000000044
2020-01-27,1.52,1.55,1.431,1.47,1.47,329600,-0.06369426751592366
2020-01-28,1.5,1.5,1.41,1.43,1.43,751000,-0.027210884353741527
2020-01-29,1.44,1.48,1.33,1.36,1.36,523800,-0.04895104895104885
2020-01-30,1.35,1.4,1.28,1.32,1.32,543400,-0.02941176470588236
2020-01-31,1.31,1.32,1.21,1.24,1.24,499800,-0.06060606060606066
2020-02-03,1.25,1.3,1.24,1.28,1.28,384000,0.032258064516129004
2020-02-04,1.29,1.4,1.28,1.37,1.37,727300,0.0703125
2020-02-05,1.41,1.45,1.36,1.39,1.39,816300,0.014598540145985162
2020-02-06,1.39,1.46,1.34,1.36,1.36,2152300,-0.021582733812949506
2020-02-07,1.33,1.37,1.25,1.28,1.28,327900,-0.05882352941176472
2020-02-10,1.28,1.29,1.2,1.27,1.27,192900,-0.0078125
2020-02-11,1.26,1.4,1.24,1.37,1.37,444700,0.07874015748031504
2020-02-12,1.46,1.5,1.37,1.38,1.38,482000,0.007299270072992581
2020-02-13,1.38,1.43,1.336,1.38,1.38,237600,0.0
2020-02-14,1.39,1.46,1.35,1.35,1.35,290900,-0.021739130434782483
2020-02-18,1.33,1.36,1.3,1.33,1.33,2033100,-0.014814814814814836
2020-02-19,1.34,1.36,1.28,1.29,1.29,272800,-0.03007518796992481
2020-02-20,1.29,1.4,1.29,1.34,1.34,2900000,0.03875968992248069
2020-02-21,1.36,1.46,1.35,1.45,1.45,399300,0.08208955223880587
2020-02-24,1.42,1.46,1.36,1.43,1.43,461300,-0.01379310344827589
2020-02-25,1.42,1.468,1.31,1.37,1.37,1484100,-0.04195804195804187
2020-02-26,1.4,1.44,1.21,1.23,1.23,767100,-0.10218978102189791
2020-02-27,1.23,1.24,1.03,1.14,1.14,1316400,-0.07317073170731714
2020-02-28,1.08,1.29,1.08,1.14,1.14,845700,0.0
2020-03-02,1.17,1.29,1.13,1.26,1.26,386500,0.10526315789473695
2020-03-03,1.25,1.28,1.15,1.15,1.15,289900,-0.08730158730158732
2020-03-04,1.16,1.25,1.13,1.24,1.24,280500,0.07826086956521738
2020-03-05,1.2,1.25,1.13,1.15,1.15,243000,-0.07258064516129037
2020-03-06,1.13,1.19,1.1,1.11,1.11,196700,-0.03478260869565197
2020-03-09,1.04,1.092,0.98,0.99,0.99,355600,-0.10810810810810823
2020-03-10,1.0,1.063,0.96,1.03,1.03,377100,0.04040404040404044
2020-03-11,1.01,1.07,0.95,1.06,1.06,558500,0.029126213592232997
2020-03-12,0.97,1.05,0.905,1.04,1.04,768700,-0.018867924528301883
2020-03-13,1.08,1.08,0.9,0.928,0.928,337500,-0.10769230769230764
2020-03-16,0.88,0.9,0.821,0.875,0.875,272900,-0.05711206896551724
2020-03-17,0.9,0.97,0.833,0.915,0.915,315100,0.04571428571428582
2020-03-18,0.898,0.909,0.72,0.75,0.75,258400,-0.180327868852459
2020-03-19,0.752,0.85,0.7,0.825,0.825,325100,0.09999999999999987
2020-03-20,0.844,0.967,0.821,0.9,0.9,959700,0.09090909090909105
2020-03-23,0.903,0.93,0.85,0.913,0.913,210300,0.014444444444444482
2020-03-24,0.95,1.0,0.92,1.0,1.0,193700,0.095290251916758
2020-03-25,1.0,1.1,0.957,1.09,1.09,333800,0.09000000000000008
2020-03-26,1.12,1.17,1.061,1.17,1.17,225500,0.07339449541284382
2020-03-27,1.15,1.15,1.1,1.13,1.13,114200,-0.03418803418803418
2020-03-30,1.12,1.12,1.0,1.02,1.02,233800,-0.09734513274336276
2020-03-31,1.0,1.17,1.0,1.04,1.04,249600,0.019607843137254832
2020-04-01,1.03,1.08,0.96,1.04,1.04,216100,0.0
2020-04-02,1.05,1.14,1.0,1.11,1.11,203400,0.06730769230769229
2020-04-03,1.11,1.19,1.08,1.1,1.1,568000,-0.009009009009009028
