Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,10.19,10.19,10.09,10.1,10.1,208700,
2020-01-03,10.09,10.11,10.09,10.1,10.1,192600,0.0
2020-01-06,10.1,10.12,10.09,10.1,10.1,52500,0.0
2020-01-07,10.11,10.12,10.09,10.11,10.11,141100,0.000990099009900991
2020-01-08,10.13,10.13,10.11,10.11,10.11,32400,0.0
2020-01-09,10.13,10.14,10.12,10.13,10.13,734100,0.001978239366963619
2020-01-10,10.15,10.15,10.14,10.15,10.15,1140300,0.001974333662388972
2020-01-13,10.16,10.17,10.101,10.15,10.15,76200,0.0
2020-01-14,10.17,10.19,10.15,10.15,10.15,2203300,0.0
2020-01-15,10.16,10.17,10.14,10.15,10.15,370700,0.0
2020-01-16,10.16,10.16,10.14,10.155,10.155,328300,0.0004926108374383453
2020-01-17,10.16,10.16,10.15,10.15,10.15,230900,-0.000492368291481915
2020-01-21,10.16,10.16,10.13,10.15,10.15,25600,0.0
2020-01-22,10.13,10.16,10.12,10.14,10.14,758100,-0.0009852216748768017
2020-01-23,10.16,10.16,10.13,10.14,10.14,500400,0.0
2020-01-24,10.12,10.15,10.1,10.14,10.14,647700,0.0
2020-01-27,10.1,10.15,10.1,10.14,10.14,59000,0.0
2020-01-28,10.11,10.16,10.11,10.16,10.16,13700,0.0019723865877712132
2020-01-29,10.14,10.16,10.12,10.15,10.15,1464400,-0.0009842519685039353
2020-01-30,10.11,10.16,10.11,10.14,10.14,940500,-0.0009852216748768017
2020-01-31,10.14,10.14,10.11,10.12,10.12,1700,-0.0019723865877713243
2020-02-03,10.13,10.15,10.1,10.11,10.11,39200,-0.0009881422924901129
2020-02-04,10.1,10.16,10.1,10.16,10.16,98000,0.004945598417408492
2020-02-05,10.16,10.19,10.16,10.19,10.19,503700,0.0029527559055118058
2020-02-06,10.16,10.19,10.16,10.19,10.19,87300,0.0
2020-02-07,10.16,10.16,10.16,10.16,10.16,100,-0.0029440628066731422
2020-02-10,10.16,10.19,10.16,10.19,10.19,42000,0.0029527559055118058
2020-02-11,10.18,10.18,10.16,10.16,10.16,18700,-0.0029440628066731422
2020-02-12,10.18,10.18,10.155,10.18,10.18,8300,0.0019685039370078705
2020-02-13,10.33,10.44,10.26,10.35,10.35,4042900,0.016699410609037235
2020-02-14,10.308,10.34,10.285,10.32,10.32,132400,-0.0028985507246376274
2020-02-18,10.34,10.34,10.3,10.32,10.32,119200,0.0
2020-02-19,10.31,10.395,10.31,10.33,10.33,874800,0.0009689922480620172
2020-02-20,10.34,10.35,10.32,10.33,10.33,56000,0.0
2020-02-21,10.34,10.34,10.3,10.32,10.32,324700,-0.0009680542110358514
2020-02-24,10.318,10.34,10.28,10.29,10.29,321200,-0.0029069767441861627
2020-02-25,10.3,10.31,10.28,10.3,10.3,562000,0.0009718172983481654
2020-02-26,10.3,10.3,10.25,10.26,10.26,8700,-0.003883495145631133
2020-02-27,10.22,10.3,10.18,10.27,10.27,101600,0.0009746588693957392
2020-02-28,10.24,10.25,10.2,10.2,10.2,50000,-0.006815968841285325
2020-03-02,10.2,10.23,10.17,10.17,10.17,19500,-0.002941176470588225
2020-03-03,10.18,10.25,10.18,10.18,10.18,136100,0.000983284169124854
2020-03-04,10.225,10.245,10.18,10.22,10.22,42600,0.003929273084479545
2020-03-05,10.34,10.34,10.17,10.2,10.2,97300,-0.001956947162426781
2020-03-06,10.2,10.2,10.2,10.2,10.2,0,0.0
2020-03-09,10.11,10.11,10.05,10.1,10.1,2649500,-0.009803921568627416
2020-03-10,10.15,10.17,10.14,10.17,10.17,600,0.006930693069306937
2020-03-11,10.11,10.125,10.05,10.11,10.11,89400,-0.005899705014749346
2020-03-12,10.0,10.05,10.0,10.01,10.01,11600,-0.009891196834816984
2020-03-13,10.13,10.15,9.95,10.03,10.03,109900,0.0019980019980019303
2020-03-16,9.9,10.08,9.8,9.88,9.88,812800,-0.014955134596211228
2020-03-17,9.9,10.01,9.8,9.8,9.8,7700,-0.0080971659919028
2020-03-18,9.8,9.85,9.44,9.44,9.44,1214200,-0.03673469387755113
2020-03-19,9.5,9.69,9.2,9.41,9.41,1360400,-0.0031779661016948513
2020-03-20,9.76,9.892,9.5,9.5,9.5,32000,0.009564293304994642
2020-03-23,9.5,10.06,9.5,9.53,9.53,2000,0.0031578947368420263
2020-03-24,9.95,9.95,9.57,9.57,9.57,13100,0.0041972717733473885
2020-03-25,10.011,10.011,9.7,9.89,9.89,2000,0.03343782654127492
2020-03-26,9.81,9.87,9.8,9.85,9.85,92100,-0.004044489383215444
2020-03-27,9.85,9.94,9.83,9.87,9.87,253300,0.0020304568527917954
2020-03-30,9.98,9.99,9.83,9.9,9.9,5400,0.003039513677811634
2020-03-31,10.0,10.0,9.81,9.87,9.87,34000,-0.003030303030303161
2020-04-01,9.94,9.95,9.8,9.89,9.89,56200,0.0020263424518744966
2020-04-02,9.85,9.86,9.8,9.86,9.86,327200,-0.0030333670374116384
2020-04-03,9.86,9.86,9.8,9.82,9.82,102100,-0.0040567951318457585
