Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.87,2.24,1.83,1.95,1.95,221500,
2020-01-03,1.98,2.13,1.81,1.9,1.9,141700,-0.02564102564102566
2020-01-06,1.86,1.981,1.72,1.78,1.78,58300,-0.06315789473684208
2020-01-07,1.79,1.92,1.64,1.8,1.8,79700,0.011235955056179803
2020-01-08,1.8,1.94,1.791,1.91,1.91,35600,0.061111111111111116
2020-01-09,1.91,1.972,1.81,1.89,1.89,42900,-0.010471204188481686
2020-01-10,1.88,1.95,1.8,1.84,1.84,44600,-0.026455026455026398
2020-01-13,1.91,1.95,1.7,1.7,1.7,42900,-0.07608695652173925
2020-01-14,1.72,1.88,1.72,1.85,1.85,57800,0.08823529411764719
2020-01-15,1.88,1.89,1.61,1.72,1.72,146500,-0.07027027027027033
2020-01-16,1.75,1.8,1.73,1.79,1.79,34800,0.04069767441860472
2020-01-17,1.8,1.945,1.79,1.85,1.85,92800,0.033519553072625774
2020-01-21,1.9,1.918,1.8,1.82,1.82,55900,-0.016216216216216273
2020-01-22,1.82,1.96,1.82,1.86,1.86,67900,0.0219780219780219
2020-01-23,1.87,1.9,1.8,1.86,1.86,31900,0.0
2020-01-24,1.87,1.905,1.77,1.78,1.78,35800,-0.043010752688172116
2020-01-27,1.78,1.78,1.61,1.71,1.71,56200,-0.0393258426966292
2020-01-28,1.72,1.75,1.69,1.71,1.71,64000,0.0
2020-01-29,1.75,1.94,1.55,1.57,1.57,327000,-0.08187134502923976
2020-01-30,1.61,1.61,1.33,1.41,1.41,223900,-0.1019108280254778
2020-01-31,1.39,1.43,1.33,1.37,1.37,139500,-0.028368794326240954
2020-02-03,1.4,1.4,1.22,1.31,1.31,138600,-0.04379562043795626
2020-02-04,1.3,1.31,1.3,1.31,1.31,60800,0.0
2020-02-05,1.31,1.35,1.17,1.33,1.33,141700,0.01526717557251911
2020-02-06,1.35,1.39,1.3,1.35,1.35,46600,0.015037593984962516
2020-02-07,1.31,1.336,1.26,1.26,1.26,41800,-0.06666666666666676
2020-02-10,1.26,1.29,1.08,1.2,1.2,161800,-0.04761904761904767
2020-02-11,1.17,1.34,1.17,1.31,1.31,115900,0.09166666666666679
2020-02-12,1.32,1.35,1.28,1.31,1.31,59700,0.0
2020-02-13,1.31,1.38,1.29,1.35,1.35,110100,0.03053435114503822
2020-02-14,1.36,1.53,1.33,1.4,1.4,167500,0.03703703703703698
2020-02-18,1.4,1.5,1.36,1.47,1.47,41100,0.050000000000000044
2020-02-19,1.51,1.51,1.38,1.41,1.41,83100,-0.04081632653061229
2020-02-20,1.45,1.45,1.31,1.38,1.38,92700,-0.021276595744680882
2020-02-21,1.39,1.45,1.27,1.32,1.32,77400,-0.04347826086956508
2020-02-24,1.38,1.38,1.21,1.26,1.26,97100,-0.045454545454545525
2020-02-25,1.28,1.3,1.165,1.21,1.21,54300,-0.039682539682539764
2020-02-26,1.17,1.25,1.15,1.16,1.16,67700,-0.04132231404958686
2020-02-27,1.11,1.29,1.1,1.28,1.28,121100,0.10344827586206917
2020-02-28,1.32,1.32,1.15,1.15,1.15,130400,-0.10156250000000011
2020-03-02,1.19,1.19,1.15,1.17,1.17,48400,0.01739130434782621
2020-03-03,1.23,1.237,1.09,1.11,1.11,102600,-0.0512820512820511
2020-03-04,1.09,1.18,1.07,1.13,1.13,105100,0.018018018018017834
2020-03-05,1.13,1.14,1.07,1.08,1.08,96000,-0.044247787610619316
2020-03-06,1.15,1.15,1.01,1.02,1.02,104800,-0.05555555555555558
2020-03-09,1.0,1.0,0.89,0.94,0.94,98200,-0.07843137254901966
2020-03-10,0.95,1.0,0.882,0.906,0.906,89600,-0.03617021276595733
2020-03-11,0.9,0.945,0.85,0.878,0.878,101900,-0.030905077262693204
2020-03-12,0.814,0.86,0.75,0.78,0.78,91800,-0.11161731207289294
2020-03-13,0.783,0.935,0.752,0.935,0.935,58900,0.19871794871794868
2020-03-16,0.94,1.21,0.878,0.969,0.969,165000,0.036363636363636376
2020-03-17,1.01,1.11,0.847,1.11,1.11,113500,0.14551083591331282
2020-03-18,1.15,1.15,0.75,0.776,0.776,63100,-0.30090090090090094
2020-03-19,0.78,0.94,0.75,0.94,0.94,72900,0.21134020618556693
2020-03-20,0.81,1.0,0.81,0.86,0.86,132000,-0.08510638297872342
2020-03-23,0.94,0.98,0.82,0.82,0.82,65900,-0.04651162790697683
2020-03-24,0.93,0.944,0.806,0.9,0.9,55200,0.09756097560975618
2020-03-25,0.889,1.0,0.879,0.955,0.955,70200,0.061111111111111116
2020-03-26,0.95,1.45,0.95,1.12,1.12,225100,0.17277486910994777
2020-03-27,1.12,1.16,0.802,0.81,0.81,92800,-0.2767857142857143
2020-03-30,0.86,1.1,0.86,0.93,0.93,175700,0.14814814814814814
2020-03-31,0.9,0.94,0.88,0.93,0.93,112300,0.0
2020-04-01,0.85,0.936,0.798,0.798,0.798,143200,-0.14193548387096777
2020-04-02,0.81,0.89,0.8,0.87,0.87,74200,0.09022556390977443
2020-04-03,0.86,0.88,0.78,0.79,0.79,103200,-0.09195402298850575
