Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,10.34,10.35,10.33,10.35,10.35,7500,
2020-01-03,10.35,10.35,10.35,10.35,10.35,2500,0.0
2020-01-06,10.36,10.36,10.36,10.36,10.36,1000,0.0009661835748790981
2020-01-07,10.36,10.38,10.36,10.36,10.36,57000,0.0
2020-01-08,10.37,10.37,10.37,10.37,10.37,3000,0.0009652509652509078
2020-01-09,10.37,10.37,10.37,10.37,10.37,0,0.0
2020-01-10,10.37,10.37,10.37,10.37,10.37,0,0.0
2020-01-13,10.37,10.37,10.37,10.37,10.37,0,0.0
2020-01-14,10.37,10.37,10.37,10.37,10.37,0,0.0
2020-01-15,10.37,10.37,10.37,10.37,10.37,0,0.0
2020-01-16,10.36,10.36,10.36,10.36,10.36,20100,-0.0009643201542911539
2020-01-17,10.36,10.36,10.36,10.36,10.36,0,0.0
2020-01-21,10.36,10.36,10.36,10.36,10.36,0,0.0
2020-01-22,10.4,10.4,10.4,10.4,10.4,100,0.0038610038610038533
2020-01-23,10.4,10.4,10.4,10.4,10.4,0,0.0
2020-01-24,10.39,10.39,10.39,10.39,10.39,3000,-0.0009615384615384581
2020-01-27,10.39,10.39,10.39,10.39,10.39,0,0.0
2020-01-28,10.39,10.39,10.39,10.39,10.39,0,0.0
2020-01-29,10.39,10.39,10.39,10.39,10.39,0,0.0
2020-01-30,10.39,10.39,10.39,10.39,10.39,0,0.0
2020-01-31,10.42,10.42,10.42,10.42,10.42,700,0.002887391722810273
2020-02-03,10.41,10.41,10.41,10.41,10.41,600,-0.0009596928982725794
2020-02-04,10.41,10.52,10.41,10.5,10.5,47100,0.008645533141210304
2020-02-05,10.5,10.5,10.47,10.5,10.5,31100,0.0
2020-02-06,10.5,10.5,10.5,10.5,10.5,300,0.0
2020-02-07,10.48,10.5,10.48,10.5,10.5,55800,0.0
2020-02-10,10.49,10.5,10.48,10.49,10.49,109500,-0.0009523809523809268
2020-02-11,10.5,10.5,10.49,10.5,10.5,105300,0.0009532888465204614
2020-02-12,10.5,10.5,10.5,10.5,10.5,6500,0.0
2020-02-13,10.48,10.48,10.41,10.46,10.46,304000,-0.003809523809523707
2020-02-14,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-02-18,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-02-19,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-02-20,10.46,10.46,10.46,10.46,10.46,100,0.0
2020-02-21,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-02-24,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-02-25,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-02-26,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-02-27,10.46,10.46,10.46,10.46,10.46,300,0.0
2020-02-28,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-03-02,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-03-03,10.46,10.46,10.46,10.46,10.46,1600,0.0
2020-03-04,10.46,10.46,10.46,10.46,10.46,0,0.0
2020-03-05,10.46,10.46,10.46,10.46,10.46,105700,0.0
2020-03-06,10.46,10.46,10.45,10.45,10.45,50400,-0.0009560229445507717
2020-03-09,10.45,10.45,10.45,10.45,10.45,0,0.0
2020-03-10,10.45,10.45,10.45,10.45,10.45,0,0.0
2020-03-11,10.45,10.45,10.45,10.45,10.45,0,0.0
2020-03-12,10.44,10.44,10.44,10.44,10.44,200,-0.000956937799043045
2020-03-13,10.41,10.41,10.4,10.4,10.4,102100,-0.003831417624520994
2020-03-16,10.38,10.38,10.38,10.38,10.38,6000,-0.0019230769230769162
2020-03-17,10.36,10.36,10.31,10.31,10.31,300000,-0.006743737957610851
2020-03-18,10.31,10.31,10.25,10.28,10.28,325900,-0.0029097963142581396
2020-03-19,10.26,10.3,10.26,10.28,10.28,31300,0.0
2020-03-20,10.31,10.31,10.31,10.31,10.31,4300,0.0029182879377434023
2020-03-23,10.35,10.35,10.34,10.35,10.35,1800,0.0038797284190106307
2020-03-24,10.33,10.4,10.33,10.38,10.38,560200,0.0028985507246377384
2020-03-25,10.43,10.45,10.43,10.45,10.45,900,0.00674373795761074
2020-03-26,10.4,10.44,10.4,10.44,10.44,200,-0.000956937799043045
2020-03-27,10.4,10.4,10.4,10.4,10.4,200,-0.003831417624520994
2020-03-30,10.39,10.46,10.39,10.46,10.46,300,0.005769230769230749
2020-03-31,10.5,10.5,10.5,10.5,10.5,10400,0.003824091778202643
2020-04-01,10.5,10.5,10.5,10.5,10.5,0,0.0
2020-04-02,10.5,10.5,10.5,10.5,10.5,0,0.0
2020-04-03,10.49,10.49,10.48,10.48,10.48,623600,-0.0019047619047618536
