Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.77,0.8,0.77,0.78,0.78,208400,
2020-01-03,0.81,0.83,0.79,0.81,0.81,177100,0.03846153846153855
2020-01-06,0.84,0.84,0.75,0.77,0.77,252700,-0.04938271604938271
2020-01-07,0.77,0.8,0.75,0.79,0.79,133500,0.025974025974025983
2020-01-08,0.79,0.8,0.77,0.77,0.77,205900,-0.025316455696202556
2020-01-09,0.77,0.77,0.75,0.77,0.77,75200,0.0
2020-01-10,0.79,0.79,0.71,0.73,0.73,338400,-0.051948051948051965
2020-01-13,0.71,0.76,0.7,0.74,0.74,118900,0.013698630136986356
2020-01-14,0.75,0.75,0.73,0.73,0.73,30100,-0.013513513513513487
2020-01-15,0.74,0.76,0.73,0.74,0.74,90700,0.013698630136986356
2020-01-16,0.75,0.77,0.74,0.76,0.76,111400,0.027027027027026973
2020-01-17,0.76,0.76,0.73,0.76,0.76,78400,0.0
2020-01-21,0.76,0.76,0.75,0.76,0.76,34800,0.0
2020-01-22,0.78,0.78,0.76,0.76,0.76,120900,0.0
2020-01-23,0.78,0.78,0.75,0.76,0.76,109700,0.0
2020-01-24,0.77,0.78,0.75,0.76,0.76,117000,0.0
2020-01-27,0.76,0.78,0.76,0.76,0.76,70500,0.0
2020-01-28,0.78,0.78,0.72,0.74,0.74,133500,-0.02631578947368418
2020-01-29,0.73,0.74,0.73,0.74,0.74,51500,0.0
2020-01-30,0.73,0.74,0.73,0.73,0.73,54700,-0.013513513513513487
2020-01-31,0.73,0.75,0.72,0.75,0.75,71300,0.027397260273972712
2020-02-03,0.76,0.76,0.74,0.75,0.75,23300,0.0
2020-02-04,0.75,0.76,0.72,0.72,0.72,89500,-0.040000000000000036
2020-02-05,0.72,0.74,0.72,0.73,0.73,38900,0.01388888888888884
2020-02-06,0.72,0.75,0.71,0.75,0.75,43600,0.027397260273972712
2020-02-07,0.73,0.75,0.71,0.74,0.74,76200,-0.013333333333333308
2020-02-10,0.73,0.73,0.7,0.72,0.72,62600,-0.027027027027027084
2020-02-11,0.71,0.73,0.71,0.73,0.73,55900,0.01388888888888884
2020-02-12,0.71,0.73,0.7,0.7,0.7,51300,-0.04109589041095896
2020-02-13,0.72,0.74,0.71,0.73,0.73,106700,0.04285714285714293
2020-02-14,0.73,0.74,0.72,0.73,0.73,47400,0.0
2020-02-18,0.73,0.78,0.73,0.76,0.76,304300,0.041095890410958846
2020-02-19,0.78,0.79,0.75,0.76,0.76,247500,0.0
2020-02-20,0.79,0.79,0.76,0.78,0.78,215900,0.026315789473684292
2020-02-21,0.81,0.83,0.78,0.79,0.79,438900,0.012820512820512775
2020-02-24,0.83,0.83,0.79,0.8,0.8,348100,0.012658227848101333
2020-02-25,0.75,0.81,0.75,0.8,0.8,239000,0.0
2020-02-26,0.77,0.8,0.77,0.78,0.78,147000,-0.025000000000000022
2020-02-27,0.78,0.78,0.73,0.75,0.75,381600,-0.03846153846153855
2020-02-28,0.7,0.74,0.61,0.63,0.63,699700,-0.16000000000000003
2020-03-02,0.65,0.76,0.65,0.7,0.7,253500,0.11111111111111094
2020-03-03,0.72,0.73,0.67,0.71,0.71,288200,0.014285714285714235
2020-03-04,0.7,0.76,0.68,0.7,0.7,218500,-0.014084507042253502
2020-03-05,0.72,0.72,0.66,0.68,0.68,296600,-0.02857142857142847
2020-03-06,0.72,0.72,0.64,0.65,0.65,337900,-0.044117647058823595
2020-03-09,0.64,0.65,0.56,0.59,0.59,393000,-0.09230769230769242
2020-03-10,0.59,0.61,0.59,0.59,0.59,273700,0.0
2020-03-11,0.6,0.6,0.54,0.56,0.56,951000,-0.05084745762711851
2020-03-12,0.57,0.57,0.44,0.52,0.52,527500,-0.07142857142857151
2020-03-13,0.52,0.52,0.45,0.47,0.47,304900,-0.09615384615384626
2020-03-16,0.3,0.49,0.28,0.42,0.42,443000,-0.10638297872340419
2020-03-17,0.47,0.54,0.42,0.46,0.46,152400,0.09523809523809534
2020-03-18,0.46,0.46,0.39,0.4,0.4,252700,-0.13043478260869568
2020-03-19,0.4,0.45,0.35,0.4,0.4,398300,0.0
2020-03-20,0.41,0.41,0.39,0.39,0.39,57700,-0.025000000000000022
2020-03-23,0.39,0.42,0.36,0.4,0.4,265700,0.025641025641025772
2020-03-24,0.46,0.52,0.44,0.51,0.51,464100,0.2749999999999999
2020-03-25,0.54,0.55,0.46,0.55,0.55,230200,0.07843137254901977
2020-03-26,0.55,0.58,0.53,0.54,0.54,191500,-0.018181818181818188
2020-03-27,0.52,0.53,0.5,0.5,0.5,112200,-0.07407407407407418
2020-03-30,0.5,0.52,0.48,0.49,0.49,230200,-0.020000000000000018
2020-03-31,0.49,0.52,0.49,0.49,0.49,125700,0.0
2020-04-01,0.52,0.52,0.46,0.46,0.46,198700,-0.061224489795918324
2020-04-02,0.45,0.51,0.45,0.48,0.48,150800,0.04347826086956519
2020-04-03,0.48,0.5,0.47,0.49,0.49,151400,0.02083333333333326
