Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.45,1.564,1.381,1.557,1.557,27600,
2020-01-03,1.55,1.55,1.41,1.41,1.41,6900,-0.09441233140655103
2020-01-06,1.4,1.5,1.4,1.4,1.4,11700,-0.007092198581560294
2020-01-07,1.527,1.593,1.4,1.559,1.559,63100,0.11357142857142866
2020-01-08,1.48,1.833,1.35,1.58,1.58,301700,0.01347017318794097
2020-01-09,1.54,1.6,1.415,1.47,1.47,71800,-0.069620253164557
2020-01-10,1.5,1.51,1.42,1.46,1.46,46200,-0.006802721088435382
2020-01-13,1.43,1.476,1.41,1.44,1.44,3600,-0.013698630136986356
2020-01-14,1.4,1.476,1.39,1.453,1.453,19000,0.009027777777777857
2020-01-15,1.44,1.5,1.43,1.435,1.435,13100,-0.012388162422574012
2020-01-16,1.43,1.69,1.43,1.51,1.51,161200,0.05226480836236935
2020-01-17,1.47,1.642,1.47,1.58,1.58,42200,0.04635761589403975
2020-01-21,1.62,1.642,1.5,1.5,1.5,30400,-0.05063291139240511
2020-01-22,1.47,1.576,1.46,1.47,1.47,18900,-0.020000000000000018
2020-01-23,1.46,1.49,1.452,1.48,1.48,19000,0.006802721088435382
2020-01-24,1.52,1.55,1.4,1.43,1.43,23200,-0.03378378378378377
2020-01-27,1.39,1.45,1.31,1.322,1.322,61700,-0.07552447552447539
2020-01-28,1.31,1.39,1.31,1.35,1.35,6400,0.021180030257186067
2020-01-29,1.32,1.361,1.31,1.345,1.345,7300,-0.0037037037037037646
2020-01-30,1.3,1.3,1.25,1.287,1.287,18700,-0.043122676579925745
2020-01-31,1.29,1.348,1.275,1.28,1.28,15200,-0.005439005439005329
2020-02-03,1.345,1.345,1.267,1.295,1.295,14700,0.01171875
2020-02-04,1.26,1.343,1.26,1.27,1.27,22000,-0.019305019305019266
2020-02-05,1.334,1.42,1.3,1.3,1.3,22500,0.023622047244094446
2020-02-06,1.26,1.35,1.26,1.29,1.29,33400,-0.007692307692307665
2020-02-07,1.31,1.36,1.29,1.29,1.29,4400,0.0
2020-02-10,1.32,1.36,1.3,1.33,1.33,11800,0.03100775193798455
2020-02-11,1.34,1.34,1.261,1.28,1.28,24300,-0.03759398496240607
2020-02-12,1.35,1.35,1.29,1.295,1.295,9800,0.01171875
2020-02-13,1.28,1.29,1.253,1.29,1.29,4500,-0.0038610038610037423
2020-02-14,1.33,1.33,1.26,1.29,1.29,24300,0.0
2020-02-18,1.3,1.32,1.3,1.31,1.31,18200,0.015503875968992276
2020-02-19,1.32,1.66,1.315,1.41,1.41,161200,0.07633587786259532
2020-02-20,1.45,1.452,1.307,1.36,1.36,24700,-0.03546099290780125
2020-02-21,1.33,1.4,1.33,1.38,1.38,19900,0.014705882352941124
2020-02-24,1.34,1.37,1.321,1.321,1.321,8500,-0.04275362318840581
2020-02-25,1.33,1.34,1.1,1.224,1.224,51000,-0.07342922028766086
2020-02-26,1.19,1.195,1.0,1.01,1.01,41000,-0.17483660130718948
2020-02-27,0.93,1.0,0.86,0.95,0.95,104900,-0.05940594059405946
2020-02-28,0.984,0.984,0.88,0.899,0.899,40300,-0.05368421052631567
2020-03-02,0.95,0.988,0.95,0.988,0.988,6700,0.09899888765294773
2020-03-03,1.01,1.01,0.88,0.921,0.921,5700,-0.06781376518218618
2020-03-04,0.945,1.01,0.945,1.0,1.0,62400,0.08577633007600438
2020-03-05,1.04,1.04,0.971,1.02,1.02,27500,0.020000000000000018
2020-03-06,1.02,1.02,0.9,0.91,0.91,12800,-0.10784313725490191
2020-03-09,1.01,1.01,0.852,0.894,0.894,1100,-0.01758241758241763
2020-03-10,0.88,0.945,0.85,0.894,0.894,4600,0.0
2020-03-11,0.8,0.88,0.8,0.819,0.819,2600,-0.08389261744966447
2020-03-12,0.88,0.888,0.6,0.65,0.65,22800,-0.20634920634920628
2020-03-13,0.65,1.0,0.65,0.85,0.85,26800,0.3076923076923077
2020-03-16,0.877,0.877,0.65,0.652,0.652,9200,-0.2329411764705882
2020-03-17,0.703,0.91,0.62,0.74,0.74,7300,0.13496932515337412
2020-03-18,0.65,0.654,0.65,0.65,0.65,1900,-0.1216216216216216
2020-03-19,0.7,0.7,0.61,0.61,0.61,3300,-0.06153846153846154
2020-03-20,0.63,0.68,0.514,0.636,0.636,11700,0.04262295081967227
2020-03-23,0.563,0.678,0.56,0.623,0.623,14300,-0.020440251572327095
2020-03-24,0.583,0.62,0.583,0.615,0.615,12700,-0.012841091492776902
2020-03-25,0.6,0.7,0.6,0.6,0.6,16300,-0.024390243902439046
2020-03-26,0.6,0.63,0.6,0.628,0.628,16700,0.046666666666666634
2020-03-27,0.677,0.677,0.62,0.673,0.673,7300,0.07165605095541405
2020-03-30,0.732,0.74,0.642,0.67,0.67,10100,-0.004457652303120341
2020-03-31,0.7,0.89,0.67,0.786,0.786,93500,0.17313432835820897
2020-04-01,0.72,0.72,0.67,0.67,0.67,17300,-0.1475826972010178
2020-04-02,0.65,0.697,0.58,0.651,0.651,7700,-0.028358208955223896
2020-04-03,0.62,0.7,0.58,0.675,0.675,13200,0.03686635944700467
