Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,3.29,3.32,2.88,3.0,3.0,80200,
2020-01-03,3.03,3.18,3.03,3.16,3.16,23500,0.053333333333333455
2020-01-06,3.16,3.16,3.04,3.16,3.16,33700,0.0
2020-01-07,3.24,3.24,2.9,2.97,2.97,75900,-0.060126582278481
2020-01-08,2.95,3.03,2.93,3.0,3.0,41100,0.010101010101009944
2020-01-09,3.03,3.06,2.93,2.93,2.93,32600,-0.023333333333333317
2020-01-10,2.95,2.96,2.85,2.87,2.87,47600,-0.020477815699658675
2020-01-13,2.86,2.89,2.74,2.77,2.77,51500,-0.03484320557491294
2020-01-14,2.77,3.5,2.77,3.32,3.32,286200,0.1985559566787003
2020-01-15,3.32,3.39,3.16,3.3,3.3,139700,-0.0060240963855421326
2020-01-16,3.32,3.59,3.15,3.55,3.55,98700,0.07575757575757569
2020-01-17,3.55,3.59,3.36,3.48,3.48,93800,-0.019718309859154903
2020-01-21,3.51,3.79,3.43,3.73,3.73,72500,0.07183908045977017
2020-01-22,3.93,4.13,3.85,4.06,4.06,138400,0.08847184986595158
2020-01-23,4.1,4.1,3.73,3.95,3.95,96200,-0.027093596059113212
2020-01-24,3.99,3.99,3.77,3.86,3.86,33600,-0.0227848101265824
2020-01-27,3.8,4.05,3.75,3.97,3.97,46700,0.02849740932642497
2020-01-28,3.93,4.02,3.85,3.96,3.96,23800,-0.0025188916876575096
2020-01-29,3.8,3.92,3.73,3.75,3.75,55100,-0.05303030303030298
2020-01-30,3.68,3.73,3.54,3.61,3.61,36900,-0.03733333333333333
2020-01-31,3.61,3.65,3.54,3.55,3.55,21300,-0.016620498614958512
2020-02-03,3.55,3.81,3.55,3.57,3.57,38200,0.005633802816901401
2020-02-04,3.58,3.62,3.5,3.5,3.5,34600,-0.019607843137254832
2020-02-05,3.65,3.66,3.51,3.56,3.56,23800,0.017142857142857126
2020-02-06,3.62,3.62,3.38,3.48,3.48,29300,-0.022471910112359605
2020-02-07,3.49,3.5,3.4,3.4,3.4,31200,-0.02298850574712641
2020-02-10,3.34,3.49,3.31,3.42,3.42,40300,0.00588235294117645
2020-02-11,3.5,3.61,3.42,3.5,3.5,35400,0.023391812865497075
2020-02-12,3.65,3.75,3.39,3.45,3.45,58100,-0.014285714285714235
2020-02-13,3.45,3.45,3.27,3.41,3.41,22700,-0.011594202898550732
2020-02-14,3.43,3.47,3.31,3.45,3.45,33300,0.011730205278592365
2020-02-18,3.39,3.75,3.38,3.57,3.57,75000,0.03478260869565197
2020-02-19,3.6,3.65,3.4,3.41,3.41,37600,-0.0448179271708683
2020-02-20,3.52,3.52,3.37,3.42,3.42,49200,0.0029325513196480912
2020-02-21,3.47,3.47,3.33,3.38,3.38,38600,-0.011695906432748537
2020-02-24,3.36,3.36,3.26,3.31,3.31,25000,-0.020710059171597628
2020-02-25,3.3,3.3,3.1,3.23,3.23,61500,-0.024169184290030232
2020-02-26,3.2,3.27,3.13,3.27,3.27,32000,0.01238390092879249
2020-02-27,3.24,3.28,3.02,3.1,3.1,61900,-0.051987767584097844
2020-02-28,3.02,3.02,2.86,2.99,2.99,69800,-0.03548387096774186
2020-03-02,3.0,3.06,2.89,3.02,3.02,46100,0.010033444816053505
2020-03-03,3.05,3.05,2.78,2.91,2.91,58900,-0.03642384105960261
2020-03-04,2.96,2.99,2.79,2.93,2.93,44000,0.0068728522336769515
2020-03-05,2.81,3.0,2.81,2.81,2.81,32600,-0.04095563139931746
2020-03-06,2.82,2.87,2.6,2.6,2.6,111500,-0.07473309608540923
2020-03-09,2.47,2.54,2.26,2.34,2.34,163900,-0.10000000000000009
2020-03-10,2.36,2.43,2.2,2.2,2.2,150100,-0.05982905982905973
2020-03-11,2.2,2.2,2.01,2.07,2.07,117900,-0.059090909090909194
2020-03-12,2.0,2.01,1.8,1.83,1.83,296200,-0.1159420289855071
2020-03-13,1.9,2.12,1.9,2.12,2.12,103700,0.1584699453551912
2020-03-16,2.05,2.05,1.9,1.92,1.92,74600,-0.09433962264150952
2020-03-17,1.9,2.12,1.9,2.03,2.03,89600,0.05729166666666652
2020-03-18,1.91,1.96,1.7,1.79,1.79,161200,-0.11822660098522153
2020-03-19,1.81,1.92,1.64,1.85,1.85,59000,0.033519553072625774
2020-03-20,1.87,1.97,1.83,1.85,1.85,56000,0.0
2020-03-23,1.91,1.91,1.59,1.64,1.64,82100,-0.11351351351351358
2020-03-24,1.75,1.75,1.67,1.69,1.69,68900,0.030487804878048808
2020-03-25,1.72,1.79,1.5,1.6,1.6,130100,-0.053254437869822424
2020-03-26,1.61,1.7,1.6,1.63,1.63,64600,0.018749999999999822
2020-03-27,1.65,1.69,1.33,1.35,1.35,99600,-0.17177914110429437
2020-03-30,1.5,1.68,1.45,1.62,1.62,81400,0.19999999999999996
2020-03-31,1.63,1.67,1.55,1.59,1.59,52100,-0.01851851851851849
2020-04-01,1.52,1.73,1.52,1.65,1.65,60300,0.037735849056603765
2020-04-02,1.74,1.74,1.51,1.53,1.53,63200,-0.07272727272727264
2020-04-03,1.48,1.65,1.48,1.55,1.55,36600,0.013071895424836555
