Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,9.66,9.66,8.694,9.002,9.002,32500,
2020-01-03,8.988,9.38,8.96,9.254,9.254,19700,0.027993779160186527
2020-01-06,9.38,9.744,9.1,9.73,9.73,24900,0.05143721633888054
2020-01-07,9.8,9.8,9.38,9.52,9.52,26100,-0.021582733812949728
2020-01-08,9.674,10.22,9.38,9.73,9.73,41400,0.02205882352941191
2020-01-09,9.8,9.828,9.394,9.478,9.478,13500,-0.025899280575539585
2020-01-10,9.394,9.478,8.82,9.016,9.016,32200,-0.048744460856720795
2020-01-13,9.66,9.66,8.554,8.904,8.904,65900,-0.012422360248447228
2020-01-14,8.904,9.002,8.61,8.75,8.75,23000,-0.01729559748427667
2020-01-15,8.68,9.59,8.68,9.268,9.268,50100,0.05920000000000014
2020-01-16,9.324,9.8,9.31,9.73,9.73,32500,0.049848942598187174
2020-01-17,9.66,9.8,9.38,9.52,9.52,23800,-0.021582733812949728
2020-01-21,9.562,9.66,9.03,9.128,9.128,28200,-0.04117647058823526
2020-01-22,8.96,9.506,8.96,9.212,9.212,12700,0.009202453987730008
2020-01-23,9.324,9.38,8.96,9.24,9.24,17100,0.003039513677811634
2020-01-24,9.31,9.422,8.82,8.904,8.904,16700,-0.036363636363636376
2020-01-27,8.82,9.086,8.47,8.806,8.806,27500,-0.011006289308176154
2020-01-28,8.848,9.1,8.54,8.834,8.834,15800,0.0031796502384737746
2020-01-29,8.82,9.1,8.624,8.862,8.862,28200,0.0031695721077655836
2020-01-30,8.96,9.24,8.68,8.82,8.82,32300,-0.004739336492890933
2020-01-31,8.82,8.82,8.134,8.26,8.26,43100,-0.0634920634920636
2020-02-03,7.7,7.84,7.21,7.266,7.266,85400,-0.12033898305084745
2020-02-04,7.42,7.966,6.93,7.406,7.406,44900,0.019267822736030782
2020-02-05,7.294,7.7,7.266,7.28,7.28,27600,-0.017013232514177634
2020-02-06,7.294,7.462,7.014,7.028,7.028,30800,-0.034615384615384714
2020-02-07,7.098,7.42,6.93,7.0,7.0,30600,-0.003984063745019806
2020-02-10,6.93,7.28,6.86,7.028,7.028,19600,0.0040000000000000036
2020-02-11,7.042,7.546,7.0,7.182,7.182,31200,0.021912350597609764
2020-02-12,7.084,7.28,6.734,6.846,6.846,83700,-0.04678362573099415
2020-02-13,6.818,6.986,6.16,6.72,6.72,40900,-0.018404907975460127
2020-02-14,7.098,7.35,6.51,6.72,6.72,53800,0.0
2020-02-18,7.28,7.28,6.58,6.972,6.972,24700,0.03750000000000009
2020-02-19,7.0,7.07,6.58,6.86,6.86,28200,-0.016064257028112428
2020-02-20,6.986,7.056,6.636,6.846,6.846,76500,-0.0020408163265306367
2020-02-21,6.86,6.986,6.566,6.692,6.692,40100,-0.02249488752556239
2020-02-24,6.86,6.86,6.314,6.58,6.58,23100,-0.01673640167364021
2020-02-25,6.846,6.846,5.894,6.23,6.23,46900,-0.05319148936170204
2020-02-26,6.16,6.44,5.67,6.16,6.16,29700,-0.011235955056179803
2020-02-27,6.02,6.132,5.166,5.53,5.53,76800,-0.10227272727272729
2020-02-28,7.882,8.26,5.74,6.02,6.02,292600,0.08860759493670867
2020-03-02,6.16,6.3,5.404,5.726,5.726,136900,-0.04883720930232549
2020-03-03,5.53,5.67,5.334,5.404,5.404,67000,-0.05623471882640585
2020-03-04,5.32,6.258,5.054,6.02,6.02,151300,0.11398963730569944
2020-03-05,6.076,6.16,5.46,5.6,5.6,65600,-0.06976744186046513
2020-03-06,5.628,5.628,5.18,5.278,5.278,60300,-0.057499999999999996
2020-03-09,5.32,5.32,4.62,4.76,4.76,55200,-0.09814323607427056
2020-03-10,4.83,5.096,4.41,4.97,4.97,40400,0.044117647058823595
2020-03-11,4.872,7.7,4.76,5.88,5.88,1114000,0.18309859154929575
2020-03-12,4.662,5.46,3.5,3.85,3.85,285900,-0.34523809523809523
2020-03-13,4.018,4.34,2.94,3.29,3.29,162400,-0.1454545454545455
2020-03-16,3.15,4.452,3.15,3.92,3.92,128800,0.1914893617021276
2020-03-17,4.2,4.48,3.36,3.668,3.668,71300,-0.06428571428571428
2020-03-18,3.5,3.78,3.262,3.5,3.5,38300,-0.04580152671755733
2020-03-19,3.78,4.214,3.248,3.892,3.892,71400,0.11199999999999988
2020-03-20,4.48,4.48,3.416,3.864,3.864,87800,-0.007194244604316502
2020-03-23,3.052,3.766,3.052,3.584,3.584,25100,-0.07246376811594202
2020-03-24,3.71,4.27,3.71,4.074,4.074,58900,0.13671875
2020-03-25,4.27,4.34,3.78,3.976,3.976,51800,-0.02405498281786933
2020-03-26,4.186,4.298,3.794,3.836,3.836,56300,-0.03521126760563387
2020-03-27,3.22,4.87,3.1,3.99,3.99,294300,0.04014598540145986
2020-03-30,4.39,4.88,4.05,4.15,4.15,190400,0.040100250626566414
2020-03-31,4.15,4.16,3.4,3.7,3.7,122700,-0.10843373493975905
2020-04-01,3.53,3.7,3.42,3.53,3.53,55600,-0.04594594594594603
2020-04-02,3.48,3.59,3.15,3.28,3.28,100200,-0.07082152974504252
2020-04-03,3.24,3.24,3.058,3.11,3.11,70400,-0.05182926829268286
