Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,10.87,10.88,9.95,10.0,10.0,94800,
2020-01-03,10.0,10.26,9.7,9.94,9.94,92200,-0.006000000000000005
2020-01-06,9.78,10.55,9.78,10.46,10.46,122600,0.05231388329979891
2020-01-07,10.31,10.66,10.01,10.44,10.44,101700,-0.0019120458891014325
2020-01-08,10.43,10.88,10.11,10.84,10.84,86800,0.03831417624521083
2020-01-09,10.47,10.99,10.32,10.71,10.71,44800,-0.011992619926199155
2020-01-10,10.78,11.31,10.72,11.14,11.14,59700,0.04014939309056964
2020-01-13,11.14,12.38,11.14,12.12,12.12,109100,0.08797127468581678
2020-01-14,12.2,12.37,11.57,11.76,11.76,67000,-0.02970297029702962
2020-01-15,11.58,12.37,11.51,12.14,12.14,103600,0.03231292517006801
2020-01-16,12.05,12.47,12.05,12.19,12.19,92600,0.004118616144975107
2020-01-17,12.2,12.45,11.68,11.87,11.87,58900,-0.02625102543068092
2020-01-21,11.76,11.93,11.39,11.54,11.54,26900,-0.02780117944397642
2020-01-22,11.54,12.46,11.41,12.42,12.42,52900,0.0762564991334489
2020-01-23,12.49,12.59,11.76,11.95,11.95,40200,-0.03784219001610312
2020-01-24,11.94,12.21,11.35,11.67,11.67,34600,-0.023430962343096162
2020-01-27,11.58,11.72,10.88,11.05,11.05,56300,-0.05312767780634098
2020-01-28,11.1,11.24,10.75,10.82,10.82,32800,-0.020814479638009087
2020-01-29,10.81,11.37,10.6,10.66,10.66,45100,-0.014787430683918634
2020-01-30,10.6,10.81,10.31,10.35,10.35,33100,-0.02908067542213888
2020-01-31,10.31,10.91,10.3,10.3,10.3,43500,-0.004830917874396046
2020-02-03,10.5,10.76,10.02,10.28,10.28,51800,-0.001941747572815622
2020-02-04,10.55,10.96,10.52,10.89,10.89,18900,0.05933852140077822
2020-02-05,10.93,11.28,10.93,11.18,11.18,24400,0.026629935720844822
2020-02-06,11.33,11.79,11.0,11.29,11.29,45600,0.009838998211091132
2020-02-07,11.99,12.18,11.54,12.03,12.03,83500,0.06554472984942428
2020-02-10,11.93,12.52,11.93,12.27,12.27,64900,0.01995012468827939
2020-02-11,12.69,14.11,12.56,13.8,13.8,232800,0.12469437652811743
2020-02-12,14.0,14.2,13.55,13.66,13.66,95000,-0.010144927536231974
2020-02-13,13.9,13.9,13.24,13.87,13.87,45100,0.015373352855051259
2020-02-14,13.89,13.95,13.44,13.84,13.84,47500,-0.002162941600576729
2020-02-18,13.89,14.34,13.45,14.12,14.12,194100,0.02023121387283222
2020-02-19,14.28,15.03,14.06,14.86,14.86,127600,0.05240793201133154
2020-02-20,14.96,15.65,14.68,14.75,14.75,157500,-0.007402422611036297
2020-02-21,14.73,15.01,14.23,14.93,14.93,72500,0.012203389830508504
2020-02-24,14.4,14.47,13.0,13.72,13.72,100000,-0.08104487608841249
2020-02-25,13.97,13.97,13.37,13.75,13.75,42600,0.0021865889212826506
2020-02-26,13.91,14.79,13.75,13.99,13.99,63500,0.01745454545454539
2020-02-27,13.53,14.0,12.91,13.45,13.45,71000,-0.03859899928520383
2020-02-28,13.0,14.16,12.75,13.85,13.85,82400,0.029739776951672958
2020-03-02,13.91,14.32,13.27,14.1,14.1,76700,0.018050541516245522
2020-03-03,14.22,14.88,14.03,14.5,14.5,97300,0.028368794326241176
2020-03-04,15.96,18.75,15.18,16.780001000000002,16.780001000000002,1366700,0.15724144827586217
2020-03-05,16.49,18.99,16.389999,18.26,18.26,503700,0.08820017352799914
2020-03-06,18.25,19.0,17.15,18.0,18.0,416600,-0.01423877327491796
2020-03-09,17.07,18.18,14.01,14.52,14.52,328500,-0.19333333333333336
2020-03-10,15.33,15.33,12.79,13.54,13.54,222600,-0.06749311294765847
2020-03-11,13.35,14.18,13.0,13.09,13.09,183800,-0.03323485967503692
2020-03-12,13.66,13.78,9.8,9.9,9.9,276900,-0.24369747899159655
2020-03-13,10.92,11.11,8.51,9.31,9.31,203500,-0.059595959595959536
2020-03-16,10.07,12.93,9.77,12.21,12.21,442400,0.3114930182599356
2020-03-17,13.13,14.11,12.51,13.99,13.99,327900,0.14578214578214577
2020-03-18,14.0,16.16,13.01,13.65,13.65,401700,-0.02430307362401718
2020-03-19,13.66,14.54,12.6,12.82,12.82,173400,-0.06080586080586081
2020-03-20,12.84,12.97,11.22,12.08,12.08,145400,-0.057722308892355745
2020-03-23,12.38,13.17,11.71,12.87,12.87,104100,0.0653973509933774
2020-03-24,13.2,16.469998999999998,12.62,15.35,15.35,373600,0.19269619269619276
2020-03-25,15.44,16.120001000000002,14.98,15.76,15.76,255000,0.026710097719869763
2020-03-26,16.09,16.5,14.11,15.25,15.25,128000,-0.032360406091370586
2020-03-27,15.0,16.5,15.0,15.82,15.82,271000,0.037377049180327804
2020-03-30,15.94,16.27,13.03,13.25,13.25,273400,-0.16245259165613146
2020-03-31,13.47,14.31,13.0,13.59,13.59,131700,0.02566037735849047
2020-04-01,13.61,13.7,12.28,12.66,12.66,375700,-0.06843267108167772
2020-04-02,12.76,13.18,12.39,12.66,12.66,113900,0.0
2020-04-03,12.82,13.19,11.93,12.99,12.99,95200,0.026066350710900466
