Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.24,1.28,1.22,1.24,1.24,489400,
2020-01-03,1.22,1.24,1.2,1.22,1.22,487400,-0.016129032258064502
2020-01-06,1.22,1.28,1.2,1.25,1.25,505700,0.024590163934426146
2020-01-07,1.26,1.28,1.23,1.24,1.24,671400,-0.008000000000000007
2020-01-08,1.23,1.26,1.19,1.2,1.2,651000,-0.032258064516129115
2020-01-09,1.22,1.24,1.19,1.2,1.2,549500,0.0
2020-01-10,1.24,1.26,1.2,1.24,1.24,1283800,0.03333333333333344
2020-01-13,1.25,1.38,1.24,1.32,1.32,1441300,0.06451612903225823
2020-01-14,1.38,1.4,1.32,1.34,1.34,1465900,0.015151515151515138
2020-01-15,1.36,1.39,1.28,1.3,1.3,1262800,-0.02985074626865669
2020-01-16,1.34,1.34,1.22,1.28,1.28,659800,-0.015384615384615441
2020-01-17,1.26,1.28,1.24,1.27,1.27,550900,-0.0078125
2020-01-21,1.26,1.33,1.25,1.28,1.28,606700,0.007874015748031482
2020-01-22,1.3,1.3,1.27,1.29,1.29,395800,0.0078125
2020-01-23,1.29,1.37,1.27,1.33,1.33,874500,0.03100775193798455
2020-01-24,1.34,1.36,1.3,1.35,1.35,684300,0.015037593984962516
2020-01-27,1.32,1.4,1.3,1.36,1.36,1108500,0.007407407407407307
2020-01-28,1.36,1.41,1.36,1.41,1.41,674600,0.03676470588235281
2020-01-29,1.41,1.42,1.39,1.4,1.4,1315700,-0.007092198581560294
2020-01-30,1.4,1.4,1.38,1.39,1.39,366600,-0.0071428571428571175
2020-01-31,1.38,1.39,1.35,1.36,1.36,499000,-0.021582733812949506
2020-02-03,1.36,1.38,1.35,1.36,1.36,481400,0.0
2020-02-04,1.38,1.39,1.37,1.38,1.38,458900,0.014705882352941124
2020-02-05,1.39,1.39,1.37,1.38,1.38,263800,0.0
2020-02-06,1.39,1.39,1.36,1.36,1.36,440200,-0.014492753623188248
2020-02-07,1.37,1.38,1.35,1.35,1.35,404700,-0.007352941176470562
2020-02-10,1.37,1.37,1.32,1.34,1.34,526300,-0.007407407407407418
2020-02-11,1.34,1.36,1.34,1.35,1.35,371800,0.00746268656716409
2020-02-12,1.35,1.36,1.31,1.32,1.32,480000,-0.022222222222222254
2020-02-13,1.32,1.33,1.28,1.29,1.29,543600,-0.022727272727272707
2020-02-14,1.28,1.3,1.21,1.24,1.24,688000,-0.03875968992248069
2020-02-18,1.23,1.28,1.22,1.24,1.24,663000,0.0
2020-02-19,1.26,1.29,1.23,1.26,1.26,683800,0.016129032258064502
2020-02-20,1.26,1.27,1.24,1.27,1.27,391000,0.007936507936507908
2020-02-21,1.28,1.29,1.25,1.28,1.28,448900,0.007874015748031482
2020-02-24,1.28,1.28,1.24,1.25,1.25,488400,-0.0234375
2020-02-25,1.25,1.26,1.21,1.23,1.23,773600,-0.016000000000000014
2020-02-26,1.23,1.25,1.21,1.22,1.22,392700,-0.008130081300813052
2020-02-27,1.21,1.25,1.2,1.2,1.2,808400,-0.016393442622950838
2020-02-28,1.26,1.26,1.19,1.2,1.2,1269600,0.0
2020-03-02,1.19,1.23,1.18,1.22,1.22,485600,0.016666666666666607
2020-03-03,1.19,1.3,1.19,1.22,1.22,789600,0.0
2020-03-04,1.25,1.29,1.23,1.26,1.26,513400,0.032786885245901676
2020-03-05,1.26,1.27,1.21,1.22,1.22,401500,-0.031746031746031744
2020-03-06,1.22,1.25,1.19,1.21,1.21,651800,-0.008196721311475419
2020-03-09,1.23,1.93,1.18,1.41,1.41,7173500,0.165289256198347
2020-03-10,1.47,1.5,1.28,1.34,1.34,2209400,-0.049645390070921835
2020-03-11,1.35,1.4,1.27,1.28,1.28,1590800,-0.04477611940298509
2020-03-12,1.28,1.29,1.17,1.17,1.17,1793800,-0.08593750000000011
2020-03-13,1.2,1.22,1.13,1.22,1.22,1862000,0.042735042735042805
2020-03-16,1.3,1.4,1.16,1.18,1.18,2359800,-0.032786885245901676
2020-03-17,1.33,1.49,1.21,1.46,1.46,4762900,0.23728813559322037
2020-03-18,1.46,1.47,1.31,1.42,1.42,2099500,-0.0273972602739726
2020-03-19,1.63,1.9,1.43,1.85,1.85,5932700,0.30281690140845074
2020-03-20,2.09,2.28,1.57,1.78,1.78,10000300,-0.037837837837837895
2020-03-23,1.94,1.98,1.75,1.95,1.95,3305300,0.09550561797752799
2020-03-24,2.1,2.13,1.71,1.9,1.9,3931200,-0.02564102564102566
2020-03-25,1.95,2.0,1.72,1.82,1.82,2014400,-0.042105263157894646
2020-03-26,1.82,1.92,1.77,1.92,1.92,2084600,0.05494505494505497
2020-03-27,1.93,2.1,1.81,1.96,1.96,3111100,0.02083333333333326
2020-03-30,2.06,2.65,2.05,2.59,2.59,8517600,0.3214285714285714
2020-03-31,2.5,3.17,2.31,3.0,3.0,12616800,0.15830115830115843
2020-04-01,3.19,4.38,2.86,3.98,3.98,19849100,0.32666666666666666
2020-04-02,4.0,4.05,2.36,2.74,2.74,24920200,-0.3115577889447235
2020-04-03,2.79,3.07,2.38,2.88,2.88,9211800,0.05109489051094873
