Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.37,0.37,0.35,0.35,0.35,1579100,
2020-01-03,0.39,0.39,0.35,0.36,0.36,2462900,0.028571428571428692
2020-01-06,0.4,0.41,0.38,0.4,0.4,4300100,0.11111111111111116
2020-01-07,0.42,0.42,0.38,0.39,0.39,2033400,-0.025000000000000022
2020-01-08,0.4,0.4,0.34,0.35,0.35,2800300,-0.10256410256410264
2020-01-09,0.35,0.35,0.33,0.35,0.35,1091300,0.0
2020-01-10,0.33,0.34,0.32,0.33,0.33,1311800,-0.05714285714285705
2020-01-13,0.32,0.33,0.31,0.32,0.32,1119800,-0.030303030303030276
2020-01-14,0.32,0.33,0.32,0.33,0.33,1368000,0.03125
2020-01-15,0.33,0.33,0.32,0.32,0.32,1070000,-0.030303030303030276
2020-01-16,0.33,0.35,0.32,0.34,0.34,1397200,0.0625
2020-01-17,0.34,0.34,0.32,0.32,0.32,1205500,-0.05882352941176472
2020-01-21,0.33,0.34,0.32,0.32,0.32,940100,0.0
2020-01-22,0.32,0.33,0.31,0.31,0.31,1213800,-0.03125
2020-01-23,0.31,0.32,0.31,0.31,0.31,906600,0.0
2020-01-24,0.31,0.32,0.3,0.3,0.3,1305200,-0.032258064516129115
2020-01-27,0.3,0.3,0.28,0.28,0.28,1582300,-0.06666666666666654
2020-01-28,0.29,0.29,0.26,0.27,0.27,1844400,-0.0357142857142857
2020-01-29,0.27,0.28,0.26,0.26,0.26,1570700,-0.03703703703703709
2020-01-30,0.26,0.27,0.25,0.25,0.25,1130100,-0.03846153846153855
2020-01-31,0.25,0.25,0.23,0.23,0.23,2899900,-0.07999999999999996
2020-02-03,0.23,0.24,0.21,0.23,0.23,2577300,0.0
2020-02-04,0.23,0.25,0.23,0.24,0.24,1762800,0.04347826086956519
2020-02-05,0.24,0.25,0.24,0.25,0.25,1230400,0.04166666666666674
2020-02-06,0.25,0.26,0.24,0.24,0.24,1667700,-0.040000000000000036
2020-02-07,0.24,0.25,0.22,0.24,0.24,3319600,0.0
2020-02-10,0.24,0.24,0.22,0.22,0.22,1274100,-0.08333333333333326
2020-02-11,0.23,0.24,0.22,0.24,0.24,1268600,0.09090909090909083
2020-02-12,0.26,0.26,0.24,0.26,0.26,2285500,0.08333333333333348
2020-02-13,0.26,0.26,0.23,0.24,0.24,1892000,-0.07692307692307698
2020-02-14,0.24,0.24,0.23,0.23,0.23,1478900,-0.04166666666666663
2020-02-18,0.24,0.24,0.22,0.22,0.22,2480900,-0.0434782608695653
2020-02-19,0.23,0.24,0.22,0.23,0.23,1985800,0.045454545454545414
2020-02-20,0.23,0.23,0.23,0.23,0.23,1113900,0.0
2020-02-21,0.23,0.23,0.22,0.22,0.22,1138800,-0.0434782608695653
2020-02-24,0.22,0.22,0.21,0.21,0.21,2199900,-0.045454545454545525
2020-02-25,0.22,0.22,0.2,0.2,0.2,1869000,-0.04761904761904756
2020-02-26,0.21,0.22,0.2,0.21,0.21,2139000,0.04999999999999982
2020-02-27,0.21,0.21,0.18,0.19,0.19,2502100,-0.09523809523809523
2020-02-28,0.19,0.2,0.18,0.19,0.19,3004400,0.0
2020-03-02,0.21,0.22,0.19,0.21,0.21,1626100,0.10526315789473673
2020-03-03,0.22,0.22,0.2,0.21,0.21,1831800,0.0
2020-03-04,0.23,0.23,0.21,0.21,0.21,1557200,0.0
2020-03-05,0.21,0.22,0.2,0.2,0.2,1174700,-0.04761904761904756
2020-03-06,0.2,0.2,0.15,0.15,0.15,5319300,-0.2500000000000001
2020-03-09,0.14,0.15,0.1,0.13,0.13,6139800,-0.1333333333333333
2020-03-10,0.15,0.15,0.11,0.13,0.13,6196900,0.0
2020-03-11,0.14,0.14,0.12,0.12,0.12,3225000,-0.07692307692307698
2020-03-12,0.12,0.12,0.11,0.12,0.12,3186700,0.0
2020-03-13,0.12,0.13,0.11,0.13,0.13,3593200,0.08333333333333348
2020-03-16,0.13,0.13,0.11,0.12,0.12,3273300,-0.07692307692307698
2020-03-17,0.12,0.12,0.1,0.12,0.12,3683000,0.0
2020-03-18,0.11,0.11,0.09,0.09,0.09,3523700,-0.25
2020-03-19,0.1,0.11,0.09,0.1,0.1,3923800,0.11111111111111116
2020-03-20,0.11,0.12,0.1,0.12,0.12,5879000,0.19999999999999996
2020-03-23,0.12,0.12,0.1,0.11,0.11,3068800,-0.08333333333333326
2020-03-24,0.12,0.12,0.11,0.11,0.11,2790800,0.0
2020-03-25,0.11,0.12,0.1,0.11,0.11,3337000,0.0
2020-03-26,0.11,0.13,0.11,0.11,0.11,4355800,0.0
2020-03-27,0.13,0.13,0.11,0.12,0.12,3501000,0.09090909090909083
2020-03-30,0.12,0.13,0.12,0.13,0.13,5040400,0.08333333333333348
2020-03-31,0.13,0.13,0.12,0.12,0.12,3380200,-0.07692307692307698
2020-04-01,0.12,0.13,0.11,0.11,0.11,4205900,-0.08333333333333326
2020-04-02,0.12,0.18,0.11,0.14,0.14,12349100,0.27272727272727293
2020-04-03,0.14,0.15,0.13,0.13,0.13,6343700,-0.07142857142857151
