Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,5.04,5.24,4.99,5.2,5.2,65900,
2020-01-03,5.24,5.76,4.61,4.83,4.83,360500,-0.07115384615384612
2020-01-06,4.83,5.1,4.83,4.97,4.97,34700,0.02898550724637672
2020-01-07,4.99,5.21,4.83,5.1,5.1,68800,0.026156941649899457
2020-01-08,5.15,5.45,4.97,5.16,5.16,36000,0.011764705882353121
2020-01-09,5.11,5.49,5.11,5.4,5.4,32500,0.04651162790697683
2020-01-10,5.43,5.43,5.24,5.29,5.29,17000,-0.020370370370370483
2020-01-13,5.38,5.4,5.15,5.4,5.4,14900,0.020793950850661602
2020-01-14,5.47,5.49,5.35,5.41,5.41,81500,0.0018518518518517713
2020-01-15,5.36,5.5,5.36,5.45,5.45,26400,0.007393715341959428
2020-01-16,5.43,5.6,5.43,5.47,5.47,63700,0.003669724770642091
2020-01-17,5.54,6.26,5.53,6.04,6.04,180400,0.1042047531992687
2020-01-21,6.15,6.5,5.96,6.05,6.05,220800,0.0016556291390728006
2020-01-22,6.18,6.26,5.51,5.61,5.61,77300,-0.07272727272727264
2020-01-23,5.53,5.53,5.08,5.18,5.18,65800,-0.07664884135472383
2020-01-24,5.09,5.12,4.94,5.01,5.01,54000,-0.03281853281853275
2020-01-27,4.86,5.54,4.85,5.34,5.34,62200,0.06586826347305386
2020-01-28,5.38,5.49,5.19,5.39,5.39,11000,0.009363295880149725
2020-01-29,5.42,5.44,5.03,5.23,5.23,14700,-0.029684601113172393
2020-01-30,5.23,5.23,4.89,5.21,5.21,31100,-0.003824091778202754
2020-01-31,5.12,5.12,4.85,4.86,4.86,102600,-0.06717850287907867
2020-02-03,4.86,5.13,4.86,4.91,4.91,27300,0.010288065843621297
2020-02-04,5.04,5.04,4.86,5.03,5.03,29200,0.024439918533604832
2020-02-05,5.0,5.03,4.9,4.96,4.96,15200,-0.013916500994035852
2020-02-06,4.94,5.15,4.92,5.02,5.02,23400,0.012096774193548265
2020-02-07,5.1,5.19,5.02,5.1,5.1,24100,0.015936254980079667
2020-02-10,5.1,5.21,5.04,5.11,5.11,6500,0.0019607843137257053
2020-02-11,5.15,5.2,5.03,5.03,5.03,23200,-0.015655577299412915
2020-02-12,5.03,5.2,5.02,5.02,5.02,32700,-0.001988071570576677
2020-02-13,5.02,5.08,4.86,4.96,4.96,12100,-0.01195219123505964
2020-02-14,4.86,4.86,4.3,4.61,4.61,123100,-0.07056451612903214
2020-02-18,4.48,4.82,4.29,4.35,4.35,38400,-0.05639913232104132
2020-02-19,4.25,4.4,4.25,4.31,4.31,79300,-0.00919540229885063
2020-02-20,4.63,5.74,4.47,5.71,5.71,108700,0.32482598607888646
2020-02-21,5.71,5.71,5.0,5.57,5.57,67400,-0.024518388791593626
2020-02-24,5.4,5.52,5.06,5.25,5.25,38300,-0.05745062836624781
2020-02-25,5.13,5.13,4.85,4.86,4.86,70500,-0.07428571428571418
2020-02-26,4.9,5.2,4.85,4.85,4.85,15800,-0.002057613168724437
2020-02-27,4.99,4.99,4.71,4.95,4.95,18500,0.020618556701031077
2020-02-28,4.59,4.73,4.52,4.73,4.73,43000,-0.0444444444444444
2020-03-02,4.64,4.97,4.51,4.86,4.86,10000,0.027484143763213398
2020-03-03,4.8,5.04,4.76,5.04,5.04,14100,0.03703703703703698
2020-03-04,5.1,5.1,4.73,4.86,4.86,13100,-0.0357142857142857
2020-03-05,5.0,5.0,4.8,4.85,4.85,4600,-0.002057613168724437
2020-03-06,4.85,5.04,4.6,4.6,4.6,14500,-0.05154639175257736
2020-03-09,4.5,4.52,3.93,3.95,3.95,38100,-0.1413043478260868
2020-03-10,4.0,4.53,3.9,4.01,4.01,21900,0.015189873417721378
2020-03-11,4.29,4.47,4.01,4.31,4.31,11400,0.07481296758104738
2020-03-12,4.0,4.26,3.78,3.82,3.82,35100,-0.11368909512761016
2020-03-13,3.82,3.95,3.82,3.95,3.95,40200,0.03403141361256545
2020-03-16,3.97,3.97,3.32,3.49,3.49,39000,-0.1164556962025316
2020-03-17,3.47,3.99,3.25,3.49,3.49,50200,0.0
2020-03-18,3.61,3.85,3.34,3.37,3.37,10200,-0.034383954154727836
2020-03-19,3.61,3.79,3.1,3.52,3.52,27700,0.04451038575667643
2020-03-20,3.69,3.89,3.18,3.19,3.19,21300,-0.09375
2020-03-23,3.06,3.75,3.05,3.54,3.54,14000,0.10971786833855801
2020-03-24,3.79,3.79,3.13,3.34,3.34,14600,-0.05649717514124297
2020-03-25,3.36,3.58,3.25,3.55,3.55,8500,0.06287425149700598
2020-03-26,3.49,3.9,3.36,3.6,3.6,28100,0.014084507042253502
2020-03-27,3.61,3.7,3.35,3.35,3.35,15800,-0.06944444444444442
2020-03-30,3.51,3.68,3.35,3.37,3.37,10700,0.005970149253731405
2020-03-31,3.35,3.42,3.25,3.26,3.26,19700,-0.03264094955489627
2020-04-01,3.25,3.39,3.25,3.31,3.31,3500,0.015337423312883569
2020-04-02,3.27,3.4,3.21,3.21,3.21,5600,-0.030211480362537846
2020-04-03,3.33,3.34,3.25,3.34,3.34,4500,0.04049844236760114
