Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,3.95,4.29,3.95,4.18,4.18,33000,
2020-01-03,4.1,4.5,4.1,4.28,4.28,5100,0.02392344497607679
2020-01-06,4.35,4.63,4.23,4.5,4.5,5900,0.051401869158878455
2020-01-07,4.48,4.65,4.36,4.53,4.53,12400,0.006666666666666821
2020-01-08,4.4,4.54,4.36,4.36,4.36,79200,-0.03752759381898452
2020-01-09,4.19,4.5,4.19,4.38,4.38,4200,0.004587155963302614
2020-01-10,4.3,4.45,4.22,4.45,4.45,1800,0.01598173515981749
2020-01-13,4.49,4.49,4.17,4.3,4.3,11300,-0.03370786516853941
2020-01-14,4.36,4.39,4.3,4.39,4.39,1800,0.020930232558139528
2020-01-15,4.35,4.35,4.21,4.27,4.27,1700,-0.02733485193621865
2020-01-16,4.31,4.41,4.27,4.31,4.31,2300,0.00936768149882905
2020-01-17,4.24,4.37,4.24,4.3,4.3,2400,-0.002320185614849146
2020-01-21,4.26,4.41,4.25,4.28,4.28,4000,-0.0046511627906975495
2020-01-22,4.24,4.38,4.21,4.29,4.29,3200,0.002336448598130758
2020-01-23,4.29,4.29,4.21,4.29,4.29,5600,0.0
2020-01-24,4.29,4.29,4.29,4.29,4.29,0,0.0
2020-01-27,4.23,4.29,4.21,4.21,4.21,1800,-0.018648018648018683
2020-01-28,4.22,4.22,4.22,4.22,4.22,200,0.002375296912114022
2020-01-29,4.19,4.19,4.19,4.19,4.19,100,-0.007109004739336289
2020-01-30,4.19,4.2,4.19,4.2,4.2,1200,0.0023866348448686736
2020-01-31,4.22,4.25,4.04,4.11,4.11,10500,-0.021428571428571352
2020-02-03,4.12,4.22,4.07,4.07,4.07,6000,-0.009732360097323589
2020-02-04,4.07,4.19,4.04,4.09,4.09,11900,0.004914004914004844
2020-02-05,4.12,4.12,4.07,4.12,4.12,14200,0.007334963325183352
2020-02-06,4.13,4.18,4.13,4.18,4.18,1000,0.014563106796116498
2020-02-07,4.16,4.16,4.01,4.07,4.07,1100,-0.02631578947368407
2020-02-10,4.0,4.14,4.0,4.14,4.14,5800,0.017199017199017064
2020-02-11,4.12,4.14,4.09,4.09,4.09,3600,-0.01207729468599028
2020-02-12,4.04,4.1,4.04,4.1,4.1,4800,0.0024449877750609694
2020-02-13,4.1,4.15,4.03,4.15,4.15,48300,0.012195121951219745
2020-02-14,4.22,4.76,4.17,4.5,4.5,25900,0.0843373493975903
2020-02-18,4.58,4.65,4.5,4.6,4.6,14600,0.022222222222222143
2020-02-19,4.7,4.87,4.26,4.84,4.84,27400,0.052173913043478404
2020-02-20,4.89,5.24,4.85,5.11,5.11,9500,0.05578512396694224
2020-02-21,5.1,5.1,4.57,4.82,4.82,7100,-0.05675146771037187
2020-02-24,4.61,5.01,4.6,4.9,4.9,3900,0.016597510373443924
2020-02-25,4.86,4.9,4.54,4.79,4.79,10800,-0.022448979591836782
2020-02-26,4.7,4.73,4.55,4.73,4.73,7400,-0.012526096033402823
2020-02-27,4.54,4.6,4.2,4.41,4.41,56400,-0.06765327695560264
2020-02-28,4.45,4.45,4.22,4.42,4.42,22700,0.0022675736961450532
2020-03-02,4.56,4.56,4.32,4.32,4.32,3700,-0.02262443438914019
2020-03-03,4.42,4.42,4.3,4.34,4.34,1800,0.004629629629629539
2020-03-04,4.29,4.3,4.12,4.14,4.14,7500,-0.04608294930875578
2020-03-05,4.1,4.35,3.85,4.05,4.05,15500,-0.021739130434782594
2020-03-06,3.95,4.0,3.67,3.9,3.9,4700,-0.03703703703703698
2020-03-09,3.77,3.77,3.48,3.65,3.65,31000,-0.0641025641025641
2020-03-10,3.66,3.78,3.34,3.69,3.69,23600,0.010958904109588996
2020-03-11,3.61,3.76,3.47,3.52,3.52,5400,-0.046070460704607075
2020-03-12,3.19,3.49,2.75,3.4,3.4,14700,-0.03409090909090917
2020-03-13,3.59,3.59,3.45,3.51,3.51,6500,0.03235294117647047
2020-03-16,5.15,5.15,2.65,2.65,2.65,54300,-0.24501424501424496
2020-03-17,2.67,2.86,2.25,2.25,2.25,22900,-0.15094339622641506
2020-03-18,2.0,3.45,2.0,3.26,3.26,193900,0.4488888888888889
2020-03-19,3.3,3.3,2.2,2.64,2.64,127700,-0.1901840490797545
2020-03-20,2.54,2.54,1.81,2.0,2.0,75600,-0.24242424242424243
2020-03-23,2.09,2.09,1.51,1.74,1.74,49100,-0.13
2020-03-24,2.01,2.23,2.01,2.06,2.06,59200,0.1839080459770115
2020-03-25,2.25,2.32,1.85,2.1,2.1,64500,0.01941747572815533
2020-03-26,2.25,2.25,2.0,2.02,2.02,89400,-0.03809523809523818
2020-03-27,2.08,2.79,2.0,2.4,2.4,260700,0.18811881188118806
2020-03-30,2.17,2.37,1.81,1.89,1.89,89000,-0.21250000000000002
2020-03-31,1.82,1.95,1.82,1.92,1.92,39400,0.015873015873015817
2020-04-01,1.89,2.07,1.7,1.86,1.86,34700,-0.03124999999999989
2020-04-02,1.96,1.96,1.81,1.82,1.82,10200,-0.021505376344086002
2020-04-03,1.73,1.89,1.62,1.64,1.64,11200,-0.098901098901099
