Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,4.3,4.36,4.11,4.12,4.12,230400,
2020-01-03,4.17,4.25,4.12,4.17,4.17,157500,0.012135922330096971
2020-01-06,4.31,4.4,4.25,4.3,4.3,497300,0.031175059952038398
2020-01-07,4.36,4.37,4.31,4.34,4.34,272400,0.009302325581395321
2020-01-08,4.34,4.39,4.31,4.34,4.34,132000,0.0
2020-01-09,4.35,4.4,4.33,4.35,4.35,146400,0.0023041474654377225
2020-01-10,4.35,4.39,4.31,4.35,4.35,198500,0.0
2020-01-13,4.43,4.45,4.31,4.38,4.38,181500,0.006896551724137945
2020-01-14,4.39,4.39,4.32,4.34,4.34,118800,-0.0091324200913242
2020-01-15,4.36,4.39,4.33,4.35,4.35,60000,0.0023041474654377225
2020-01-16,4.39,4.41,4.34,4.38,4.38,100000,0.006896551724137945
2020-01-17,4.39,4.39,4.33,4.35,4.35,78600,-0.006849315068493178
2020-01-21,4.38,4.38,4.29,4.31,4.31,65200,-0.00919540229885063
2020-01-22,4.35,4.35,4.25,4.27,4.27,76300,-0.009280742459396807
2020-01-23,4.24,4.3,4.12,4.19,4.19,127300,-0.01873536299765788
2020-01-24,4.21,4.21,4.11,4.14,4.14,73100,-0.011933174224343812
2020-01-27,4.12,4.29,4.12,4.17,4.17,153100,0.007246376811594235
2020-01-28,4.18,4.2,4.11,4.16,4.16,97000,-0.0023980815347721673
2020-01-29,4.17,4.19,4.13,4.13,4.13,65100,-0.007211538461538547
2020-01-30,4.13,4.16,3.99,4.02,4.02,152200,-0.026634382566586012
2020-01-31,4.02,4.09,3.96,4.07,4.07,49800,0.012437810945273853
2020-02-03,4.06,4.2,3.97,4.01,4.01,149000,-0.014742014742014864
2020-02-04,4.01,4.13,4.01,4.08,4.08,171100,0.017456359102244523
2020-02-05,4.09,4.11,3.97,4.08,4.08,304100,0.0
2020-02-06,4.12,4.13,4.0,4.05,4.05,238400,-0.007352941176470673
2020-02-07,4.05,4.09,4.0,4.06,4.06,118200,0.0024691358024691024
2020-02-10,4.09,4.12,4.02,4.07,4.07,139600,0.0024630541871923928
2020-02-11,4.25,4.75,4.2,4.67,4.67,1432400,0.1474201474201473
2020-02-12,4.73,4.83,4.65,4.72,4.72,823100,0.01070663811563155
2020-02-13,4.75,6.67,4.75,5.4,5.4,6562200,0.14406779661016955
2020-02-14,5.72,5.79,5.09,5.16,5.16,1210100,-0.04444444444444451
2020-02-18,5.19,6.44,5.01,6.33,6.33,1266400,0.2267441860465116
2020-02-19,6.3,6.3,5.74,5.96,5.96,965200,-0.05845181674565558
2020-02-20,5.96,6.08,5.91,6.05,6.05,629600,0.015100671140939603
2020-02-21,6.09,6.98,6.05,6.87,6.87,1124400,0.13553719008264475
2020-02-24,6.49,7.88,6.2,7.64,7.64,1889800,0.11208151382823872
2020-02-25,8.23,10.0,7.75,8.88,8.88,3291400,0.1623036649214662
2020-02-26,8.9,9.25,6.71,7.31,7.31,2114300,-0.17680180180180194
2020-02-27,7.31,7.57,6.16,6.76,6.76,1464800,-0.07523939808481528
2020-02-28,6.86,7.2,6.6,6.98,6.98,550600,0.03254437869822491
2020-03-02,7.13,7.38,6.85,6.91,6.91,360300,-0.01002865329512903
2020-03-03,6.95,7.0,6.5,6.72,6.72,502100,-0.02749638205499283
2020-03-04,6.75,7.1,6.75,6.96,6.96,401300,0.03571428571428581
2020-03-05,6.92,8.0,6.92,7.62,7.62,641000,0.09482758620689657
2020-03-06,7.4,8.77,7.4,8.55,8.55,1131400,0.1220472440944882
2020-03-09,8.3,8.43,7.27,7.33,7.33,730800,-0.1426900584795322
2020-03-10,7.52,7.83,7.0,7.44,7.44,567500,0.01500682128240105
2020-03-11,7.37,7.38,6.51,6.68,6.68,699600,-0.10215053763440873
2020-03-12,6.26,6.77,6.08,6.1,6.1,643900,-0.08682634730538918
2020-03-13,6.03,6.48,5.55,5.55,5.55,867200,-0.0901639344262295
2020-03-16,5.0,5.24,4.0,4.5,4.5,1111800,-0.18918918918918914
2020-03-17,4.7,5.65,4.61,5.05,5.05,1287200,0.12222222222222223
2020-03-18,5.02,5.46,4.4,4.41,4.41,971900,-0.12673267326732662
2020-03-19,4.7,4.85,4.43,4.76,4.76,540300,0.0793650793650793
2020-03-20,4.86,4.95,4.5,4.6,4.6,509500,-0.03361344537815125
2020-03-23,4.67,4.85,4.43,4.62,4.62,512700,0.004347826086956719
2020-03-24,4.83,5.85,4.5,4.64,4.64,2335800,0.0043290043290042934
2020-03-25,4.65,5.12,4.64,4.88,4.88,456400,0.051724137931034475
2020-03-26,4.88,5.25,4.88,4.9,4.9,403100,0.004098360655737876
2020-03-27,4.88,5.1,4.82,4.9,4.9,565400,0.0
2020-03-30,4.94,5.15,4.26,4.51,4.51,773000,-0.07959183673469394
2020-03-31,4.58,4.92,4.3,4.64,4.64,535500,0.02882483370288247
2020-04-01,4.53,4.62,4.3,4.42,4.42,599900,-0.047413793103448176
2020-04-02,4.44,4.82,4.43,4.7,4.7,481600,0.06334841628959276
2020-04-03,4.74,4.82,4.55,4.65,4.65,525800,-0.010638297872340385
