Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,2.1,2.2,2.01,2.09,2.09,45200,
2020-01-03,2.07,2.13,2.04,2.075,2.075,50600,-0.007177033492822837
2020-01-06,2.05,2.13,2.05,2.07,2.07,23000,-0.002409638554217053
2020-01-07,2.07,2.11,2.03,2.1,2.1,37400,0.01449275362318847
2020-01-08,2.074,2.09,2.02,2.04,2.04,15700,-0.02857142857142858
2020-01-09,2.09,2.1,2.02,2.1,2.1,7100,0.02941176470588247
2020-01-10,2.07,2.08,2.0,2.04,2.04,8800,-0.02857142857142858
2020-01-13,2.01,2.08,2.01,2.05,2.05,39500,0.004901960784313708
2020-01-14,2.03,2.07,1.86,1.86,1.86,47200,-0.09268292682926815
2020-01-15,1.88,1.93,1.84,1.93,1.93,18600,0.037634408602150504
2020-01-16,1.95,2.0,1.83,1.97,1.97,34200,0.020725388601036343
2020-01-17,1.98,1.98,1.93,1.95,1.95,18600,-0.010152284263959421
2020-01-21,1.95,1.95,1.8,1.81,1.81,15400,-0.07179487179487176
2020-01-22,1.814,1.9,1.72,1.72,1.72,18800,-0.04972375690607744
2020-01-23,1.737,1.82,1.73,1.73,1.73,4600,0.005813953488372103
2020-01-24,1.73,1.85,1.64,1.64,1.64,21700,-0.052023121387283267
2020-01-27,1.622,1.641,1.48,1.54,1.54,17200,-0.060975609756097504
2020-01-28,1.694,1.71,1.58,1.68,1.68,12000,0.09090909090909083
2020-01-29,1.58,1.59,1.58,1.59,1.59,3100,-0.05357142857142849
2020-01-30,1.61,1.632,1.3,1.55,1.55,38000,-0.02515723270440251
2020-01-31,1.33,1.38,1.25,1.25,1.25,150500,-0.19354838709677424
2020-02-03,1.25,1.3,1.25,1.296,1.296,34300,0.036799999999999944
2020-02-04,1.3,1.3,1.2,1.25,1.25,60100,-0.035493827160493874
2020-02-05,1.2,1.25,1.119,1.25,1.25,62000,0.0
2020-02-06,1.29,1.69,1.16,1.41,1.41,787000,0.1279999999999999
2020-02-07,1.63,1.63,1.22,1.23,1.23,159200,-0.12765957446808507
2020-02-10,1.29,1.32,1.21,1.28,1.28,67000,0.04065040650406515
2020-02-11,1.31,1.31,1.06,1.12,1.12,110200,-0.12499999999999989
2020-02-12,1.15,1.2,1.12,1.15,1.15,20300,0.02678571428571419
2020-02-13,1.15,1.38,1.12,1.23,1.23,222900,0.06956521739130439
2020-02-14,1.35,1.35,1.15,1.16,1.16,49600,-0.056910569105691144
2020-02-18,1.12,1.15,1.12,1.13,1.13,35900,-0.025862068965517238
2020-02-19,1.13,1.18,1.1,1.11,1.11,30100,-0.017699115044247593
2020-02-20,1.1,1.85,1.1,1.25,1.25,1776800,0.12612612612612595
2020-02-21,1.25,1.25,1.12,1.12,1.12,213200,-0.10399999999999987
2020-02-24,1.13,1.13,0.99,1.01,1.01,241200,-0.09821428571428581
2020-02-25,1.02,1.087,0.964,0.98,0.98,123300,-0.02970297029702973
2020-02-26,0.983,1.04,0.98,1.01,1.01,59600,0.030612244897959107
2020-02-27,1.0,1.0,0.96,0.99,0.99,37800,-0.01980198019801982
2020-02-28,0.98,0.999,0.9,0.96,0.96,42400,-0.030303030303030276
2020-03-02,1.05,1.05,0.841,0.9,0.9,112400,-0.06249999999999989
2020-03-03,0.944,1.02,0.851,0.99,0.99,28900,0.09999999999999987
2020-03-04,0.99,0.991,0.907,0.99,0.99,22600,0.0
2020-03-05,0.91,1.34,0.9,0.975,0.975,1076200,-0.015151515151515138
2020-03-06,0.941,0.945,0.85,0.867,0.867,185300,-0.11076923076923073
2020-03-09,0.8,0.832,0.78,0.792,0.792,68100,-0.08650519031141868
2020-03-10,0.892,0.892,0.76,0.771,0.771,69000,-0.02651515151515149
2020-03-11,0.755,0.835,0.72,0.791,0.791,35800,0.025940337224384047
2020-03-12,0.745,0.749,0.66,0.715,0.715,61500,-0.09608091024020238
2020-03-13,0.736,0.792,0.68,0.7,0.7,52700,-0.020979020979021046
2020-03-16,0.75,0.75,0.655,0.675,0.675,16600,-0.03571428571428559
2020-03-17,0.648,0.792,0.648,0.717,0.717,9700,0.06222222222222218
2020-03-18,0.64,0.78,0.64,0.7,0.7,13100,-0.023709902370990243
2020-03-19,0.72,0.99,0.631,0.91,0.91,348300,0.30000000000000004
2020-03-20,0.87,0.9,0.76,0.811,0.811,119000,-0.10879120879120874
2020-03-23,0.92,1.1,0.77,0.814,0.814,600600,0.0036991368680638903
2020-03-24,0.78,0.816,0.733,0.79,0.79,130600,-0.029484029484029395
2020-03-25,0.78,0.8,0.75,0.78,0.78,49000,-0.012658227848101222
2020-03-26,0.82,0.9,0.762,0.795,0.795,81900,0.019230769230769162
2020-03-27,0.811,0.84,0.78,0.821,0.821,34800,0.03270440251572326
2020-03-30,0.86,0.86,0.71,0.711,0.711,62100,-0.13398294762484775
2020-03-31,0.72,0.82,0.72,0.81,0.81,61200,0.139240506329114
2020-04-01,0.845,0.845,0.752,0.8,0.8,19100,-0.012345679012345734
2020-04-02,0.795,0.8,0.72,0.8,0.8,38400,0.0
2020-04-03,0.8,0.8,0.751,0.79,0.79,20600,-0.012499999999999956
