Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.52,1.65,1.51,1.58,1.58,132900,
2020-01-03,1.61,1.7,1.53,1.66,1.66,177800,0.05063291139240489
2020-01-06,1.61,1.67,1.55,1.62,1.62,120700,-0.02409638554216853
2020-01-07,1.6,1.63,1.55,1.58,1.58,47400,-0.024691358024691357
2020-01-08,1.56,1.59,1.54,1.55,1.55,97900,-0.01898734177215189
2020-01-09,1.58,1.58,1.52,1.55,1.55,134800,0.0
2020-01-10,1.52,1.57,1.5,1.52,1.52,76100,-0.01935483870967747
2020-01-13,1.48,1.49,1.41,1.47,1.47,82700,-0.03289473684210531
2020-01-14,1.45,1.52,1.43,1.51,1.51,41500,0.027210884353741527
2020-01-15,1.51,1.53,1.45,1.46,1.46,33900,-0.03311258278145701
2020-01-16,1.52,1.53,1.46,1.53,1.53,72200,0.047945205479452024
2020-01-17,1.51,1.78,1.51,1.67,1.67,318700,0.0915032679738561
2020-01-21,1.68,1.68,1.53,1.63,1.63,102200,-0.02395209580838331
2020-01-22,1.63,1.63,1.52,1.56,1.56,75000,-0.04294478527607348
2020-01-23,1.57,1.78,1.57,1.6,1.6,253400,0.025641025641025772
2020-01-24,1.61,1.7,1.55,1.56,1.56,125200,-0.025000000000000022
2020-01-27,1.53,1.61,1.46,1.46,1.46,117100,-0.06410256410256421
2020-01-28,1.54,1.63,1.5,1.56,1.56,200600,0.06849315068493156
2020-01-29,1.56,1.57,1.51,1.51,1.51,44700,-0.03205128205128205
2020-01-30,1.51,1.55,1.51,1.52,1.52,70800,0.0066225165562914245
2020-01-31,1.52,1.57,1.49,1.49,1.49,144400,-0.019736842105263164
2020-02-03,1.5,1.52,1.48,1.5,1.5,13100,0.006711409395973256
2020-02-04,1.52,1.52,1.49,1.49,1.49,34100,-0.00666666666666671
2020-02-05,1.5,1.5,1.44,1.49,1.49,54100,0.0
2020-02-06,1.5,1.57,1.46,1.51,1.51,107600,0.01342281879194629
2020-02-07,1.51,1.57,1.5,1.55,1.55,57500,0.026490066225165476
2020-02-10,1.55,1.74,1.52,1.68,1.68,361500,0.08387096774193536
2020-02-11,1.67,1.75,1.55,1.61,1.61,387500,-0.04166666666666652
2020-02-12,1.68,1.68,1.52,1.54,1.54,152100,-0.0434782608695653
2020-02-13,1.56,1.72,1.54,1.69,1.69,1436500,0.09740259740259738
2020-02-14,1.82,1.85,1.55,1.6,1.6,848400,-0.053254437869822424
2020-02-18,1.55,1.58,1.41,1.45,1.45,333300,-0.09375000000000011
2020-02-19,1.49,1.57,1.4,1.5,1.5,670000,0.034482758620689724
2020-02-20,1.51,1.51,1.43,1.45,1.45,209900,-0.033333333333333326
2020-02-21,1.45,1.49,1.43,1.45,1.45,109100,0.0
2020-02-24,1.41,1.45,1.37,1.39,1.39,164700,-0.04137931034482767
2020-02-25,1.39,1.42,1.36,1.38,1.38,114400,-0.007194244604316502
2020-02-26,1.37,1.4,1.3,1.31,1.31,179400,-0.05072463768115931
2020-02-27,1.3,1.3,1.07,1.12,1.12,249100,-0.1450381679389312
2020-02-28,1.08,1.11,1.01,1.04,1.04,179800,-0.07142857142857151
2020-03-02,1.07,1.15,1.04,1.1,1.1,58000,0.05769230769230771
2020-03-03,1.1,1.12,1.04,1.04,1.04,54200,-0.054545454545454564
2020-03-04,1.07,1.16,1.05,1.1,1.1,104200,0.05769230769230771
2020-03-05,1.09,1.13,1.04,1.07,1.07,47000,-0.027272727272727337
2020-03-06,1.05,1.1,1.05,1.05,1.05,100000,-0.01869158878504673
2020-03-09,1.04,1.04,0.8,0.89,0.89,80900,-0.1523809523809524
2020-03-10,1.04,1.08,0.89,0.91,0.91,43200,0.022471910112359605
2020-03-11,0.89,1.19,0.81,0.82,0.82,507300,-0.098901098901099
2020-03-12,0.81,0.81,0.7,0.76,0.76,92100,-0.07317073170731703
2020-03-13,0.78,0.94,0.65,0.79,0.79,76800,0.03947368421052633
2020-03-16,0.77,0.77,0.59,0.73,0.73,51800,-0.07594936708860767
2020-03-17,0.71,0.77,0.65,0.74,0.74,18900,0.013698630136986356
2020-03-18,0.65,0.7,0.53,0.63,0.63,101600,-0.14864864864864868
2020-03-19,0.58,0.84,0.58,0.66,0.66,255100,0.04761904761904767
2020-03-20,0.68,0.74,0.6,0.68,0.68,86500,0.030303030303030276
2020-03-23,0.65,0.66,0.6,0.64,0.64,27300,-0.05882352941176472
2020-03-24,0.65,0.76,0.62,0.65,0.65,119500,0.015625
2020-03-25,0.67,0.79,0.62,0.71,0.71,74200,0.0923076923076922
2020-03-26,0.71,0.78,0.68,0.68,0.68,66000,-0.042253521126760396
2020-03-27,0.73,0.78,0.71,0.78,0.78,52000,0.1470588235294117
2020-03-30,0.77,0.78,0.68,0.7,0.7,44400,-0.10256410256410264
2020-03-31,0.7,0.79,0.67,0.67,0.67,70300,-0.042857142857142705
2020-04-01,0.7,0.74,0.63,0.67,0.67,44000,0.0
2020-04-02,0.68,0.72,0.65,0.7,0.7,48300,0.04477611940298498
2020-04-03,0.7,0.75,0.65,0.7,0.7,106600,0.0
