Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.54,1.54,1.54,1.54,1.54,0,
2020-01-03,1.54,1.54,1.54,1.54,1.54,0,0.0
2020-01-06,1.43,1.6,1.43,1.59,1.59,14300,0.032467532467532534
2020-01-07,1.44,1.58,1.44,1.57,1.57,3400,-0.012578616352201255
2020-01-08,1.54,1.55,1.45,1.55,1.55,6200,-0.01273885350318471
2020-01-09,1.56,1.56,1.5,1.51,1.51,3000,-0.02580645161290329
2020-01-10,1.5,1.56,1.47,1.56,1.56,1200,0.0331125827814569
2020-01-13,1.56,1.56,1.56,1.56,1.56,300,0.0
2020-01-14,1.52,1.6,1.5,1.59,1.59,5400,0.019230769230769162
2020-01-15,1.53,1.57,1.46,1.57,1.57,6600,-0.012578616352201255
2020-01-16,1.48,1.53,1.48,1.53,1.53,400,-0.02547770700636942
2020-01-17,1.49,1.57,1.48,1.57,1.57,4000,0.026143790849673332
2020-01-21,1.53,1.56,1.48,1.56,1.56,4600,-0.006369426751592355
2020-01-22,1.55,1.56,1.49,1.55,1.55,3900,-0.0064102564102563875
2020-01-23,1.53,1.55,1.5,1.55,1.55,2900,0.0
2020-01-24,1.57,1.57,1.5,1.56,1.56,4200,0.006451612903225712
2020-01-27,1.5,1.56,1.5,1.56,1.56,1300,0.0
2020-01-28,1.54,1.57,1.5,1.56,1.56,700,0.0
2020-01-29,1.52,1.57,1.52,1.57,1.57,600,0.0064102564102563875
2020-01-30,1.53,1.57,1.5,1.57,1.57,4500,0.0
2020-01-31,1.56,1.57,1.51,1.56,1.56,7000,-0.006369426751592355
2020-02-03,1.5,1.55,1.37,1.37,1.37,4400,-0.1217948717948718
2020-02-04,1.4,1.53,1.4,1.52,1.52,1600,0.10948905109489049
2020-02-05,1.49,1.52,1.26,1.5,1.5,28700,-0.013157894736842146
2020-02-06,1.46,1.55,1.45,1.5,1.5,5400,0.0
2020-02-07,1.5,1.5,1.5,1.5,1.5,0,0.0
2020-02-10,1.45,1.5,1.45,1.5,1.5,6900,0.0
2020-02-11,1.62,1.62,1.54,1.55,1.55,20600,0.03333333333333344
2020-02-12,1.61,1.61,1.5,1.55,1.55,3700,0.0
2020-02-13,1.54,1.55,1.54,1.55,1.55,3300,0.0
2020-02-14,1.55,1.55,1.55,1.55,1.55,0,0.0
2020-02-18,1.55,1.56,1.35,1.5,1.5,20400,-0.032258064516129115
2020-02-19,1.49,1.5,1.47,1.5,1.5,2900,0.0
2020-02-20,1.45,1.55,1.42,1.54,1.54,25500,0.026666666666666616
2020-02-21,1.52,1.54,1.47,1.5,1.5,1900,-0.025974025974025983
2020-02-24,1.49,1.49,1.49,1.49,1.49,120000,-0.00666666666666671
2020-02-25,1.46,1.47,1.46,1.47,1.47,800,-0.01342281879194629
2020-02-26,1.43,1.49,1.42,1.49,1.49,1800,0.013605442176870763
2020-02-27,1.49,1.49,1.49,1.49,1.49,0,0.0
2020-02-28,1.34,1.45,1.34,1.45,1.45,1500,-0.02684563758389269
2020-03-02,1.47,1.47,1.47,1.47,1.47,400,0.01379310344827589
2020-03-03,1.42,1.47,1.4,1.47,1.47,1100,0.0
2020-03-04,1.49,1.49,1.49,1.49,1.49,300,0.013605442176870763
2020-03-05,1.43,1.49,1.4,1.49,1.49,22500,0.0
2020-03-06,1.42,1.48,1.25,1.48,1.48,19700,-0.006711409395973145
2020-03-09,1.34,1.46,1.22,1.23,1.23,20400,-0.16891891891891897
2020-03-10,1.42,1.42,1.42,1.42,1.42,400,0.15447154471544722
2020-03-11,1.39,1.39,1.39,1.39,1.39,200,-0.021126760563380254
2020-03-12,1.22,1.35,1.15,1.35,1.35,9800,-0.028776978417266008
2020-03-13,1.31,1.45,1.29,1.45,1.45,27200,0.07407407407407396
2020-03-16,1.19,1.45,1.19,1.45,1.45,1400,0.0
2020-03-17,1.27,1.45,1.22,1.43,1.43,1900,-0.01379310344827589
2020-03-18,1.21,1.21,1.08,1.14,1.14,7700,-0.2027972027972028
2020-03-19,1.05,1.3,1.04,1.27,1.27,1900,0.11403508771929838
2020-03-20,1.3,1.3,1.3,1.3,1.3,900,0.023622047244094446
2020-03-23,1.11,1.35,1.11,1.16,1.16,1400,-0.10769230769230775
2020-03-24,1.11,1.27,1.11,1.27,1.27,2300,0.09482758620689657
2020-03-25,1.18,1.28,1.16,1.28,1.28,700,0.007874015748031482
2020-03-26,1.33,1.4,1.33,1.4,1.4,6600,0.09375
2020-03-27,1.29,1.38,1.29,1.38,1.38,500,-0.014285714285714346
2020-03-30,1.38,1.38,1.38,1.38,1.38,600,0.0
2020-03-31,1.31,1.31,1.31,1.31,1.31,200,-0.05072463768115931
2020-04-01,1.38,1.38,1.14,1.28,1.28,7500,-0.022900763358778664
2020-04-02,1.14,1.14,1.14,1.14,1.14,200,-0.10937500000000011
2020-04-03,1.15,1.27,1.09,1.27,1.27,3700,0.11403508771929838
