Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,11.25,11.28,10.96,11.18,11.18,103900,
2020-01-03,11.18,11.2,10.97,11.07,11.07,41000,-0.009838998211091132
2020-01-06,10.95,11.08,10.91,10.96,10.96,37000,-0.009936766034326916
2020-01-07,11.08,11.19,11.01,11.11,11.11,43000,0.013686131386861256
2020-01-08,11.12,11.35,11.12,11.3,11.3,79800,0.017101710171017137
2020-01-09,11.35,11.47,11.23,11.24,11.24,67000,-0.005309734513274433
2020-01-10,11.25,11.38,11.16,11.23,11.23,40600,-0.000889679715302516
2020-01-13,11.37,11.48,11.25,11.4,11.4,81700,0.015138023152270641
2020-01-14,11.45,12.74,11.45,12.68,12.68,241900,0.11228070175438587
2020-01-15,12.5,12.53,12.28,12.36,12.36,72500,-0.025236593059936974
2020-01-16,12.52,12.65,12.37,12.65,12.65,45900,0.023462783171521062
2020-01-17,12.73,12.79,12.25,12.48,12.48,86300,-0.013438735177865646
2020-01-21,14.1,14.24,13.04,13.14,13.14,256200,0.05288461538461542
2020-01-22,13.28,13.83,13.17,13.5,13.5,192300,0.02739726027397249
2020-01-23,13.52,13.75,13.41,13.46,13.46,118900,-0.002962962962962945
2020-01-24,13.59,13.65,13.03,13.13,13.13,66700,-0.024517087667161985
2020-01-27,12.85,12.85,12.36,12.36,12.36,162400,-0.05864432597105873
2020-01-28,12.13,12.64,12.13,12.44,12.44,94100,0.006472491909385036
2020-01-29,12.5,12.56,12.22,12.22,12.22,49600,-0.01768488745980701
2020-01-30,12.12,12.16,11.7,11.81,11.81,107300,-0.03355155482815053
2020-01-31,11.79,11.79,11.25,11.33,11.33,84400,-0.04064352243861136
2020-02-03,11.73,12.06,11.47,11.73,11.73,161800,0.035304501323918824
2020-02-04,11.98,12.06,11.75,11.98,11.98,155700,0.021312872975277175
2020-02-05,12.18,12.29,12.03,12.15,12.15,98900,0.014190317195325486
2020-02-06,12.18,12.18,11.99,12.07,12.07,59700,-0.006584362139917754
2020-02-07,12.0,12.0,11.83,11.96,11.96,64600,-0.009113504556752194
2020-02-10,11.8,11.92,11.64,11.75,11.75,134900,-0.01755852842809369
2020-02-11,11.85,12.04,11.83,11.9,11.9,96100,0.01276595744680864
2020-02-12,11.97,11.98,11.79,11.8,11.8,152800,-0.008403361344537785
2020-02-13,11.74,11.84,11.59,11.68,11.68,137900,-0.01016949152542379
2020-02-14,11.67,12.08,11.61,12.05,12.05,113400,0.03167808219178081
2020-02-18,11.88,12.01,11.78,12.01,12.01,157800,-0.003319502074688896
2020-02-19,11.82,12.14,11.81,12.12,12.12,200400,0.00915903413821817
2020-02-20,11.8,12.26,11.6,12.0,12.0,306700,-0.009900990099009799
2020-02-21,11.91,12.2,11.78,12.01,12.01,148300,0.0008333333333332416
2020-02-24,11.28,11.32,10.86,11.05,11.05,272700,-0.07993338884263101
2020-02-25,11.28,11.48,10.77,10.8,10.8,177900,-0.022624434389140302
2020-02-26,10.9,11.02,10.64,10.66,10.66,73200,-0.012962962962963065
2020-02-27,10.16,10.72,9.91,10.48,10.48,275300,-0.016885553470919246
2020-02-28,10.06,10.58,10.06,10.46,10.46,183100,-0.001908396946564861
2020-03-02,10.55,10.68,10.15,10.5,10.5,77600,0.003824091778202643
2020-03-03,10.54,10.69,10.02,10.1,10.1,111700,-0.03809523809523818
2020-03-04,10.19,10.27,9.97,10.14,10.14,134100,0.003960396039603964
2020-03-05,9.69,10.23,9.61,10.23,10.23,157900,0.008875739644970349
2020-03-06,9.98,10.19,9.95,10.07,10.07,158000,-0.01564027370478982
2020-03-09,8.97,9.11,8.54,8.68,8.68,288400,-0.1380337636544191
2020-03-10,9.0,9.27,8.83,9.19,9.19,101000,0.05875576036866348
2020-03-11,9.01,9.7,8.93,9.17,9.17,600700,-0.0021762785636560977
2020-03-12,8.38,8.62,8.02,8.02,8.02,173500,-0.12540894220283538
2020-03-13,8.3,8.6,7.79,8.44,8.44,141900,0.052369077306733125
2020-03-16,7.63,7.63,7.2,7.31,7.31,131600,-0.13388625592417058
2020-03-17,7.31,7.39,6.96,7.29,7.29,162300,-0.002735978112175075
2020-03-18,6.93,7.08,6.27,6.48,6.48,116200,-0.11111111111111105
2020-03-19,6.97,7.74,6.83,7.18,7.18,120400,0.1080246913580245
2020-03-20,7.29,8.04,7.0,7.04,7.04,139700,-0.01949860724233976
2020-03-23,7.0,7.66,6.7,7.18,7.18,280000,0.019886363636363535
2020-03-24,7.82,8.73,7.72,8.43,8.43,241100,0.1740947075208914
2020-03-25,8.39,8.8,8.06,8.41,8.41,147500,-0.0023724792408066353
2020-03-26,8.45,8.97,8.45,8.74,8.74,121300,0.03923900118906065
2020-03-27,8.52,8.56,8.17,8.4,8.4,62300,-0.0389016018306636
2020-03-30,8.53,8.82,8.33,8.47,8.47,101200,0.008333333333333304
2020-03-31,8.59,8.72,8.31,8.42,8.42,59000,-0.005903187721369663
2020-04-01,8.39,8.67,8.25,8.34,8.34,87200,-0.009501187648456089
2020-04-02,8.35,8.6,8.09,8.19,8.19,89400,-0.017985611510791366
2020-04-03,8.19,8.44,7.65,7.9,7.9,175200,-0.03540903540903528
