Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.3,1.36,1.23,1.23,1.23,98600,
2020-01-03,1.25,1.32,1.22,1.26,1.26,162000,0.024390243902439046
2020-01-06,1.29,1.44,1.26,1.34,1.34,305900,0.06349206349206349
2020-01-07,1.38,1.43,1.3,1.35,1.35,133900,0.00746268656716409
2020-01-08,1.37,1.42,1.27,1.33,1.33,195500,-0.014814814814814836
2020-01-09,1.35,1.85,1.35,1.75,1.75,1103600,0.3157894736842104
2020-01-10,1.78,1.78,1.57,1.67,1.67,374500,-0.04571428571428571
2020-01-13,1.73,1.75,1.59,1.68,1.68,213200,0.0059880239520957446
2020-01-14,1.75,1.75,1.64,1.72,1.72,170200,0.023809523809523725
2020-01-15,1.73,1.79,1.69,1.79,1.79,179000,0.04069767441860472
2020-01-16,1.8,1.95,1.73,1.78,1.78,272800,-0.005586592178770999
2020-01-17,1.79,1.88,1.75,1.83,1.83,201200,0.028089887640449396
2020-01-21,1.87,1.97,1.79,1.82,1.82,175300,-0.005464480874316946
2020-01-22,1.81,1.93,1.75,1.8,1.8,122200,-0.01098901098901095
2020-01-23,1.84,1.84,1.71,1.77,1.77,113100,-0.01666666666666672
2020-01-24,1.76,1.96,1.75,1.77,1.77,144900,0.0
2020-01-27,1.82,1.82,1.6,1.62,1.62,147600,-0.0847457627118644
2020-01-28,1.6,1.73,1.6,1.62,1.62,123700,0.0
2020-01-29,1.63,1.72,1.59,1.61,1.61,115800,-0.006172839506172867
2020-01-30,1.65,1.65,1.52,1.54,1.54,90200,-0.0434782608695653
2020-01-31,1.57,1.58,1.42,1.53,1.53,113300,-0.006493506493506551
2020-02-03,1.69,1.71,1.47,1.5,1.5,148500,-0.019607843137254943
2020-02-04,1.51,1.58,1.49,1.49,1.49,117800,-0.00666666666666671
2020-02-05,1.51,1.56,1.42,1.56,1.56,110800,0.046979865771812124
2020-02-06,1.56,1.59,1.5,1.51,1.51,47000,-0.03205128205128205
2020-02-07,1.55,1.65,1.46,1.49,1.49,165300,-0.013245033112582738
2020-02-10,1.48,1.51,1.41,1.43,1.43,107300,-0.04026845637583898
2020-02-11,1.44,1.49,1.35,1.36,1.36,93200,-0.04895104895104885
2020-02-12,1.36,1.48,1.36,1.39,1.39,106000,0.022058823529411686
2020-02-13,1.38,1.46,1.37,1.37,1.37,139300,-0.014388489208632893
2020-02-14,1.38,1.45,1.33,1.34,1.34,170700,-0.021897810218978075
2020-02-18,1.37,1.43,1.36,1.42,1.42,100100,0.05970149253731338
2020-02-19,1.41,1.45,1.33,1.38,1.38,104400,-0.028169014084507116
2020-02-20,1.36,1.43,1.36,1.38,1.38,77900,0.0
2020-02-21,1.37,1.42,1.33,1.39,1.39,150200,0.007246376811594235
2020-02-24,1.39,1.42,1.33,1.39,1.39,73900,0.0
2020-02-25,1.4,1.45,1.3,1.34,1.34,192000,-0.03597122302158262
2020-02-26,1.32,1.37,1.16,1.21,1.21,189200,-0.09701492537313439
2020-02-27,1.16,1.29,1.12,1.2,1.2,200200,-0.008264462809917328
2020-02-28,1.19,1.3,1.13,1.18,1.18,183500,-0.01666666666666672
2020-03-02,1.18,1.3,1.12,1.13,1.13,168000,-0.0423728813559322
2020-03-03,1.12,1.19,1.12,1.14,1.14,146200,0.008849557522123908
2020-03-04,1.15,1.2,1.15,1.18,1.18,125400,0.03508771929824572
2020-03-05,1.15,1.25,1.14,1.17,1.17,95100,-0.008474576271186418
2020-03-06,1.18,1.23,1.13,1.13,1.13,209200,-0.03418803418803418
2020-03-09,1.07,1.13,0.95,0.95,0.95,145700,-0.15929203539823
2020-03-10,1.0,1.15,0.94,0.94,0.94,609700,-0.010526315789473717
2020-03-11,1.03,1.04,0.94,1.0,1.0,137700,0.06382978723404253
2020-03-12,0.99,1.06,0.88,1.04,1.04,145000,0.040000000000000036
2020-03-13,1.29,1.29,1.0,1.07,1.07,146900,0.028846153846153966
2020-03-16,1.07,1.08,0.93,1.01,1.01,107200,-0.05607476635514019
2020-03-17,1.08,1.35,1.01,1.17,1.17,275600,0.15841584158415833
2020-03-18,1.43,1.45,1.05,1.12,1.12,1524400,-0.04273504273504258
2020-03-19,1.14,1.27,1.03,1.18,1.18,510800,0.05357142857142838
2020-03-20,1.18,1.23,1.1,1.11,1.11,383400,-0.05932203389830493
2020-03-23,1.11,1.2,1.08,1.16,1.16,358300,0.04504504504504481
2020-03-24,1.23,2.17,1.2,1.76,1.76,13083800,0.517241379310345
2020-03-25,1.62,2.25,1.5,2.02,2.02,5418600,0.1477272727272727
2020-03-26,1.44,1.91,1.3,1.42,1.42,4285800,-0.29702970297029707
2020-03-27,1.39,1.39,1.2,1.29,1.29,1168700,-0.09154929577464777
2020-03-30,1.31,1.32,1.15,1.19,1.19,462600,-0.07751937984496127
2020-03-31,1.17,1.28,1.09,1.2,1.2,1186800,0.008403361344537785
2020-04-01,1.19,1.19,1.04,1.08,1.08,578500,-0.09999999999999987
2020-04-02,1.06,1.08,0.96,1.01,1.01,572300,-0.06481481481481488
2020-04-03,1.25,1.33,0.99,1.0,1.0,9120100,-0.00990099009900991
