Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,7.65,7.72,7.58,7.68,7.68,74200,
2020-01-03,7.6,7.72,7.59,7.71,7.71,56600,0.00390625
2020-01-06,7.64,7.88,7.64,7.83,7.83,38400,0.015564202334630295
2020-01-07,7.77,7.95,7.63,7.69,7.69,38600,-0.017879948914431676
2020-01-08,7.69,7.86,7.62,7.74,7.74,44700,0.006501950585175553
2020-01-09,7.73,7.97,7.73,7.82,7.82,47000,0.010335917312661591
2020-01-10,7.79,7.96,7.72,7.8,7.8,67100,-0.002557544757033292
2020-01-13,7.8,7.91,7.73,7.91,7.91,40800,0.014102564102564052
2020-01-14,7.87,8.13,7.74,8.12,8.12,83600,0.0265486725663715
2020-01-15,8.1,8.12,7.92,7.95,7.95,57900,-0.020935960591132896
2020-01-16,7.99,8.1,7.97,8.04,8.04,40400,0.011320754716980908
2020-01-17,8.11,8.11,7.92,7.94,7.94,63500,-0.01243781094527352
2020-01-21,8.0,8.19,8.0,8.09,8.09,45800,0.018891687657430767
2020-01-22,8.04,8.09,7.91,7.95,7.95,58100,-0.017305315203955507
2020-01-23,7.94,8.01,7.67,7.96,7.96,86000,0.0012578616352201255
2020-01-24,7.91,7.94,7.74,7.77,7.77,50800,-0.023869346733668362
2020-01-27,7.65,7.67,7.47,7.48,7.48,45600,-0.03732303732303721
2020-01-28,7.5,7.51,7.42,7.49,7.49,42800,0.0013368983957218195
2020-01-29,7.47,7.48,7.28,7.33,7.33,41900,-0.021361815754339153
2020-01-30,7.28,7.64,7.26,7.62,7.62,71000,0.0395634379263301
2020-01-31,7.54,7.67,7.28,7.6,7.6,105600,-0.002624671916010568
2020-02-03,7.65,7.83,7.55,7.57,7.57,54600,-0.003947368421052588
2020-02-04,7.66,7.81,7.64,7.69,7.69,46000,0.01585204755614278
2020-02-05,7.7,7.9,7.67,7.87,7.87,97800,0.023407022106632036
2020-02-06,7.85,7.85,7.75,7.84,7.84,45400,-0.003811944091486663
2020-02-07,7.81,7.85,7.64,7.71,7.71,81700,-0.01658163265306123
2020-02-10,7.69,7.75,7.63,7.69,7.69,75000,-0.0025940337224383825
2020-02-11,7.71,7.78,7.6,7.69,7.69,52300,0.0
2020-02-12,7.74,7.74,7.54,7.68,7.68,34400,-0.0013003901170351995
2020-02-13,7.64,7.81,7.59,7.72,7.72,50300,0.005208333333333259
2020-02-14,7.71,7.81,7.67,7.72,7.72,57800,0.0
2020-02-18,7.72,7.76,7.69,7.73,7.73,34400,0.0012953367875647714
2020-02-19,7.75,7.84,7.71,7.74,7.74,21100,0.001293661060802087
2020-02-20,7.71,7.79,7.68,7.74,7.74,60400,0.0
2020-02-21,7.79,7.8,7.7,7.73,7.73,38100,-0.0012919896640826156
2020-02-24,7.49,7.79,7.49,7.68,7.68,58400,-0.0064683053040104355
2020-02-25,7.73,7.99,7.56,7.62,7.62,94100,-0.0078125
2020-02-26,7.67,7.67,7.43,7.48,7.48,39800,-0.01837270341207342
2020-02-27,7.39,7.48,7.08,7.1,7.1,109200,-0.05080213903743325
2020-02-28,6.86,7.0,6.66,6.75,6.75,105800,-0.04929577464788726
2020-03-02,6.75,6.82,6.55,6.76,6.76,62300,0.001481481481481417
2020-03-03,6.79,6.89,6.42,6.42,6.42,107700,-0.050295857988165715
2020-03-04,6.81,7.2,6.71,7.14,7.14,79100,0.11214953271028039
2020-03-05,6.88,7.07,6.62,6.72,6.72,113100,-0.05882352941176472
2020-03-06,6.6,6.75,6.42,6.59,6.59,55400,-0.019345238095238027
2020-03-09,6.14,6.33,5.95,6.03,6.03,139000,-0.08497723823975711
2020-03-10,6.24,6.3,5.81,6.19,6.19,148100,0.026533996683250516
2020-03-11,5.98,6.1,5.55,5.58,5.58,149700,-0.09854604200323103
2020-03-12,5.02,5.27,4.68,4.71,4.71,168800,-0.15591397849462363
2020-03-13,4.87,5.13,4.63,4.71,4.71,188700,0.0
2020-03-16,4.31,4.64,3.74,3.8,3.8,287200,-0.19320594479830155
2020-03-17,3.77,4.41,3.65,4.36,4.36,261800,0.14736842105263182
2020-03-18,4.09,4.24,3.53,3.71,3.71,98400,-0.1490825688073395
2020-03-19,3.7,4.62,3.62,4.28,4.28,172300,0.15363881401617263
2020-03-20,4.23,4.43,3.84,3.94,3.94,189000,-0.07943925233644866
2020-03-23,3.95,4.0,3.65,3.98,3.98,128700,0.010152284263959421
2020-03-24,4.0,4.54,3.92,4.49,4.49,155100,0.1281407035175881
2020-03-25,4.45,4.81,4.36,4.46,4.46,60700,-0.006681514476614803
2020-03-26,4.57,5.01,4.56,4.98,4.98,104600,0.11659192825112119
2020-03-27,4.73,5.2,4.54,4.72,4.72,84800,-0.052208835341365556
2020-03-30,4.78,4.78,4.3,4.62,4.62,90100,-0.021186440677966045
2020-03-31,4.59,4.76,4.48,4.67,4.67,81600,0.010822510822510845
2020-04-01,4.5,4.59,4.36,4.55,4.55,105900,-0.025695931477516032
2020-04-02,4.5,4.7,4.48,4.67,4.67,77600,0.026373626373626502
2020-04-03,4.64,4.73,4.44,4.54,4.54,67900,-0.027837259100642386
