Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,26.02,26.02,25.17,25.700001,25.700001,81900,
2020-01-03,25.290001,25.52,24.75,25.389999,25.389999,119100,-0.012062334160998667
2020-01-06,25.309998999999998,26.57,25.16,26.360001,26.360001,154500,0.038204097605517795
2020-01-07,26.139999,26.139999,25.309998999999998,25.85,25.85,97900,-0.019347533408667128
2020-01-08,26.01,26.5,25.879998999999998,26.1,26.1,72800,0.009671179883945946
2020-01-09,26.190001000000002,26.35,25.84,25.91,25.91,83200,-0.0072796934865900775
2020-01-10,25.99,25.99,25.5,25.67,25.67,77800,-0.009262832883056626
2020-01-13,25.67,25.940001000000002,25.24,25.74,25.74,89500,0.002726918582002247
2020-01-14,25.700001,25.969998999999998,25.379998999999998,25.42,25.42,65400,-0.012432012432012307
2020-01-15,25.4,25.6,25.120001000000002,25.190001000000002,25.190001000000002,60400,-0.00904795436664041
2020-01-16,25.389999,25.76,25.120001000000002,25.32,25.32,84400,0.005160738183376701
2020-01-17,25.48,25.48,24.77,24.799999,24.799999,65100,-0.020537164296998478
2020-01-21,24.75,25.34,24.1,25.200001,25.200001,125100,0.016129113553593255
2020-01-22,25.25,25.450001,25.059998999999998,25.290001,25.290001,57100,0.003571428429705259
2020-01-23,25.17,25.299999,24.690001000000002,25.27,25.27,95700,-0.000790865923651074
2020-01-24,25.32,25.32,24.99,25.15,25.15,65700,-0.00474871388998821
2020-01-27,24.879998999999998,25.459999,24.77,25.1,25.1,66100,-0.001988071570576455
2020-01-28,25.139999,25.59,25.139999,25.4,25.4,40900,0.01195219123505975
2020-01-29,25.32,25.459999,25.1,25.200001,25.200001,35000,-0.00787397637795273
2020-01-30,25.030001000000002,25.18,24.42,24.639999,24.639999,47500,-0.02222230070546427
2020-01-31,24.559998999999998,24.77,23.59,24.549999,24.549999,96900,-0.003652597550835912
2020-02-03,24.549999,24.74,24.379998999999998,24.620001000000002,24.620001000000002,128200,0.0028514054114625598
2020-02-04,24.77,24.870001000000002,24.27,24.65,24.65,45000,0.0012184808603377117
2020-02-05,24.76,25.209999,24.620001000000002,25.129998999999998,25.129998999999998,74300,0.019472576064908598
2020-02-06,25.08,25.459999,25.0,25.059998999999998,25.059998999999998,85000,-0.0027855154311785535
2020-02-07,24.790001,25.200001,24.790001,24.809998999999998,24.809998999999998,49800,-0.009976057860177856
2020-02-10,24.700001,25.15,24.32,25.1,25.1,74800,0.01168887592458212
2020-02-11,25.16,25.370001000000002,24.82,25.059998999999998,25.059998999999998,47200,-0.001593665338645578
2020-02-12,25.129998999999998,25.280001000000002,24.549999,24.74,24.74,47400,-0.012769314156796274
2020-02-13,24.450001,24.879998999999998,24.450001,24.629998999999998,24.629998999999998,44100,-0.004446281325788171
2020-02-14,24.65,25.23,24.41,25.049999,25.049999,62900,0.01705237584459507
2020-02-18,25.0,25.059998999999998,24.52,24.719998999999998,24.719998999999998,38600,-0.013173653220505233
2020-02-19,24.76,25.379998999999998,24.6,25.030001000000002,25.030001000000002,52100,0.012540534487885946
2020-02-20,24.959999,25.18,24.65,24.82,24.82,74800,-0.008389971698363197
2020-02-21,24.84,25.030001000000002,24.700001,24.84,24.84,59800,0.0008058017727639033
2020-02-24,24.280001000000002,24.799999,24.139999,24.24,24.24,54200,-0.024154589371980784
2020-02-25,24.24,24.24,23.200001,23.440001000000002,23.440001000000002,141300,-0.0330032590759074
2020-02-26,23.43,23.77,22.07,22.280001000000002,22.280001000000002,108700,-0.04948805249624355
2020-02-27,21.889999,21.889999,20.610001,21.0,21.0,161400,-0.05745067067097542
2020-02-28,20.549999,21.530001000000002,20.549999,21.440001000000002,21.440001000000002,169500,0.02095242857142865
2020-03-02,21.48,21.48,20.379998999999998,21.33,21.33,101200,-0.005130643417414205
2020-03-03,21.32,21.42,19.780001000000002,20.059998999999998,20.059998999999998,156000,-0.05954060009376472
2020-03-04,20.27,20.42,19.629998999999998,20.23,20.23,100700,0.00847462654409914
2020-03-05,19.690001000000002,19.719998999999998,18.0,18.49,18.49,238600,-0.08601087493821069
2020-03-06,19.299999,19.83,18.049999,18.940001000000002,18.940001000000002,355800,0.024337533802055278
2020-03-09,18.15,18.65,16.82,17.620001000000002,17.620001000000002,283300,-0.06969376611965328
2020-03-10,18.01,18.299999,17.07,18.280001000000002,18.280001000000002,196400,0.03745743260741019
2020-03-11,17.76,17.76,16.35,16.51,16.51,291200,-0.09682718288691561
2020-03-12,15.47,16.0,14.48,14.48,14.48,263900,-0.12295578437310728
2020-03-13,15.1,15.97,13.35,14.7,14.7,314600,0.015193370165745845
2020-03-16,13.68,14.2,11.6,11.66,11.66,222200,-0.20680272108843534
2020-03-17,11.81,12.82,10.68,11.95,11.95,281700,0.024871355060034128
2020-03-18,11.18,11.54,8.1,8.23,8.23,320000,-0.31129707112970706
2020-03-19,8.51,10.18,8.23,10.08,10.08,227200,0.22478736330498172
2020-03-20,10.3,11.02,8.3,8.39,8.39,380500,-0.16765873015873012
2020-03-23,8.63,8.73,7.28,8.31,8.31,299100,-0.009535160905840279
2020-03-24,9.51,11.12,9.51,10.57,10.57,347400,0.2719614921780986
2020-03-25,10.68,13.54,10.3,12.56,12.56,518400,0.18826868495742666
2020-03-26,12.6,13.26,11.77,11.87,11.87,429600,-0.0549363057324842
2020-03-27,11.75,11.83,10.5,10.69,10.69,187300,-0.09941027801179447
2020-03-30,10.27,10.79,9.4,9.76,9.76,338200,-0.0869971936389149
2020-03-31,9.61,10.95,9.46,10.07,10.07,311400,0.03176229508196737
2020-04-01,9.51,9.8,8.54,8.64,8.64,322000,-0.14200595829195628
2020-04-02,9.45,9.48,8.71,9.14,9.14,458600,0.05787037037037046
2020-04-03,9.1,9.64,8.56,9.57,9.57,337600,0.04704595185995619
