Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,5.624,5.8,5.624,5.729,5.729,15900,
2020-01-03,5.8,6.28,5.7,6.1,6.1,57200,0.06475824751265491
2020-01-06,6.5,7.0,6.15,6.87,6.87,62400,0.1262295081967213
2020-01-07,7.5,7.75,6.94,7.624,7.624,61400,0.10975254730713235
2020-01-08,7.49,8.24,7.49,8.24,8.24,69600,0.08079748163693612
2020-01-09,7.91,8.96,7.611,8.489,8.489,68600,0.03021844660194173
2020-01-10,8.35,8.49,8.0,8.32,8.32,30400,-0.01990811638591128
2020-01-13,8.3,9.52,8.3,9.42,9.42,128800,0.13221153846153832
2020-01-14,9.5,11.29,9.4,10.5,10.5,274000,0.1146496815286624
2020-01-15,10.99,10.99,9.6,10.1,10.1,78700,-0.03809523809523818
2020-01-16,9.86,10.55,9.52,10.48,10.48,78600,0.03762376237623766
2020-01-17,10.78,11.62,10.479,11.62,11.62,70400,0.1087786259541983
2020-01-21,11.8,12.05,10.824,11.0,11.0,64000,-0.05335628227194489
2020-01-22,11.0,11.25,10.748,11.17,11.17,55900,0.015454545454545388
2020-01-23,11.62,11.69,10.62,10.74,10.74,28400,-0.038495971351835245
2020-01-24,10.73,11.5,10.6,10.85,10.85,37700,0.010242085661080091
2020-01-27,11.1,11.1,10.05,10.271,10.271,27600,-0.053364055299539026
2020-01-28,10.15,11.0,10.01,11.0,11.0,49300,0.07097653587771391
2020-01-29,11.0,11.15,10.76,10.993,10.993,9700,-0.0006363636363636571
2020-01-30,11.06,11.06,10.3,10.34,10.34,17100,-0.05940143727826808
2020-01-31,10.31,10.821,10.1,10.51,10.51,24800,0.01644100580270802
2020-02-03,10.66,11.01,10.66,10.71,10.71,9400,0.019029495718363654
2020-02-04,10.95,11.29,10.731,11.02,11.02,15200,0.02894491129785237
2020-02-05,11.99,12.0,10.51,11.06,11.06,14400,0.003629764065335772
2020-02-06,10.69,11.99,10.69,11.2,11.2,7900,0.012658227848101111
2020-02-07,11.06,11.08,10.986,11.05,11.05,9000,-0.013392857142856984
2020-02-10,11.08,11.6,11.05,11.05,11.05,11600,0.0
2020-02-11,11.05,11.5,10.73,11.05,11.05,21800,0.0
2020-02-12,11.207,11.21,11.05,11.06,11.06,9800,0.0009049773755656076
2020-02-13,11.05,11.35,10.723,11.05,11.05,20000,-0.000904159132007254
2020-02-14,11.25,11.25,10.75,10.75,10.75,11000,-0.02714932126696834
2020-02-18,10.76,11.06,10.76,11.05,11.05,12800,0.027906976744186185
2020-02-19,11.06,11.1,10.8,11.1,11.1,19000,0.004524886877828038
2020-02-20,11.25,11.99,11.05,11.99,11.99,39200,0.08018018018018025
2020-02-21,12.1,13.75,12.1,13.7,13.7,104000,0.1426188490408673
2020-02-24,13.0,14.0,12.0,13.808,13.808,58600,0.007883211678832103
2020-02-25,14.2,14.55,10.94,11.572,11.572,86500,-0.1619351100811125
2020-02-26,11.36,12.33,11.36,11.7,11.7,21500,0.011061182163843775
2020-02-27,11.37,11.47,10.02,10.67,10.67,50300,-0.08803418803418794
2020-02-28,10.5,11.243,10.5,11.0,11.0,19800,0.030927835051546504
2020-03-02,11.0,11.5,10.499,11.5,11.5,36600,0.045454545454545414
2020-03-03,11.5,12.7,11.5,12.62,12.62,54900,0.09739130434782606
2020-03-04,13.28,13.78,12.27,12.421,12.421,5100,-0.015768621236133096
2020-03-05,12.33,12.985,12.33,12.933,12.933,26000,0.04122051364624424
2020-03-06,12.64,12.64,12.025,12.1,12.1,18000,-0.06440887651743599
2020-03-09,11.03,11.03,10.33,10.33,10.33,10400,-0.1462809917355372
2020-03-10,11.09,11.09,10.33,10.645,10.645,13700,0.030493707647628154
2020-03-11,10.45,10.48,10.2,10.2,10.2,12400,-0.04180366369187416
2020-03-12,9.5,10.0,9.0,9.55,9.55,38600,-0.06372549019607832
2020-03-13,9.29,10.6,9.29,10.38,10.38,25000,0.08691099476439801
2020-03-16,10.0,10.221,8.36,9.8,9.8,32800,-0.055876685934489356
2020-03-17,9.9,9.9,8.91,9.25,9.25,15600,-0.056122448979591955
2020-03-18,8.321,9.35,8.28,9.3,9.3,10400,0.005405405405405572
2020-03-19,8.457,9.06,8.16,8.785,8.785,27200,-0.055376344086021545
2020-03-20,9.1,9.1,8.61,8.87,8.87,2800,0.009675583380762465
2020-03-23,8.86,9.0,8.3,8.3,8.3,7300,-0.06426155580608772
2020-03-24,8.3,8.89,8.12,8.12,8.12,13000,-0.021686746987952032
2020-03-25,8.223,8.44,8.22,8.3,8.3,4800,0.022167487684729315
2020-03-26,8.894,8.894,8.55,8.85,8.85,3100,0.06626506024096379
2020-03-27,8.9,8.9,8.5,8.8,8.8,1600,-0.005649717514124131
2020-03-30,8.55,9.0,8.45,9.0,9.0,2700,0.022727272727272707
2020-03-31,9.0,9.2,8.953,9.2,9.2,8100,0.022222222222222143
2020-04-01,8.91,8.99,8.0,8.668,8.668,18100,-0.057826086956521694
2020-04-02,8.525,8.525,8.22,8.38,8.38,2800,-0.0332256575911396
2020-04-03,8.86,8.86,8.3,8.3,8.3,2000,-0.009546539379474916
