Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-06,5.3,5.6,5.1,5.17,5.17,6300,
2020-01-07,5.1,5.3,4.75,5.1,5.1,7700,-0.013539651837524258
2020-01-08,5.0,5.4,4.93,5.3,5.3,6000,0.03921568627450989
2020-01-09,5.07,5.08,4.89,5.0,5.0,20000,-0.05660377358490565
2020-01-10,4.9,5.1,4.86,5.09,5.09,8000,0.018000000000000016
2020-01-13,4.92,5.0,4.9,4.945,4.945,6200,-0.028487229862475316
2020-01-14,4.95,5.0,4.9,5.0,5.0,7800,0.011122345803842304
2020-01-15,4.99,5.0,4.75,5.0,5.0,8600,0.0
2020-01-16,4.88,5.02,4.88,4.995,4.995,17300,-0.0010000000000000009
2020-01-17,5.05,5.06,4.75,4.925,4.925,12300,-0.014014014014014031
2020-01-21,4.97,5.0,4.85,4.94,4.94,10600,0.0030456852791880262
2020-01-22,5.0,5.0,4.82,4.97,4.97,12400,0.006072874493926905
2020-01-23,5.0,5.28,4.995,5.25,5.25,45000,0.05633802816901423
2020-01-24,5.4,5.5,5.12,5.217,5.217,14500,-0.006285714285714339
2020-01-27,5.29,5.29,5.0,5.105,5.105,8700,-0.021468276787425578
2020-01-28,5.172,5.172,4.842,4.842,4.842,7100,-0.05151811949069551
2020-01-29,5.0,5.0,4.76,4.789,4.789,13100,-0.010945890128046254
2020-01-30,4.85,4.88,4.61,4.69,4.69,8400,-0.02067237419085388
2020-01-31,4.6,5.092,4.6,4.65,4.65,8200,-0.008528784648187626
2020-02-03,4.6,4.86,4.6,4.86,4.86,15900,0.04516129032258065
2020-02-04,4.96,5.2,4.858,5.023,5.023,76800,0.03353909465020566
2020-02-05,5.02,5.15,4.88,4.989,4.989,22400,-0.006768863229145938
2020-02-06,5.09,5.15,4.95,4.99,4.99,19100,0.00020044097013438567
2020-02-07,5.0,5.0,4.839,4.896,4.896,11700,-0.018837675350701466
2020-02-10,4.95,4.95,4.12,4.55,4.55,36300,-0.07066993464052285
2020-02-11,4.25,4.5,3.817,4.319,4.319,35300,-0.05076923076923079
2020-02-12,4.4,4.5,4.257,4.38,4.38,11400,0.01412363973141928
2020-02-13,4.19,4.331,3.88,4.07,4.07,20600,-0.07077625570776247
2020-02-14,4.06,4.07,3.984,4.02,4.02,14800,-0.012285012285012442
2020-02-18,4.02,4.05,3.96,4.04,4.04,20800,0.004975124378109541
2020-02-19,4.04,4.04,3.126,3.5,3.5,44500,-0.13366336633663367
2020-02-20,3.59,3.59,2.8,3.093,3.093,75200,-0.11628571428571433
2020-02-21,3.4,3.5,3.062,3.2,3.2,69200,0.03459424506951181
2020-02-24,3.11,3.11,2.745,3.0,3.0,53400,-0.0625
2020-02-25,3.04,3.135,2.79,2.8,2.8,34900,-0.06666666666666676
2020-02-26,3.04,3.04,2.5,2.84,2.84,85000,0.014285714285714235
2020-02-27,2.93,2.943,2.646,2.86,2.86,32600,0.007042253521126751
2020-02-28,2.32,2.74,2.216,2.6,2.6,30500,-0.09090909090909083
2020-03-02,2.74,2.8,2.555,2.68,2.68,17200,0.030769230769230882
2020-03-03,3.24,3.5,2.5,2.99,2.99,803300,0.11567164179104483
2020-03-04,3.05,3.09,2.44,2.74,2.74,203200,-0.08361204013377921
2020-03-05,2.73,2.74,2.45,2.55,2.55,84200,-0.06934306569343074
2020-03-06,2.65,2.65,2.45,2.5,2.5,47600,-0.019607843137254832
2020-03-09,2.05,2.45,1.84,1.9,1.9,104200,-0.24
2020-03-10,1.91,1.986,1.71,1.71,1.71,38800,-0.09999999999999998
2020-03-11,1.72,1.8,1.297,1.34,1.34,82900,-0.21637426900584789
2020-03-12,1.32,1.65,1.085,1.63,1.63,99700,0.21641791044776104
2020-03-13,1.7,1.85,1.21,1.36,1.36,93700,-0.16564417177914104
2020-03-16,1.4,1.405,1.195,1.195,1.195,180500,-0.12132352941176472
2020-03-17,1.33,1.432,0.97,1.32,1.32,114900,0.10460251046025104
2020-03-18,1.39,1.45,1.2,1.32,1.32,29800,0.0
2020-03-19,1.32,1.4,1.19,1.2,1.2,44700,-0.09090909090909094
2020-03-20,1.2,1.216,1.075,1.13,1.13,83700,-0.05833333333333335
2020-03-23,1.07,1.19,1.07,1.14,1.14,14800,0.008849557522123908
2020-03-24,1.285,1.353,1.21,1.26,1.26,48200,0.10526315789473695
2020-03-25,1.3,1.38,1.21,1.28,1.28,42800,0.015873015873015817
2020-03-26,1.3,1.4,1.28,1.291,1.291,40800,0.008593749999999956
2020-03-27,1.24,1.35,1.19,1.24,1.24,34200,-0.039504260263361735
2020-03-30,1.19,1.22,1.15,1.15,1.15,17800,-0.07258064516129037
2020-03-31,1.2,1.22,1.13,1.183,1.183,25400,0.028695652173913233
2020-04-01,1.22,1.22,1.157,1.16,1.16,52000,-0.019442096365173356
2020-04-02,1.2,1.2,1.05,1.05,1.05,66100,-0.09482758620689646
2020-04-03,1.1,1.127,1.05,1.05,1.05,41100,0.0
