Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.73,1.73,1.68,1.73,1.73,134500,
2020-01-03,1.68,1.72,1.67,1.7,1.7,203100,-0.017341040462427793
2020-01-06,1.7,1.73,1.69,1.7,1.7,117100,0.0
2020-01-07,1.72,1.72,1.67,1.7,1.7,198500,0.0
2020-01-08,1.67,1.68,1.6,1.67,1.67,283000,-0.01764705882352946
2020-01-09,1.68,1.68,1.6,1.62,1.62,139700,-0.029940119760478945
2020-01-10,1.63,1.64,1.6,1.62,1.62,110900,0.0
2020-01-13,1.61,1.66,1.56,1.61,1.61,171900,-0.006172839506172867
2020-01-14,1.61,1.71,1.59,1.64,1.64,268700,0.01863354037267073
2020-01-15,1.66,1.69,1.62,1.64,1.64,101900,0.0
2020-01-16,1.64,1.68,1.6,1.62,1.62,136100,-0.012195121951219412
2020-01-17,1.62,1.68,1.62,1.65,1.65,98700,0.01851851851851838
2020-01-21,1.65,1.7,1.65,1.69,1.69,218700,0.024242424242424176
2020-01-22,1.69,1.69,1.6,1.61,1.61,169700,-0.047337278106508784
2020-01-23,1.6,1.67,1.53,1.57,1.57,305900,-0.024844720496894457
2020-01-24,1.58,1.58,1.45,1.52,1.52,179100,-0.031847133757961776
2020-01-27,1.52,1.53,1.46,1.49,1.49,169500,-0.019736842105263164
2020-01-28,1.51,1.51,1.44,1.49,1.49,257700,0.0
2020-01-29,1.5,1.56,1.45,1.49,1.49,201500,0.0
2020-01-30,1.47,1.55,1.39,1.46,1.46,214000,-0.020134228187919434
2020-01-31,1.47,1.49,1.38,1.44,1.44,98600,-0.013698630136986356
2020-02-03,1.41,1.45,1.38,1.39,1.39,94200,-0.03472222222222221
2020-02-04,1.41,1.44,1.37,1.44,1.44,131500,0.03597122302158273
2020-02-05,1.44,1.48,1.41,1.44,1.44,109800,0.0
2020-02-06,1.47,1.55,1.38,1.4,1.4,354400,-0.02777777777777779
2020-02-07,1.37,1.43,1.37,1.39,1.39,135900,-0.0071428571428571175
2020-02-10,1.39,1.42,1.32,1.34,1.34,173200,-0.03597122302158262
2020-02-11,1.36,1.39,1.35,1.37,1.37,43000,0.02238805970149249
2020-02-12,1.36,1.41,1.34,1.35,1.35,41600,-0.014598540145985384
2020-02-13,1.36,1.39,1.3,1.34,1.34,87400,-0.007407407407407418
2020-02-14,1.32,1.36,1.16,1.35,1.35,310900,0.00746268656716409
2020-02-18,1.3,1.34,1.28,1.32,1.32,78900,-0.022222222222222254
2020-02-19,1.31,1.33,1.27,1.27,1.27,116400,-0.037878787878787956
2020-02-20,1.29,1.38,1.29,1.38,1.38,95500,0.0866141732283463
2020-02-21,1.38,1.39,1.33,1.38,1.38,76700,0.0
2020-02-24,1.34,1.37,1.25,1.28,1.28,125300,-0.0724637681159419
2020-02-25,1.3,1.3,1.16,1.16,1.16,268400,-0.09375000000000011
2020-02-26,1.22,1.24,1.16,1.21,1.21,156100,0.0431034482758621
2020-02-27,1.2,1.28,1.12,1.24,1.24,316600,0.024793388429751984
2020-02-28,0.9,1.08,0.82,1.04,1.04,1379800,-0.16129032258064513
2020-03-02,1.04,1.09,1.01,1.08,1.08,601600,0.03846153846153855
2020-03-03,1.12,1.12,1.02,1.07,1.07,280900,-0.0092592592592593
2020-03-04,1.08,1.15,1.06,1.12,1.12,426500,0.04672897196261694
2020-03-05,1.13,1.17,1.12,1.14,1.14,199000,0.01785714285714257
2020-03-06,1.15,1.2,1.15,1.16,1.16,340700,0.01754385964912286
2020-03-09,1.16,1.16,0.98,1.0,1.0,533300,-0.13793103448275856
2020-03-10,1.0,1.06,1.0,1.02,1.02,149600,0.020000000000000018
2020-03-11,1.02,1.03,0.95,0.99,0.99,165200,-0.02941176470588236
2020-03-12,0.85,1.0,0.85,0.95,0.95,285000,-0.04040404040404044
2020-03-13,0.95,1.01,0.8,0.84,0.84,284900,-0.11578947368421055
2020-03-16,0.85,0.88,0.8,0.8,0.8,180100,-0.04761904761904756
2020-03-17,0.81,0.88,0.75,0.8,0.8,292200,0.0
2020-03-18,0.77,0.84,0.69,0.72,0.72,318400,-0.10000000000000009
2020-03-19,0.81,0.87,0.77,0.8,0.8,358500,0.11111111111111116
2020-03-20,0.81,0.87,0.8,0.81,0.81,137000,0.012499999999999956
2020-03-23,0.8,0.97,0.8,0.97,0.97,216200,0.19753086419753085
2020-03-24,1.0,1.05,0.82,0.89,0.89,391900,-0.08247422680412364
2020-03-25,1.02,1.02,0.9,0.97,0.97,223100,0.0898876404494382
2020-03-26,1.05,1.05,0.8,0.9,0.9,453300,-0.07216494845360821
2020-03-27,0.93,0.98,0.85,0.85,0.85,150300,-0.05555555555555558
2020-03-30,0.84,0.95,0.84,0.86,0.86,157200,0.0117647058823529
2020-03-31,0.95,0.95,0.86,0.9,0.9,136600,0.04651162790697683
2020-04-01,0.9,0.95,0.89,0.89,0.89,189800,-0.011111111111111072
2020-04-02,0.9,0.95,0.88,0.91,0.91,232300,0.022471910112359605
2020-04-03,0.92,0.94,0.83,0.89,0.89,132700,-0.02197802197802201
