Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,12.35,12.54,12.34,12.54,12.54,900,
2020-01-03,12.21,12.39,12.21,12.29,12.29,1500,-0.019936204146730474
2020-01-06,12.32,12.52,12.32,12.52,12.52,1600,0.018714401952807158
2020-01-07,12.39,12.69,12.39,12.69,12.69,700,0.013578274760383424
2020-01-08,12.71,12.72,12.43,12.72,12.72,1400,0.0023640661938535423
2020-01-09,12.72,12.72,12.72,12.72,12.72,0,0.0
2020-01-10,12.7,12.7,12.7,12.7,12.7,600,-0.0015723270440252124
2020-01-13,12.7,12.7,12.7,12.7,12.7,0,0.0
2020-01-14,13.0,13.0,12.51,12.53,12.53,1600,-0.013385826771653564
2020-01-15,12.87,12.88,12.62,12.62,12.62,1500,0.007182761372705571
2020-01-16,12.81,12.81,12.81,12.81,12.81,500,0.015055467511885912
2020-01-17,12.62,12.64,12.62,12.64,12.64,500,-0.013270882123341154
2020-01-21,12.62,13.1,12.41,12.69,12.69,2400,0.003955696202531556
2020-01-22,12.53,12.53,12.53,12.53,12.53,500,-0.012608353033884967
2020-01-23,12.53,12.53,12.53,12.53,12.53,0,0.0
2020-01-24,12.52,12.52,12.45,12.51,12.51,900,-0.0015961691939345712
2020-01-27,12.51,12.82,12.51,12.52,12.52,2800,0.0007993605115907965
2020-01-28,12.52,12.52,12.52,12.52,12.52,0,0.0
2020-01-29,12.5,12.5,12.5,12.5,12.5,100,-0.0015974440894568342
2020-01-30,12.48,12.92,12.48,12.92,12.92,600,0.033600000000000074
2020-01-31,12.88,12.88,12.88,12.88,12.88,500,-0.003095975232198067
2020-02-03,12.57,12.7,12.5,12.6,12.6,1600,-0.021739130434782705
2020-02-04,12.75,12.75,12.57,12.57,12.57,500,-0.0023809523809523725
2020-02-05,12.57,12.57,12.57,12.57,12.57,0,0.0
2020-02-06,12.99,12.99,12.99,12.99,12.99,400,0.03341288782816232
2020-02-07,12.88,12.88,12.72,12.72,12.72,2400,-0.020785219399538035
2020-02-10,12.72,12.72,12.72,12.72,12.72,0,0.0
2020-02-11,12.72,12.72,12.72,12.72,12.72,0,0.0
2020-02-12,12.99,12.99,12.57,12.73,12.73,2700,0.0007861635220125507
2020-02-13,12.5,12.75,12.5,12.6,12.6,13200,-0.010212097407698462
2020-02-14,12.65,12.65,12.5,12.5,12.5,2600,-0.007936507936507908
2020-02-18,12.52,12.52,12.5,12.52,12.52,3900,0.0016000000000000458
2020-02-19,12.52,12.52,12.52,12.52,12.52,0,0.0
2020-02-20,12.52,12.52,12.52,12.52,12.52,100,0.0
2020-02-21,12.52,12.55,12.35,12.5,12.5,17200,-0.0015974440894568342
2020-02-24,12.5,12.52,12.35,12.52,12.52,24800,0.0016000000000000458
2020-02-25,12.5,12.5,12.35,12.35,12.35,12700,-0.013578274760383424
2020-02-26,12.25,12.39,11.6,11.6,11.6,2200,-0.06072874493927127
2020-02-27,11.6,11.9,11.6,11.85,11.85,18900,0.02155172413793105
2020-02-28,11.85,11.85,11.85,11.85,11.85,0,0.0
2020-03-02,11.5,11.72,11.43,11.55,11.55,2200,-0.025316455696202445
2020-03-03,11.5,11.52,10.0,10.57,10.57,37300,-0.08484848484848484
2020-03-04,10.75,11.87,10.75,11.87,11.87,46400,0.12298959318826852
2020-03-05,11.87,11.87,11.87,11.87,11.87,0,0.0
2020-03-06,11.0,11.08,11.0,11.0,11.0,2700,-0.07329401853411954
2020-03-09,11.0,12.5,11.0,11.97,11.97,5100,0.08818181818181814
2020-03-10,11.2,13.5,11.2,13.5,13.5,197700,0.1278195488721805
2020-03-11,13.49,13.97,13.25,13.25,13.25,3000,-0.01851851851851849
2020-03-12,13.01,13.01,11.0,11.0,11.0,6400,-0.16981132075471694
2020-03-13,11.3,11.47,11.3,11.47,11.47,700,0.042727272727272725
2020-03-16,11.1,11.2,10.01,10.46,10.46,18900,-0.08805579773321703
2020-03-17,10.04,10.04,9.01,9.88,9.88,10000,-0.055449330783938766
2020-03-18,8.44,8.75,7.8,8.07,8.07,6600,-0.1831983805668017
2020-03-19,8.01,8.43,8.01,8.07,8.07,6200,0.0
2020-03-20,8.54,8.74,8.01,8.11,8.11,19300,0.004956629491945419
2020-03-23,8.07,8.81,8.06,8.81,8.81,2400,0.08631319358816292
2020-03-24,8.0,8.74,8.0,8.05,8.05,5700,-0.08626560726447219
2020-03-25,8.25,8.7,8.17,8.7,8.7,5200,0.08074534161490665
2020-03-26,8.97,9.73,8.82,9.42,9.42,3700,0.08275862068965534
2020-03-27,9.5,9.5,8.37,9.37,9.37,14000,-0.005307855626327074
2020-03-30,9.55,10.03,9.01,10.03,10.03,1200,0.07043756670224122
2020-03-31,9.5,10.39,9.5,10.39,10.39,3700,0.03589232303090739
2020-04-01,10.86,11.65,10.86,11.65,11.65,1100,0.12127045235803657
2020-04-02,11.0,11.0,10.03,10.03,10.03,1400,-0.13905579399141643
2020-04-03,10.08,10.08,10.01,10.01,10.01,1300,-0.001994017946161497
