Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,3.08,3.49,3.04,3.42,3.42,177500,
2020-01-03,3.42,4.17,3.38,3.63,3.63,706200,0.06140350877192979
2020-01-06,3.3,3.82,3.21,3.46,3.46,175000,-0.04683195592286504
2020-01-07,3.48,3.73,3.36,3.47,3.47,116500,0.0028901734104047616
2020-01-08,3.49,3.5,3.16,3.2,3.2,160400,-0.0778097982708934
2020-01-09,3.2,3.25,3.05,3.05,3.05,106900,-0.04687500000000011
2020-01-10,3.08,3.13,2.94,2.97,2.97,160700,-0.026229508196721207
2020-01-13,3.04,3.19,2.89,3.1,3.1,159300,0.04377104377104368
2020-01-14,3.14,3.18,2.99,3.11,3.11,81600,0.003225806451612856
2020-01-15,3.11,3.13,3.05,3.09,3.09,67800,-0.006430868167202619
2020-01-16,3.2,3.23,3.12,3.18,3.18,106900,0.02912621359223322
2020-01-17,3.15,3.2,3.1,3.1,3.1,107500,-0.02515723270440251
2020-01-21,3.11,3.14,3.08,3.12,3.12,53800,0.006451612903225712
2020-01-22,3.1,3.15,2.9,2.94,2.94,108100,-0.05769230769230771
2020-01-23,2.9,3.0,2.8,2.86,2.86,175100,-0.027210884353741527
2020-01-24,2.9,2.9,2.66,2.81,2.81,130500,-0.01748251748251739
2020-01-27,2.81,2.81,2.66,2.7,2.7,122400,-0.039145907473309594
2020-01-28,2.67,2.77,2.66,2.67,2.67,75600,-0.011111111111111183
2020-01-29,2.73,2.73,2.56,2.62,2.62,141700,-0.01872659176029956
2020-01-30,2.59,2.66,2.51,2.66,2.66,67300,0.01526717557251911
2020-01-31,2.65,2.66,2.55,2.62,2.62,55700,-0.015037593984962405
2020-02-03,2.62,2.84,2.62,2.77,2.77,176200,0.057251908396946494
2020-02-04,2.81,2.84,2.72,2.75,2.75,99000,-0.0072202166064981865
2020-02-05,2.75,2.8,2.73,2.76,2.76,51900,0.0036363636363636598
2020-02-06,2.76,2.79,2.65,2.66,2.66,56000,-0.03623188405797084
2020-02-07,2.59,2.7,2.55,2.58,2.58,113600,-0.03007518796992481
2020-02-10,2.6,2.7,2.58,2.61,2.61,93700,0.011627906976744207
2020-02-11,2.59,2.64,2.57,2.63,2.63,55800,0.00766283524904221
2020-02-12,2.65,2.7,2.63,2.67,2.67,148600,0.015209125475285079
2020-02-13,2.7,3.16,2.66,2.9,2.9,474900,0.08614232209737827
2020-02-14,2.9,2.93,2.73,2.79,2.79,123500,-0.037931034482758585
2020-02-18,2.79,2.83,2.6,2.76,2.76,145100,-0.010752688172043112
2020-02-19,2.78,2.8,2.66,2.74,2.74,182700,-0.007246376811594013
2020-02-20,2.7,2.79,2.68,2.72,2.72,109300,-0.007299270072992692
2020-02-21,2.69,2.79,2.68,2.74,2.74,62900,0.007352941176470562
2020-02-24,2.68,2.93,2.68,2.84,2.84,106200,0.03649635036496335
2020-02-25,2.85,2.85,2.65,2.7,2.7,126200,-0.04929577464788726
2020-02-26,2.67,2.76,2.62,2.65,2.65,115900,-0.0185185185185186
2020-02-27,2.58,2.62,2.4,2.4,2.4,167200,-0.09433962264150941
2020-02-28,2.4,2.42,2.25,2.25,2.25,183300,-0.0625
2020-03-02,2.33,2.36,2.09,2.12,2.12,197900,-0.057777777777777706
2020-03-03,2.43,2.67,2.38,2.48,2.48,237800,0.16981132075471694
2020-03-04,2.7,2.7,2.49,2.5,2.5,108600,0.008064516129032251
2020-03-05,2.48,2.49,2.4,2.43,2.43,54100,-0.027999999999999914
2020-03-06,2.41,2.43,2.28,2.29,2.29,121900,-0.057613168724279906
2020-03-09,2.23,2.38,2.04,2.04,2.04,154600,-0.10917030567685593
2020-03-10,2.18,2.27,2.04,2.08,2.08,140900,0.019607843137254832
2020-03-11,2.06,2.1,2.01,2.06,2.06,84300,-0.009615384615384581
2020-03-12,2.0,2.07,1.9,2.0,2.0,262800,-0.029126213592232997
2020-03-13,2.03,2.05,1.69,1.72,1.72,197400,-0.14
2020-03-16,1.64,1.69,1.32,1.38,1.38,271800,-0.19767441860465118
2020-03-17,1.39,1.47,1.03,1.2,1.2,287000,-0.13043478260869557
2020-03-18,1.24,1.27,1.0,1.08,1.08,276800,-0.09999999999999987
2020-03-19,1.12,1.25,1.07,1.14,1.14,190100,0.05555555555555536
2020-03-20,1.19,1.2,1.1,1.18,1.18,141400,0.03508771929824572
2020-03-23,1.17,1.2,1.1,1.17,1.17,47400,-0.008474576271186418
2020-03-24,1.19,1.26,1.05,1.16,1.16,254900,-0.008547008547008517
2020-03-25,1.21,1.39,1.11,1.27,1.27,364000,0.09482758620689657
2020-03-26,1.3,1.32,1.21,1.21,1.21,257400,-0.047244094488189003
2020-03-27,1.27,1.27,1.1,1.12,1.12,175600,-0.07438016528925606
2020-03-30,1.05,1.12,1.02,1.07,1.07,232000,-0.044642857142857206
2020-03-31,1.08,1.24,1.08,1.2,1.2,161700,0.12149532710280364
2020-04-01,1.19,1.2,1.1,1.12,1.12,88700,-0.06666666666666654
2020-04-02,1.12,1.19,1.1,1.14,1.14,96900,0.01785714285714257
2020-04-03,1.18,1.22,1.15,1.18,1.18,52900,0.03508771929824572
