Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,5.5,5.56,5.28,5.4,5.4,691100,
2020-01-03,5.28,5.575,5.26,5.5,5.5,500600,0.01851851851851838
2020-01-06,5.46,5.83,5.41,5.73,5.73,769700,0.041818181818181976
2020-01-07,5.73,6.04,5.65,5.84,5.84,813000,0.019197207678882888
2020-01-08,5.82,6.19,5.72,6.12,6.12,840300,0.047945205479452024
2020-01-09,6.13,6.35,6.03,6.33,6.33,1102500,0.03431372549019618
2020-01-10,6.33,6.5,6.14,6.31,6.31,832000,-0.003159557661927437
2020-01-13,6.24,6.38,6.05,6.36,6.36,585500,0.007923930269413848
2020-01-14,6.32,6.7,6.31,6.63,6.63,779600,0.04245283018867907
2020-01-15,6.68,6.95,6.64,6.95,6.95,983500,0.04826546003016596
2020-01-16,6.99,7.23,6.925,7.09,7.09,1295600,0.020143884892086295
2020-01-17,7.15,7.25,6.96,7.01,7.01,859000,-0.01128349788434413
2020-01-21,7.0,7.26,6.85,7.14,7.14,779800,0.01854493580599148
2020-01-22,7.14,7.26,7.05,7.21,7.21,701400,0.009803921568627416
2020-01-23,7.19,7.25,6.99,7.02,7.02,553900,-0.026352288488210918
2020-01-24,7.05,7.1,6.32,6.71,6.71,1114600,-0.04415954415954415
2020-01-27,6.59,6.74,5.75,6.61,6.61,795700,-0.014903129657227954
2020-01-28,6.66,6.74,6.49,6.66,6.66,361100,0.0075642965204236745
2020-01-29,6.67,6.69,6.53,6.66,6.66,373500,0.0
2020-01-30,6.58,6.68,6.47,6.49,6.49,302700,-0.02552552552552556
2020-01-31,6.48,6.52,6.28,6.47,6.47,558400,-0.0030816640986133237
2020-02-03,6.46,6.86,6.45,6.855,6.855,648300,0.05950540958268946
2020-02-04,6.97,7.14,6.85,6.87,6.87,821800,0.002188183807439792
2020-02-05,6.91,7.05,6.86,6.88,6.88,478000,0.0014556040756914523
2020-02-06,6.92,7.19,6.81,6.86,6.86,695700,-0.0029069767441859407
2020-02-07,6.08,6.55,6.02,6.32,6.32,4298500,-0.07871720116618075
2020-02-10,6.33,6.53,6.125,6.29,6.29,888700,-0.004746835443038
2020-02-11,6.32,6.39,6.1,6.31,6.31,1117100,0.0031796502384737746
2020-02-12,6.35,6.392,5.9,5.98,5.98,1718200,-0.0522979397781298
2020-02-13,5.96,6.035,5.665,5.81,5.81,1320100,-0.028428093645485042
2020-02-14,5.85,5.934,5.48,5.5,5.5,3095700,-0.05335628227194489
2020-02-18,5.51,5.82,5.48,5.675,5.675,1366400,0.031818181818181746
2020-02-19,5.7,5.85,5.66,5.7,5.7,545200,0.004405286343612369
2020-02-20,5.74,5.795,5.5,5.67,5.67,907900,-0.0052631578947368585
2020-02-21,5.64,5.69,5.48,5.49,5.49,804900,-0.031746031746031744
2020-02-24,5.43,5.67,5.25,5.5,5.5,1069400,0.0018214936247722413
2020-02-25,5.52,5.56,5.15,5.17,5.17,911000,-0.06000000000000005
2020-02-26,5.19,5.37,5.18,5.28,5.28,494200,0.021276595744680993
2020-02-27,5.2,5.2,4.79,4.85,4.85,1698300,-0.08143939393939403
2020-02-28,4.68,4.93,4.61,4.74,4.74,1492500,-0.02268041237113394
2020-03-02,4.8,4.91,4.69,4.89,4.89,914000,0.03164556962025311
2020-03-03,4.93,5.18,4.79,4.84,4.84,815000,-0.010224948875255602
2020-03-04,4.89,4.99,4.74,4.94,4.94,556500,0.02066115702479343
2020-03-05,4.85,4.901,4.6,4.65,4.65,854400,-0.0587044534412956
2020-03-06,4.55,4.67,4.41,4.53,4.53,888100,-0.02580645161290329
2020-03-09,4.28,4.39,4.08,4.19,4.19,1715100,-0.07505518763796903
2020-03-10,4.4,4.565,4.18,4.55,4.55,1266600,0.08591885441527425
2020-03-11,4.4,4.49,3.98,4.12,4.12,1143400,-0.09450549450549439
2020-03-12,3.5,4.11,3.5,3.81,3.81,1551100,-0.07524271844660191
2020-03-13,3.97,4.09,3.52,4.07,4.07,1688900,0.06824146981627299
2020-03-16,3.61,3.64,3.41,3.44,3.44,1426400,-0.1547911547911549
2020-03-17,3.46,4.45,3.29,4.21,4.21,1695100,0.22383720930232553
2020-03-18,3.89,4.44,3.72,4.17,4.17,1200600,-0.009501187648456089
2020-03-19,4.02,4.5,3.82,4.37,4.37,1178700,0.04796163069544379
2020-03-20,4.44,4.98,4.32,4.59,4.59,2054600,0.05034324942791746
2020-03-23,4.68,4.935,4.4,4.81,4.81,963200,0.04793028322440085
2020-03-24,4.91,5.02,4.6,4.75,4.75,916800,-0.012474012474012364
2020-03-25,4.76,5.03,4.61,4.93,4.93,927100,0.0378947368421052
2020-03-26,5.07,5.75,5.07,5.58,5.58,1364600,0.13184584178498993
2020-03-27,5.32,5.55,5.2,5.2,5.2,719600,-0.06810035842293904
2020-03-30,5.27,5.55,5.245,5.51,5.51,884700,0.059615384615384626
2020-03-31,5.54,5.581,5.12,5.24,5.24,876100,-0.04900181488203259
2020-04-01,4.96,5.295,4.79,4.79,4.79,714600,-0.08587786259541985
2020-04-02,4.81,5.048,4.645,4.89,4.89,674100,0.020876826722338038
2020-04-03,4.89,4.99,4.7,4.89,4.89,417900,0.0
