Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,13.06,13.42,13.05,13.42,13.272743,1300,
2020-01-03,13.11,13.11,13.11,13.11,12.966145,300,-0.023099821943361798
2020-01-06,13.14,13.41,13.09,13.09,12.946363999999999,4500,-0.001525588368786579
2020-01-07,13.14,13.32,13.1,13.24,13.094717999999999,8500,0.01145912473957944
2020-01-08,13.23,13.23,12.96,13.04,12.896914,46200,-0.015105632668072522
2020-01-09,13.07,13.14,13.01,13.14,12.995816,28000,0.007668656238228655
2020-01-10,13.07,13.11,12.95,13.0,12.857352,9000,-0.010654506034865285
2020-01-13,13.05,13.13,12.88,13.13,12.985926,6000,0.01000003733272603
2020-01-14,13.0,13.01,12.9,12.9,12.758449,3200,-0.017517195154199916
2020-01-15,12.81,13.03,12.8,12.95,12.8079,3800,0.003875941346789036
2020-01-16,13.08,13.16,13.08,13.12,12.976035000000001,3300,0.013127444780174802
2020-01-17,13.3,13.3,13.15,13.3,13.154060000000001,2000,0.013719522180696941
2020-01-21,13.12,14.96,13.12,14.96,14.795845000000002,16900,0.12481203521954432
2020-01-22,14.05,14.5,13.37,14.5,14.340893,3400,-0.03074863247080528
2020-01-23,15.2,15.2,14.38,14.57,14.410124,11200,0.004827523641658837
2020-01-24,14.41,15.85,14.41,14.55,14.390345000000002,6000,-0.001372576669013914
2020-01-27,13.69,14.5,13.27,13.27,13.12439,7100,-0.0879725260235249
2020-01-28,13.31,14.23,13.31,14.0,13.846379,1300,0.05501124242726707
2020-01-29,14.21,14.4,14.0,14.27,14.113417000000002,1400,0.01928576416982386
2020-01-30,14.44,14.44,14.44,14.44,14.28155,700,0.011912990312693106
2020-01-31,14.15,14.5,14.15,14.5,14.340893,800,0.0041552212469935235
2020-02-03,14.5,14.5,14.5,14.5,14.340893,0,0.0
2020-02-04,13.91,13.91,13.07,13.81,13.658464000000002,5800,-0.04758622771957066
2020-02-05,13.85,14.1,13.85,14.1,13.945282,600,0.020999286596208755
2020-02-06,14.0,14.0,13.82,13.82,13.668354,1600,-0.019858185729051625
2020-02-07,13.43,13.98,13.43,13.6,13.450768,1000,-0.015918961419933986
2020-02-10,13.3,13.89,13.1,13.3,13.154060000000001,4000,-0.022058814782917935
2020-02-11,13.06,13.34,13.05,13.34,13.193622,900,0.003007588531601435
2020-02-12,12.93,13.38,12.93,13.34,13.193622,1400,0.0
2020-02-13,13.2,13.46,12.96,13.45,13.302414,6300,0.008245802403616054
2020-02-14,13.22,14.59,13.22,13.87,13.717806,22100,0.031226813418977928
2020-02-18,13.75,15.3,13.26,14.28,14.123306,7300,0.029560120619871677
2020-02-19,14.2,14.28,13.78,14.07,13.915610000000001,9500,-0.014705905260425478
2020-02-20,13.82,14.26,13.82,14.25,14.093635999999998,1600,0.012793258793541762
2020-02-21,14.25,14.25,14.25,14.25,14.093635999999998,0,0.0
2020-02-24,13.8,13.8,13.5,13.66,13.510110000000001,3200,-0.04140351006652909
2020-02-25,13.05,13.73,13.0,13.4,13.252962,3600,-0.019033745839227123
2020-02-26,13.1,13.72,13.1,13.67,13.52,3800,0.02014930700020101
2020-02-27,13.01,13.48,12.86,13.15,13.15,3900,-0.02736686390532539
2020-02-28,12.86,13.52,12.5,13.52,13.52,18600,0.028136882129277563
2020-03-02,13.2,13.43,12.9,13.33,13.33,10600,-0.014053254437869755
2020-03-03,13.05,13.05,12.5,12.82,12.82,7500,-0.03825956489122284
2020-03-04,12.3,13.28,12.06,13.19,13.19,4500,0.028861154446177872
2020-03-05,12.5,12.63,12.3,12.3,12.3,5000,-0.06747536012130395
2020-03-06,11.35,12.11,11.35,11.72,11.72,2500,-0.047154471544715415
2020-03-09,11.31,11.31,11.31,11.31,11.31,500,-0.03498293515358364
2020-03-10,10.87,10.98,10.27,10.6,10.6,8900,-0.06277630415561453
2020-03-11,10.24,10.64,9.6,10.14,10.14,10300,-0.04339622641509422
2020-03-12,9.17,9.35,8.55,9.35,9.35,11600,-0.07790927021696259
2020-03-13,9.57,9.57,8.02,8.02,8.02,5200,-0.1422459893048128
2020-03-16,7.75,7.75,6.0,6.0,6.0,9200,-0.25187032418952615
2020-03-17,5.97,6.25,5.56,6.15,6.15,15700,0.025000000000000133
2020-03-18,6.0,6.0,5.0,5.01,5.01,17500,-0.18536585365853664
2020-03-19,4.75,5.59,4.51,5.59,5.59,25400,0.11576846307385225
2020-03-20,4.77,5.49,4.77,5.49,5.49,9300,-0.017889087656529412
2020-03-23,6.03,6.46,5.33,5.9,5.9,4700,0.07468123861566478
2020-03-24,6.79,6.87,5.76,6.58,6.58,6500,0.11525423728813555
2020-03-25,6.48,6.99,6.23,6.65,6.65,5800,0.010638297872340496
2020-03-26,6.36,6.8,6.36,6.7,6.7,3400,0.007518796992481258
2020-03-27,6.5,6.92,6.5,6.85,6.85,2400,0.02238805970149249
2020-03-30,6.87,6.99,6.76,6.83,6.83,1600,-0.0029197080291970545
2020-03-31,6.53,6.99,6.53,6.99,6.99,3900,0.02342606149341142
2020-04-01,6.61,6.64,5.89,6.45,6.45,9600,-0.07725321888412018
2020-04-02,6.44,6.48,6.3,6.4,6.4,1600,-0.007751937984496138
2020-04-03,6.2,6.46,6.15,6.46,6.46,1400,0.009374999999999911
