Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,6.4,6.54,6.25,6.39,6.39,254400,
2020-01-03,6.34,6.36,6.22,6.24,6.24,110900,-0.023474178403755763
2020-01-06,6.21,6.21,6.0,6.09,6.09,145500,-0.024038461538461564
2020-01-07,6.07,6.21,6.0,6.07,6.07,209700,-0.003284072249589376
2020-01-08,6.08,6.3,6.0,6.16,6.16,215600,0.014827018121911006
2020-01-09,6.16,6.27,5.98,6.0,6.0,133800,-0.025974025974025983
2020-01-10,6.0,6.18,5.96,6.0,6.0,301500,0.0
2020-01-13,6.01,6.14,5.96,6.0,6.0,165400,0.0
2020-01-14,6.0,6.06,5.94,5.96,5.96,199200,-0.00666666666666671
2020-01-15,5.95,6.09,5.89,5.92,5.92,185000,-0.006711409395973145
2020-01-16,5.97,6.14,5.94,6.06,6.06,177900,0.023648648648648685
2020-01-17,6.12,6.15,6.0,6.07,6.07,183100,0.0016501650165017256
2020-01-21,6.05,6.05,5.88,5.94,5.94,119900,-0.021416803953871466
2020-01-22,5.93,5.95,5.69,5.74,5.74,190300,-0.03367003367003374
2020-01-23,5.7,5.7,5.52,5.63,5.63,264700,-0.019163763066202155
2020-01-24,5.63,5.69,5.41,5.49,5.49,266000,-0.0248667850799289
2020-01-27,5.44,5.44,5.28,5.28,5.28,227200,-0.03825136612021862
2020-01-28,5.33,5.41,5.22,5.32,5.32,173700,0.007575757575757569
2020-01-29,5.34,5.4,5.19,5.21,5.21,145600,-0.020676691729323404
2020-01-30,5.15,5.24,5.05,5.2,5.2,115200,-0.0019193857965450478
2020-01-31,5.17,5.19,4.96,4.99,4.99,194400,-0.04038461538461535
2020-02-03,5.04,5.04,4.85,4.86,4.86,168200,-0.02605210420841686
2020-02-04,4.94,5.11,4.9,4.98,4.98,236000,0.024691358024691468
2020-02-05,5.04,5.22,5.0,5.16,5.16,217700,0.03614457831325302
2020-02-06,5.21,5.23,5.07,5.2,5.2,134200,0.007751937984496138
2020-02-07,5.15,5.15,4.93,4.93,4.93,107600,-0.05192307692307696
2020-02-10,4.93,4.98,4.81,4.85,4.85,122000,-0.016227180527383367
2020-02-11,4.88,5.06,4.85,5.01,5.01,122900,0.03298969072164959
2020-02-12,5.02,5.13,5.0,5.07,5.07,94900,0.011976047904191711
2020-02-13,5.07,5.09,4.83,4.83,4.83,87900,-0.047337278106508895
2020-02-14,4.82,4.88,4.76,4.81,4.81,88500,-0.0041407867494824835
2020-02-18,4.81,4.92,4.68,4.79,4.79,115600,-0.004158004158004047
2020-02-19,4.79,4.8,4.68,4.7,4.7,169000,-0.018789144050104345
2020-02-20,4.73,4.84,4.68,4.79,4.79,189600,0.019148936170212627
2020-02-21,4.82,4.99,4.8,4.96,4.96,142800,0.035490605427974886
2020-02-24,4.89,4.89,4.61,4.71,4.71,207800,-0.050403225806451624
2020-02-25,4.69,4.72,4.42,4.52,4.52,260500,-0.04033970276008503
2020-02-26,4.52,4.6,4.44,4.47,4.47,96100,-0.011061946902654829
2020-02-27,4.34,4.44,4.16,4.17,4.17,234400,-0.06711409395973156
2020-02-28,4.1,4.55,4.03,4.36,4.36,451100,0.045563549160671624
2020-03-02,4.37,4.42,4.06,4.11,4.11,155300,-0.05733944954128445
2020-03-03,4.11,4.22,3.87,4.07,4.07,224800,-0.009732360097323589
2020-03-04,4.12,4.14,3.91,4.11,4.11,167500,0.00982800982800991
2020-03-05,4.01,4.01,3.64,3.72,3.72,274000,-0.0948905109489051
2020-03-06,3.7,3.83,3.57,3.6,3.6,111200,-0.032258064516129115
2020-03-09,3.3,3.44,3.2,3.23,3.23,176900,-0.10277777777777786
2020-03-10,3.38,3.44,3.18,3.35,3.35,264000,0.037151702786377694
2020-03-11,3.23,3.27,2.96,3.02,3.02,314000,-0.09850746268656718
2020-03-12,2.79,3.23,2.71,2.99,2.99,459500,-0.009933774834437026
2020-03-13,3.2,3.2,2.93,3.02,3.02,288100,0.010033444816053505
2020-03-16,2.83,3.0,2.5,2.52,2.52,359800,-0.16556291390728473
2020-03-17,2.47,2.55,1.96,2.3,2.3,483300,-0.08730158730158732
2020-03-18,2.15,2.33,1.53,1.56,1.56,356600,-0.3217391304347825
2020-03-19,1.58,2.04,1.48,1.95,1.95,391900,0.25
2020-03-20,1.96,2.09,1.68,1.79,1.79,541800,-0.08205128205128198
2020-03-23,1.79,1.79,1.55,1.59,1.59,267000,-0.11173184357541899
2020-03-24,1.75,1.86,1.38,1.4,1.4,454200,-0.11949685534591203
2020-03-25,1.51,1.91,1.4,1.83,1.83,570400,0.3071428571428574
2020-03-26,2.03,2.49,1.89,2.02,2.02,806800,0.10382513661202175
2020-03-27,1.95,1.98,1.56,1.57,1.57,297000,-0.22277227722772275
2020-03-30,1.59,1.61,1.45,1.51,1.51,354000,-0.03821656050955413
2020-03-31,1.5,1.6,1.48,1.51,1.51,304800,0.0
2020-04-01,1.47,1.52,1.4,1.49,1.49,361200,-0.013245033112582738
2020-04-02,1.46,1.55,1.33,1.38,1.38,297000,-0.07382550335570481
2020-04-03,1.35,1.35,1.24,1.32,1.32,328300,-0.04347826086956508
