Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,9.8,9.99,9.78,9.95,9.95,700900,
2020-01-03,9.93,10.17,9.81,9.96,9.96,236900,0.0010050251256283893
2020-01-06,9.86,9.95,9.81,9.91,9.91,356000,-0.005020080321285203
2020-01-07,9.89,9.98,9.8,9.88,9.88,296500,-0.003027245206861706
2020-01-08,9.86,9.93,9.85,9.92,9.92,332200,0.004048582995951344
2020-01-09,9.92,10.1,9.91,10.05,10.05,195900,0.013104838709677491
2020-01-10,10.1,10.1,10.02,10.07,10.07,87100,0.0019900497512437276
2020-01-13,10.09,10.45,10.08,10.32,10.32,270900,0.02482621648460781
2020-01-14,10.3,10.47,10.22,10.42,10.42,178700,0.009689922480620172
2020-01-15,10.35,10.5,10.35,10.42,10.42,114800,0.0
2020-01-16,10.45,10.49,10.41,10.46,10.46,106500,0.0038387715930903177
2020-01-17,10.47,10.5,10.43,10.46,10.46,111100,0.0
2020-01-21,10.43,10.46,10.06,10.12,10.12,116500,-0.03250478011472291
2020-01-22,10.16,10.23,9.78,9.87,9.87,192000,-0.024703557312252933
2020-01-23,9.86,9.92,9.84,9.91,9.91,212500,0.004052684903748771
2020-01-24,10.67,10.75,10.67,10.72,10.72,779100,0.08173562058526751
2020-01-27,10.68,10.75,10.65,10.68,10.68,290400,-0.003731343283582156
2020-01-28,10.68,10.68,10.65,10.67,10.67,566700,-0.000936329588014928
2020-01-29,10.75,10.75,10.66,10.66,10.66,410400,-0.0009372071227741197
2020-01-30,10.67,10.68,10.66,10.67,10.67,266900,0.0009380863039398779
2020-01-31,10.67,10.68,10.67,10.67,10.67,362900,0.0
2020-02-03,10.68,10.68,10.67,10.68,10.68,134700,0.0009372071227740086
2020-02-04,10.68,10.72,10.68,10.7,10.7,215600,0.001872659176029856
2020-02-05,10.7,10.7,10.68,10.69,10.69,234000,-0.0009345794392523477
2020-02-06,10.7,10.7,10.68,10.68,10.68,214600,-0.00093545369504211
2020-02-07,10.7,10.74,10.68,10.7,10.7,185400,0.001872659176029856
2020-02-10,10.7,10.71,10.69,10.69,10.69,360700,-0.0009345794392523477
2020-02-11,10.69,10.71,10.69,10.69,10.69,185800,0.0
2020-02-12,10.7,10.7,10.66,10.66,10.66,369100,-0.002806361085126219
2020-02-13,10.66,10.7,10.63,10.69,10.69,284100,0.0028142589118198558
2020-02-14,10.68,10.69,10.67,10.68,10.68,129100,-0.00093545369504211
2020-02-18,10.89,10.99,10.61,10.67,10.67,301500,-0.000936329588014928
2020-02-19,10.69,10.72,10.66,10.68,10.68,342900,0.0009372071227740086
2020-02-20,10.69,10.72,10.69,10.7,10.7,55500,0.001872659176029856
2020-02-21,10.7,10.71,10.68,10.71,10.71,69500,0.0009345794392525697
2020-02-24,10.68,10.72,10.68,10.71,10.71,84100,0.0
2020-02-25,10.74,10.74,10.69,10.71,10.71,71300,0.0
2020-02-26,10.71,10.74,10.68,10.72,10.72,121700,0.0009337068160597539
2020-02-27,10.7,10.71,10.65,10.7,10.7,82600,-0.001865671641791189
2020-02-28,10.68,10.76,10.68,10.76,10.76,312600,0.005607476635514086
2020-03-02,10.72,10.73,10.67,10.72,10.72,87400,-0.0037174721189590088
2020-03-03,10.71,10.73,10.7,10.7,10.7,101700,-0.001865671641791189
2020-03-04,10.72,10.73,10.69,10.69,10.69,166300,-0.0009345794392523477
2020-03-05,10.69,10.72,10.68,10.69,10.69,138900,0.0
2020-03-06,10.69,10.73,10.67,10.67,10.67,156200,-0.0018709073900841089
2020-03-09,10.68,10.7,10.63,10.66,10.66,229700,-0.0009372071227741197
2020-03-10,10.7,10.84,10.67,10.78,10.78,169800,0.011257035647279423
2020-03-11,10.77,10.83,10.73,10.78,10.78,229600,0.0
2020-03-12,10.7,10.78,10.7,10.76,10.76,398600,-0.0018552875695732052
2020-03-13,10.78,10.79,10.67,10.75,10.75,692500,-0.0009293680297397522
2020-03-16,9.7,10.73,8.82,10.5,10.5,421200,-0.023255813953488413
2020-03-17,10.52,10.67,10.21,10.6,10.6,150400,0.00952380952380949
2020-03-18,10.15,10.49,10.04,10.45,10.45,259000,-0.014150943396226467
2020-03-19,10.34,10.73,10.21,10.63,10.63,514800,0.017224880382775254
2020-03-20,10.61,10.76,10.28,10.66,10.66,179300,0.002822201317027151
2020-03-23,10.54,10.72,10.5,10.67,10.67,106000,0.0009380863039398779
2020-03-24,10.78,10.8,10.66,10.74,10.74,126100,0.006560449859418949
2020-03-25,10.78,10.78,10.47,10.54,10.54,115700,-0.01862197392923659
2020-03-26,10.55,10.72,10.43,10.56,10.56,65700,0.00189753320683117
2020-03-27,10.52,10.66,10.22,10.51,10.51,153200,-0.004734848484848508
2020-03-30,10.58,10.66,10.29,10.53,10.53,74500,0.0019029495718363432
2020-03-31,10.53,10.74,10.53,10.7,10.7,84200,0.01614434947768273
2020-04-01,10.56,10.62,10.42,10.55,10.55,60800,-0.014018691588784882
2020-04-02,10.5,10.73,10.22,10.48,10.48,69100,-0.006635071090047462
2020-04-03,10.4,10.64,10.31,10.45,10.45,110900,-0.002862595419847458
