Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.85,0.85,0.82,0.82,0.82,346800,
2020-01-03,0.82,0.85,0.82,0.84,0.84,176100,0.024390243902439046
2020-01-06,0.84,0.85,0.83,0.83,0.83,83700,-0.011904761904761862
2020-01-07,0.83,0.84,0.83,0.84,0.84,108500,0.012048192771084265
2020-01-08,0.83,0.85,0.82,0.83,0.83,67400,-0.011904761904761862
2020-01-09,0.83,0.84,0.83,0.84,0.84,34600,0.012048192771084265
2020-01-10,0.84,0.84,0.81,0.82,0.82,363800,-0.023809523809523836
2020-01-13,0.81,0.82,0.78,0.8,0.8,126600,-0.024390243902438935
2020-01-14,0.85,0.89,0.82,0.84,0.84,754100,0.04999999999999982
2020-01-15,0.85,0.86,0.8,0.81,0.81,207200,-0.03571428571428559
2020-01-16,0.8,0.82,0.78,0.81,0.81,286900,0.0
2020-01-17,0.8,0.81,0.78,0.79,0.79,343200,-0.024691358024691357
2020-01-21,0.81,0.82,0.77,0.79,0.79,174200,0.0
2020-01-22,0.79,0.79,0.76,0.78,0.78,114000,-0.012658227848101222
2020-01-23,0.79,0.82,0.76,0.81,0.81,148300,0.03846153846153855
2020-01-24,0.79,0.8,0.77,0.8,0.8,44100,-0.012345679012345734
2020-01-27,0.8,0.84,0.75,0.83,0.83,257100,0.03749999999999987
2020-01-28,0.84,0.85,0.79,0.8,0.8,298200,-0.036144578313252906
2020-01-29,0.81,0.85,0.78,0.84,0.84,227300,0.04999999999999982
2020-01-30,0.85,0.85,0.79,0.82,0.82,231000,-0.023809523809523836
2020-01-31,0.79,0.82,0.75,0.77,0.77,203300,-0.060975609756097504
2020-02-03,0.79,0.82,0.77,0.8,0.8,226200,0.038961038961039085
2020-02-04,0.8,0.81,0.78,0.8,0.8,202900,0.0
2020-02-05,0.79,0.83,0.78,0.79,0.79,135800,-0.012499999999999956
2020-02-06,0.8,0.82,0.79,0.82,0.82,99800,0.03797468354430378
2020-02-07,0.79,0.82,0.79,0.8,0.8,88700,-0.024390243902438935
2020-02-10,0.81,0.82,0.78,0.79,0.79,132100,-0.012499999999999956
2020-02-11,0.81,0.82,0.79,0.81,0.81,178000,0.025316455696202445
2020-02-12,0.82,0.82,0.78,0.8,0.8,188100,-0.012345679012345734
2020-02-13,0.79,0.82,0.78,0.8,0.8,116600,0.0
2020-02-14,0.8,0.8,0.78,0.79,0.79,55500,-0.012499999999999956
2020-02-18,0.8,0.8,0.76,0.76,0.76,174200,-0.03797468354430378
2020-02-19,0.77,0.79,0.76,0.76,0.76,192800,0.0
2020-02-20,0.76,0.77,0.75,0.76,0.76,128700,0.0
2020-02-21,0.76,0.76,0.7,0.73,0.73,236300,-0.03947368421052633
2020-02-24,0.7,0.7,0.63,0.67,0.67,227700,-0.08219178082191769
2020-02-25,0.69,0.69,0.63,0.63,0.63,183500,-0.059701492537313494
2020-02-26,0.62,0.65,0.56,0.61,0.61,240400,-0.031746031746031744
2020-02-27,0.59,0.61,0.56,0.57,0.57,243500,-0.06557377049180335
2020-02-28,0.54,0.58,0.5,0.56,0.56,178400,-0.01754385964912264
2020-03-02,0.56,0.6,0.52,0.53,0.53,36300,-0.0535714285714286
2020-03-03,0.54,0.65,0.54,0.57,0.57,97100,0.07547169811320731
2020-03-04,0.61,0.82,0.57,0.59,0.59,3230100,0.03508771929824572
2020-03-05,0.58,0.58,0.51,0.52,0.52,379800,-0.11864406779661008
2020-03-06,0.54,0.55,0.5,0.54,0.54,166800,0.03846153846153855
2020-03-09,0.54,0.54,0.45,0.48,0.48,513500,-0.11111111111111116
2020-03-10,0.49,0.52,0.45,0.52,0.52,332300,0.08333333333333348
2020-03-11,0.5,0.58,0.46,0.53,0.53,441400,0.019230769230769162
2020-03-12,0.5,0.53,0.4,0.47,0.47,388100,-0.1132075471698114
2020-03-13,0.48,0.55,0.48,0.5,0.5,381800,0.06382978723404253
2020-03-16,0.53,0.55,0.43,0.44,0.44,67700,-0.12
2020-03-17,0.49,0.5,0.44,0.46,0.46,214600,0.045454545454545414
2020-03-18,0.48,0.48,0.4,0.42,0.42,193900,-0.08695652173913049
2020-03-19,0.42,0.45,0.4,0.45,0.45,155400,0.0714285714285714
2020-03-20,0.44,0.47,0.37,0.37,0.37,685100,-0.1777777777777778
2020-03-23,0.38,0.43,0.37,0.38,0.38,130300,0.027027027027026973
2020-03-24,0.38,0.43,0.38,0.4,0.4,217400,0.05263157894736836
2020-03-25,0.422,0.46531000000000006,0.4012,0.44,0.44,140122,0.09999999999999987
2020-03-26,0.45,0.5251,0.4272,0.511,0.511,138305,0.16136363636363638
2020-03-27,0.53,0.69,0.4811,0.5997,0.5997,1300777,0.17358121330724074
2020-03-30,0.6488,0.76,0.5,0.63981,0.63981,880535,0.06688344172086036
2020-03-31,0.68,0.68,0.55,0.5701,0.5701,335494,-0.10895422078429529
2020-04-01,0.55,0.6332,0.55,0.5878,0.5878,187704,0.03104718470443779
2020-04-02,0.6,0.6,0.54,0.5452,0.5452,157175,-0.07247363048655997
