Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,4.85,5.1773,4.81,4.86,4.86,44800,
2020-01-03,4.73,4.84,4.3,4.75,4.75,35400,-0.02263374485596714
2020-01-06,4.57,4.7,4.0713,4.41,4.41,41500,-0.07157894736842108
2020-01-07,4.31,4.74,4.31,4.37,4.37,20500,-0.009070294784580546
2020-01-08,4.47,4.6589,4.3601,4.47,4.47,14900,0.022883295194507935
2020-01-09,4.53,4.7,4.49,4.65,4.65,31700,0.04026845637583909
2020-01-10,4.75,4.8,4.4775,4.4793,4.4793,10400,-0.036709677419354825
2020-01-13,4.4,4.4,3.705,4.09,4.09,142500,-0.08691090125689294
2020-01-14,4.1,4.39,4.09,4.3,4.3,14200,0.05134474327628369
2020-01-15,4.2012,4.38,4.1852,4.21,4.21,3000,-0.020930232558139528
2020-01-16,4.32,4.77,4.32,4.7,4.7,73700,0.11638954869358664
2020-01-17,4.7034,4.7034,4.4,4.4,4.4,33300,-0.06382978723404253
2020-01-21,4.41,4.41,4.26,4.26,4.26,1100,-0.03181818181818197
2020-01-22,4.25,4.49,4.2,4.27,4.27,46300,0.0023474178403755097
2020-01-23,4.28,4.3199,4.0304,4.04,4.04,42100,-0.05386416861826693
2020-01-24,4.1,4.2,4.0821,4.19,4.19,32700,0.03712871287128716
2020-01-27,4.13,4.41,4.1,4.2,4.2,33800,0.0023866348448686736
2020-01-28,4.15,4.25,4.11,4.15,4.15,30600,-0.011904761904761862
2020-01-29,4.13,4.13,4.01,4.05,4.05,13200,-0.024096385542168752
2020-01-30,4.05,4.2,4.0202,4.16,4.16,32800,0.02716049382716057
2020-01-31,4.13,4.4,4.13,4.3556,4.3556,36200,0.04701923076923076
2020-02-03,4.42,4.65,4.42,4.46,4.46,37800,0.023969143172008378
2020-02-04,4.4057,4.9,4.4004,4.82,4.82,68500,0.08071748878923768
2020-02-05,4.74,5.005,4.23,4.62,4.62,49000,-0.04149377593361003
2020-02-06,4.7497,4.7497,4.5249,4.7,4.7,10200,0.017316017316017396
2020-02-07,4.67,4.8,4.65,4.7,4.7,31600,0.0
2020-02-10,4.79,4.79,4.6,4.68,4.68,7400,-0.004255319148936287
2020-02-11,4.6,5.0,4.3699,4.41,4.41,146800,-0.0576923076923076
2020-02-12,4.4,4.7005,4.4,4.63,4.63,69300,0.049886621315192725
2020-02-13,4.6415,4.838,4.6,4.6,4.6,33600,-0.006479481641468721
2020-02-14,4.6,4.85,4.525,4.65,4.65,26400,0.010869565217391353
2020-02-18,4.73,5.4,4.6,5.4,5.4,103700,0.16129032258064524
2020-02-19,5.48,5.56,5.05,5.38,5.38,105100,-0.0037037037037037646
2020-02-20,5.4,5.75,5.35,5.6,5.6,200200,0.040892193308550207
2020-02-21,5.74,5.875,5.43,5.64,5.64,142700,0.0071428571428571175
2020-02-24,5.46,5.785,5.14,5.4,5.4,201900,-0.04255319148936154
2020-02-25,5.36,5.53,4.89,5.0,5.0,79800,-0.07407407407407418
2020-02-26,4.85,5.06,4.55,5.06,5.06,108200,0.01200000000000001
2020-02-27,4.9,4.9,4.13,4.26,4.26,89700,-0.15810276679841895
2020-02-28,4.26,4.52,4.03,4.52,4.52,93800,0.06103286384976525
2020-03-02,4.55,4.67,4.3,4.44,4.44,94800,-0.017699115044247593
2020-03-03,4.48,4.48,4.17,4.37,4.37,26900,-0.015765765765765827
2020-03-04,4.38,4.38,4.17,4.17,4.17,1800,-0.04576659038901609
2020-03-05,4.13,4.25,4.0,4.14,4.14,57000,-0.007194244604316613
2020-03-06,4.02,4.1999,3.93,4.0,4.0,66400,-0.033816425120772875
2020-03-09,3.76,3.982,3.55,3.92,3.92,28400,-0.020000000000000018
2020-03-10,3.9812,4.19,3.785,4.09,4.09,12800,0.04336734693877542
2020-03-11,3.94,4.1153,3.85,4.0,4.0,17900,-0.022004889975550057
2020-03-12,3.75,3.8985,3.48,3.6,3.6,103900,-0.09999999999999998
2020-03-13,3.97,3.97,3.5,3.6,3.6,70700,0.0
2020-03-16,3.6,3.6,2.76,3.06,3.06,47600,-0.15000000000000002
2020-03-17,3.06,3.17,2.93,3.04,3.04,24100,-0.006535947712418277
2020-03-18,3.02,3.04,2.21,2.31,2.31,102300,-0.24013157894736836
2020-03-19,2.2001,2.8,2.2,2.8,2.8,45100,0.21212121212121193
2020-03-20,3.06,3.1099,2.5,2.61,2.61,27300,-0.06785714285714284
2020-03-23,2.3,2.6641,1.87,2.31,2.31,75300,-0.11494252873563215
2020-03-24,2.15,2.59,2.0108,2.25,2.25,77400,-0.025974025974025983
2020-03-25,2.226,2.72,2.226,2.64,2.64,32600,0.17333333333333334
2020-03-26,2.6,3.04,2.6,2.8299,2.8299,24400,0.07193181818181804
2020-03-27,2.99,3.07,2.72,2.81,2.81,59200,-0.007032050602494677
2020-03-30,2.85,2.89,2.61,2.62,2.62,15200,-0.06761565836298933
2020-03-31,2.6001,2.86,2.6001,2.8,2.8,6000,0.06870229007633566
2020-04-01,2.87,2.87,2.47,2.68,2.68,13100,-0.042857142857142705
2020-04-02,2.55,2.67,2.55,2.6,2.6,10400,-0.02985074626865669
2020-04-03,2.59,2.85,2.57,2.85,2.85,17400,0.09615384615384626
