Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,8.5,8.87,8.4,8.85,8.85,2559300,
2020-01-03,8.67,8.96,8.56,8.78,8.78,1687600,-0.007909604519774072
2020-01-06,8.67,9.0,8.56,8.98,8.98,1532700,0.02277904328018243
2020-01-07,8.98,9.125,8.83,8.99,8.99,2183800,0.00111358574610243
2020-01-08,8.97,9.48,8.93,9.36,9.36,1925600,0.04115684093437144
2020-01-09,9.49,9.5,9.085,9.21,9.21,2577900,-0.016025641025640858
2020-01-10,9.19,9.39,8.965,9.35,9.35,2109000,0.015200868621063846
2020-01-13,9.39,9.43,9.22,9.36,9.36,2714000,0.0010695187165774556
2020-01-14,9.24,9.29,8.76,8.92,8.92,2372400,-0.04700854700854695
2020-01-15,8.96,9.09,8.85,8.94,8.94,1995000,0.0022421524663676085
2020-01-16,8.99,9.2,8.84,9.11,9.11,1312100,0.019015659955257336
2020-01-17,9.09,9.43,9.03,9.37,9.37,1387000,0.028540065861690334
2020-01-21,9.0,9.16,8.47,8.59,8.59,2908600,-0.08324439701173958
2020-01-22,8.65,8.85,7.58,7.6,7.6,4218100,-0.11525029103608853
2020-01-23,7.59,7.98,7.59,7.935,7.935,4015000,0.044078947368421106
2020-01-24,7.93,8.18,7.655,7.72,7.72,2985800,-0.027095148078134845
2020-01-27,7.3,7.83,7.08,7.6,7.6,4362800,-0.015544041450777257
2020-01-28,7.7,8.09,7.68,7.99,7.99,2861500,0.051315789473684204
2020-01-29,7.99,8.23,7.84,8.0,8.0,2019100,0.0012515644555695093
2020-01-30,7.8,8.13,7.57,8.08,8.08,2821100,0.010000000000000009
2020-01-31,8.0,8.15,7.925,8.09,8.09,1928200,0.0012376237623761277
2020-02-03,8.08,8.3,8.04,8.25,8.25,1920900,0.01977750309023496
2020-02-04,8.42,8.47,8.1,8.14,8.14,1604100,-0.013333333333333308
2020-02-05,8.2,8.3,7.94,8.02,8.02,1149200,-0.014742014742014864
2020-02-06,8.11,8.39,8.105,8.28,8.28,1220900,0.032418952618453734
2020-02-07,8.27,8.62,8.11,8.59,8.59,1515700,0.037439613526570215
2020-02-10,8.56,8.85,8.505,8.85,8.85,1102100,0.030267753201396852
2020-02-11,8.92,8.925,8.46,8.5,8.5,1545700,-0.039548022598870025
2020-02-12,8.6,8.71,8.51,8.53,8.53,1451900,0.003529411764705781
2020-02-13,8.48,8.587,8.4,8.45,8.45,634000,-0.009378663540445475
2020-02-14,8.47,8.99,8.44,8.76,8.76,1265700,0.03668639053254452
2020-02-18,8.83,8.88,8.13,8.33,8.33,984800,-0.04908675799086759
2020-02-19,8.38,8.51,8.055,8.09,8.09,847300,-0.02881152460984393
2020-02-20,8.11,8.33,8.02,8.16,8.16,1351000,0.008652657601977864
2020-02-21,8.14,8.14,8.01,8.07,8.07,1051000,-0.011029411764705843
2020-02-24,7.84,7.95,7.57,7.9,7.9,785300,-0.02106567534076831
2020-02-25,7.94,8.06,7.805,7.9,7.9,558900,0.0
2020-02-26,7.92,8.12,7.91,7.98,7.98,681900,0.010126582278481067
2020-02-27,7.9,8.02,7.39,7.79,7.79,1614500,-0.023809523809523836
2020-02-28,7.44,7.77,7.4,7.77,7.77,1168600,-0.0025673940949936247
2020-03-02,7.83,7.99,7.57,7.8,7.8,705400,0.0038610038610038533
2020-03-03,7.85,8.07,7.8,7.98,7.98,1661300,0.023076923076923217
2020-03-04,8.1,8.28,8.03,8.16,8.16,484200,0.022556390977443552
2020-03-05,8.08,8.23,7.92,8.02,8.02,394100,-0.01715686274509809
2020-03-06,7.82,8.04,7.31,7.56,7.56,1016300,-0.05735660847880297
2020-03-09,7.04,7.78,6.5,7.45,7.45,1570600,-0.014550264550264425
2020-03-10,7.61,7.75,7.48,7.6,7.6,562900,0.020134228187919323
2020-03-11,7.4,7.48,7.01,7.29,7.29,1098600,-0.04078947368421049
2020-03-12,6.9,7.02,6.52,6.91,6.91,1277900,-0.052126200274348444
2020-03-13,7.03,7.71,6.89,7.71,7.71,1265300,0.11577424023154848
2020-03-16,6.7,7.39,6.7,7.37,7.37,924800,-0.04409857328145261
2020-03-17,7.39,7.94,7.02,7.87,7.87,772200,0.0678426051560379
2020-03-18,7.5,8.1,7.18,7.73,7.73,1292400,-0.017789072426937724
2020-03-19,7.74,8.2,7.5,8.04,8.04,1968400,0.040103492884864034
2020-03-20,8.1,8.2,7.13,7.25,7.25,1652200,-0.09825870646766155
2020-03-23,7.18,7.48,6.9,7.0,7.0,599700,-0.03448275862068961
2020-03-24,7.48,8.0,6.6,6.69,6.69,3270800,-0.04428571428571426
2020-03-25,6.75,7.07,6.415,6.67,6.67,2313300,-0.002989536621823663
2020-03-26,6.68,6.98,6.5,6.86,6.86,2091400,0.028485757121439415
2020-03-27,6.7,6.74,6.4,6.61,6.61,2021800,-0.036443148688046656
2020-03-30,6.74,6.77,6.11,6.24,6.24,2013200,-0.055975794251134636
2020-03-31,6.22,6.53,6.2,6.41,6.41,1653500,0.027243589743589647
2020-04-01,6.33,6.52,6.23,6.27,6.27,1187200,-0.021840873634945468
2020-04-02,6.22,6.58,6.17,6.55,6.55,1522500,0.04465709728867617
2020-04-03,6.9,7.17,6.71,7.16,7.16,3509100,0.09312977099236641
