Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,10.25,10.25,10.24,10.24,10.24,300,
2020-01-03,10.25,10.27,10.25,10.27,10.27,4900,0.0029296875
2020-01-06,10.27,10.27,10.27,10.27,10.27,0,0.0
2020-01-07,10.3,10.3,10.3,10.3,10.3,1300,0.002921129503408171
2020-01-08,10.26,10.26,10.26,10.26,10.26,1400,-0.003883495145631133
2020-01-09,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-10,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-13,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-14,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-15,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-16,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-17,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-21,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-22,10.26,10.26,10.26,10.26,10.26,0,0.0
2020-01-23,10.421,10.45,10.421,10.45,10.45,300,0.01851851851851838
2020-01-24,10.45,10.45,10.45,10.45,10.45,0,0.0
2020-01-27,10.695,11.105,10.63,10.63,10.63,1400,0.017224880382775254
2020-01-28,10.63,10.63,10.63,10.63,10.63,0,0.0
2020-01-29,10.65,10.65,10.65,10.65,10.65,100,0.0018814675446847673
2020-01-30,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-01-31,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-03,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-04,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-05,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-06,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-07,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-10,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-11,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-12,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-13,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-14,10.65,10.65,10.65,10.65,10.65,11100,0.0
2020-02-18,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-19,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-20,10.65,10.65,10.65,10.65,10.65,100,0.0
2020-02-21,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-24,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-25,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-26,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-27,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-02-28,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-02,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-03,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-04,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-05,10.65,10.65,10.65,10.65,10.65,7900,0.0
2020-03-06,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-09,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-10,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-11,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-12,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-13,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-16,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-17,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-18,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-19,10.65,10.65,10.65,10.65,10.65,5800,0.0
2020-03-20,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-23,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-24,9.7,10.25,9.7,10.25,10.25,400200,-0.03755868544600938
2020-03-25,9.71,9.71,9.71,9.71,9.71,100,-0.05268292682926823
2020-03-26,9.85,9.85,9.85,9.85,9.85,300000,0.01441812564366618
2020-03-27,9.85,9.85,9.85,9.85,9.85,270000,0.0
2020-03-30,9.85,9.85,9.85,9.85,9.85,0,0.0
2020-03-31,9.85,9.85,9.85,9.85,9.85,0,0.0
2020-04-01,9.85,9.85,9.85,9.85,9.85,0,0.0
2020-04-02,9.85,9.85,9.85,9.85,9.85,0,0.0
2020-04-03,9.85,9.85,9.85,9.85,9.85,0,0.0
