Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,15.0,15.127,14.94,15.127,15.127,16700,
2020-01-03,15.0,15.0,14.84,14.907,14.907,30000,-0.014543531433860002
2020-01-06,14.81,14.906,14.7,14.905,14.905,12100,-0.0001341651573086855
2020-01-07,15.04,15.06,14.94,15.01,15.01,19100,0.007044615900704487
2020-01-08,15.12,15.151,14.98,15.12,15.12,27600,0.007328447701532292
2020-01-09,15.24,15.28,15.1,15.145,15.145,35100,0.0016534391534390736
2020-01-10,15.24,15.25,15.1,15.1,15.1,18900,-0.0029712776493892035
2020-01-13,15.26,15.379,15.21,15.345,15.345,26100,0.01622516556291398
2020-01-14,15.41,15.48,15.325,15.39,15.39,28100,0.0029325513196480912
2020-01-15,15.35,15.35,15.25,15.276,15.276,27300,-0.007407407407407418
2020-01-16,15.43,15.43,15.35,15.416,15.416,22600,0.0091647028017805
2020-01-17,15.5,15.53,15.44,15.53,15.53,10000,0.007394914374675654
2020-01-21,15.55,15.55,15.33,15.355,15.355,36300,-0.011268512556342536
2020-01-22,15.49,15.5,15.328,15.35,15.35,10300,-0.0003256268316509381
2020-01-23,15.31,15.35,15.145,15.334,15.334,15200,-0.001042345276872969
2020-01-24,15.41,15.41,15.1,15.16,15.16,16500,-0.01134733272466415
2020-01-27,14.81,14.83,14.66,14.83,14.83,24100,-0.02176781002638528
2020-01-28,14.81,15.056,14.81,15.024,15.024,19700,0.013081591368846901
2020-01-29,15.03,15.03,14.931,14.962,14.962,28900,-0.004126730564430248
2020-01-30,14.86,14.95,14.73,14.88,14.88,24000,-0.005480550728512168
2020-01-31,14.86,14.87,14.58,14.588,14.588,6200,-0.019623655913978633
2020-02-03,14.61,14.869,14.59,14.81,14.81,14800,0.015217987386893395
2020-02-04,15.15,15.4,15.15,15.291,15.291,20900,0.03247805536799464
2020-02-05,15.58,15.58,15.325,15.469,15.469,47700,0.011640834477797402
2020-02-06,15.55,15.55,15.36,15.5,15.5,38800,0.002004008016032177
2020-02-07,15.35,15.35,15.2,15.2,15.2,17800,-0.01935483870967747
2020-02-10,15.21,15.375,15.21,15.375,15.375,22900,0.011513157894736947
2020-02-11,15.56,15.64,15.42,15.59,15.59,34900,0.013983739837398312
2020-02-12,15.78,15.87,15.777,15.85,15.85,40800,0.016677357280307836
2020-02-13,15.74,15.79,15.6,15.75,15.75,44800,-0.006309148264984188
2020-02-14,15.81,15.816,15.61,15.675,15.675,19000,-0.004761904761904745
2020-02-18,15.55,15.7,15.55,15.62,15.62,25100,-0.0035087719298246833
2020-02-19,15.8,15.9,15.8,15.875,15.875,14900,0.016325224071702893
2020-02-20,15.89,15.98,15.67,15.82,15.82,25700,-0.003464566929133883
2020-02-21,15.76,15.76,15.43,15.475,15.475,29600,-0.02180783817951959
2020-02-24,14.86,14.87,14.61,14.77,14.77,38100,-0.04555735056542809
2020-02-25,14.92,14.92,14.3,14.312,14.312,36200,-0.031008801624915372
2020-02-26,14.37,14.63,14.266,14.35,14.35,23800,0.0026551145891560157
2020-02-27,13.96,14.105,13.65,13.677,13.677,32300,-0.04689895470383276
2020-02-28,13.2,13.67,13.13,13.64,13.64,41300,-0.002705271623894112
2020-03-02,13.84,14.16,13.592,14.16,14.16,19300,0.038123167155425186
2020-03-03,14.25,14.269,13.68,13.87,13.87,20000,-0.020480225988700584
2020-03-04,14.03,14.25,13.945,14.23,14.23,8300,0.02595529920692141
2020-03-05,13.8,13.969,13.645,13.645,13.645,10500,-0.04111033028812372
2020-03-06,13.23,13.5,13.17,13.345,13.345,9300,-0.02198607548552578
2020-03-09,12.34,12.51,12.16,12.18,12.18,24100,-0.08729861371300118
2020-03-10,12.75,12.93,12.256,12.93,12.93,12000,0.061576354679802936
2020-03-11,12.55,12.558,12.085,12.213,12.213,12500,-0.055452436194895594
2020-03-12,11.92,11.997,10.71,10.9,10.9,32200,-0.10750839269630708
2020-03-13,11.56,11.68,10.88,11.645,11.645,16500,0.06834862385321094
2020-03-16,9.59,10.87,9.59,10.25,10.25,49400,-0.11979390296264492
2020-03-17,10.25,10.72,9.82,9.82,9.82,61000,-0.04195121951219505
2020-03-18,9.75,10.184,9.32,9.9,9.9,22500,0.008146639511201537
2020-03-19,9.78,10.13,9.695,10.081,10.081,8900,0.018282828282828234
2020-03-20,10.21,10.47,9.81,9.82,9.82,22200,-0.025890288661839067
2020-03-23,9.77,9.885,9.51,9.77,9.77,21100,-0.005091649694501044
2020-03-24,10.505,10.856,10.396,10.8,10.8,19900,0.10542476970317316
2020-03-25,10.92,11.46,10.73,11.074,11.074,23900,0.025370370370370265
2020-03-26,11.21,11.62,11.2,11.562,11.562,14200,0.0440671843958822
2020-03-27,11.05,11.29,10.975,11.24,11.24,26000,-0.027849852966614685
2020-03-30,10.92,11.227,10.92,11.19,11.19,24600,-0.004448398576512469
2020-03-31,11.22,11.33,11.013,11.06,11.06,78900,-0.011617515638963294
2020-04-01,10.707,10.867,10.5,10.52,10.52,11800,-0.048824593128390714
2020-04-02,10.57,10.785,10.501,10.611,10.611,4800,0.008650190114068534
2020-04-03,10.64,10.848,10.42,10.47,10.47,7400,-0.013288097257562859
