Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.301,0.324,0.301,0.316,0.316,120700,
2020-01-03,0.332,0.359,0.33,0.331,0.331,243700,0.04746835443037978
2020-01-06,0.348,0.35,0.32,0.335,0.335,147800,0.012084592145015005
2020-01-07,0.31,0.33,0.306,0.315,0.315,110500,-0.059701492537313494
2020-01-08,0.31,0.33,0.308,0.313,0.313,64500,-0.006349206349206327
2020-01-09,0.312,0.315,0.285,0.308,0.308,93300,-0.015974440894568676
2020-01-10,0.301,0.32,0.3,0.301,0.301,35700,-0.022727272727272707
2020-01-13,0.295,0.31,0.291,0.293,0.293,90800,-0.02657807308970106
2020-01-14,0.3,0.325,0.3,0.308,0.308,445500,0.05119453924914685
2020-01-15,0.31,0.32,0.3,0.31,0.31,136400,0.006493506493506551
2020-01-16,0.31,0.319,0.3,0.305,0.305,143400,-0.016129032258064502
2020-01-17,0.3,0.33,0.3,0.312,0.312,94300,0.022950819672131084
2020-01-21,0.327,0.327,0.31,0.316,0.316,152400,0.012820512820512775
2020-01-22,0.332,0.35,0.311,0.333,0.333,279900,0.053797468354430444
2020-01-23,0.348,0.35,0.321,0.323,0.323,156400,-0.03003003003003002
2020-01-24,0.33,0.33,0.3,0.315,0.315,191100,-0.024767801857585203
2020-01-27,0.29,0.31,0.268,0.297,0.297,522500,-0.05714285714285716
2020-01-28,0.28,0.297,0.28,0.29,0.29,30500,-0.023569023569023573
2020-01-29,0.315,0.315,0.27,0.27,0.27,140300,-0.06896551724137923
2020-01-30,0.275,0.28,0.255,0.261,0.261,115900,-0.033333333333333326
2020-01-31,0.28,0.28,0.261,0.262,0.262,55400,0.003831417624521105
2020-02-03,0.275,0.284,0.252,0.252,0.252,137900,-0.038167938931297773
2020-02-04,0.265,0.27,0.255,0.255,0.255,144300,0.011904761904761862
2020-02-05,0.276,0.276,0.26,0.26,0.26,96700,0.019607843137254832
2020-02-06,0.273,0.273,0.255,0.273,0.273,156800,0.050000000000000044
2020-02-07,0.273,0.273,0.255,0.261,0.261,118100,-0.04395604395604402
2020-02-10,0.27,0.27,0.255,0.255,0.255,69300,-0.02298850574712641
2020-02-11,0.26,0.26,0.245,0.252,0.252,200400,-0.0117647058823529
2020-02-12,0.252,0.26,0.23,0.238,0.238,241100,-0.05555555555555558
2020-02-13,0.25,0.25,0.203,0.203,0.203,638700,-0.1470588235294117
2020-02-14,0.22,0.239,0.213,0.235,0.235,360500,0.15763546798029537
2020-02-18,0.245,0.245,0.215,0.231,0.231,202900,-0.017021276595744594
2020-02-19,0.222,0.24,0.22,0.23,0.23,161500,-0.0043290043290042934
2020-02-20,0.22,0.245,0.22,0.244,0.244,147100,0.060869565217391175
2020-02-21,0.167,0.18,0.167,0.178,0.178,14009300,-0.2704918032786885
2020-02-24,0.19,0.235,0.181,0.225,0.225,24101900,0.2640449438202248
2020-02-25,0.235,0.257,0.202,0.224,0.224,17268300,-0.004444444444444473
2020-02-26,0.2,0.225,0.19,0.205,0.205,9370200,-0.0848214285714286
2020-02-27,0.215,0.218,0.172,0.182,0.182,11324100,-0.1121951219512195
2020-02-28,0.187,0.255,0.18,0.24,0.24,17886900,0.31868131868131866
2020-03-02,0.229,0.233,0.203,0.216,0.216,2940200,-0.09999999999999998
2020-03-03,0.209,0.22,0.2,0.201,0.201,3670700,-0.06944444444444442
2020-03-04,0.21,0.23,0.203,0.21,0.21,4539500,0.04477611940298498
2020-03-05,0.205,0.208,0.185,0.194,0.194,5954600,-0.07619047619047614
2020-03-06,0.205,0.206,0.19,0.19,0.19,3166100,-0.020618556701030966
2020-03-09,0.195,0.195,0.123,0.169,0.169,2914300,-0.11052631578947358
2020-03-10,0.197,0.197,0.16,0.165,0.165,2101200,-0.023668639053254448
2020-03-11,0.167,0.17,0.151,0.155,0.155,1831600,-0.06060606060606066
2020-03-12,0.26,0.52,0.233,0.28,0.28,93437600,0.806451612903226
2020-03-13,0.28,0.28,0.175,0.182,0.182,12842400,-0.3500000000000001
2020-03-16,0.18,0.2,0.16,0.182,0.182,8726600,0.0
2020-03-17,0.19,0.21,0.178,0.18,0.18,4480000,-0.01098901098901095
2020-03-18,0.182,0.19,0.163,0.171,0.171,4854300,-0.04999999999999993
2020-03-19,0.172,0.197,0.162,0.179,0.179,7459800,0.04678362573099393
2020-03-20,0.19,0.21,0.176,0.203,0.203,6359300,0.13407821229050287
2020-03-23,0.2,0.245,0.182,0.206,0.206,12194100,0.01477832512315258
2020-03-24,0.21,0.23,0.198,0.212,0.212,4105600,0.029126213592232997
2020-03-25,0.202,0.24,0.195,0.231,0.231,5423400,0.08962264150943411
2020-03-26,0.23,0.245,0.212,0.227,0.227,2852200,-0.017316017316017285
2020-03-27,0.22,0.3,0.21,0.27,0.27,13694500,0.18942731277533054
2020-03-30,0.235,0.248,0.2,0.212,0.212,7152600,-0.2148148148148149
2020-03-31,0.22,0.229,0.196,0.198,0.198,6571700,-0.06603773584905648
2020-04-01,0.211,0.226,0.181,0.22,0.22,6570500,0.11111111111111116
2020-04-02,0.22,0.228,0.201,0.204,0.204,5228500,-0.07272727272727275
2020-04-03,0.213,0.215,0.193,0.202,0.202,3917700,-0.009803921568627305
