Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,4.42,4.5,4.35,4.44,4.44,106500,
2020-01-03,4.4,4.53,4.4,4.47,4.47,88700,0.006756756756756577
2020-01-06,4.46,4.47,4.35,4.37,4.37,76300,-0.02237136465324374
2020-01-07,4.36,4.38,4.21,4.23,4.23,68900,-0.03203661327231111
2020-01-08,4.26,4.35,4.18,4.25,4.25,192900,0.004728132387706863
2020-01-09,4.29,4.44,4.29,4.35,4.35,153500,0.0235294117647058
2020-01-10,4.3,4.4,4.18,4.25,4.25,199500,-0.02298850574712641
2020-01-13,4.28,4.3,4.1,4.14,4.14,83600,-0.02588235294117658
2020-01-14,4.11,4.19,3.92,3.95,3.95,270500,-0.045893719806763156
2020-01-15,3.92,4.25,3.92,4.13,4.13,130700,0.04556962025316458
2020-01-16,4.14,4.25,4.1,4.2,4.2,58200,0.016949152542373058
2020-01-17,4.11,4.11,4.0,4.1,4.1,110400,-0.023809523809523947
2020-01-21,4.06,4.16,3.9,3.96,3.96,184300,-0.03414634146341455
2020-01-22,3.98,4.09,3.94,3.99,3.99,68400,0.007575757575757569
2020-01-23,4.0,4.08,3.93,4.06,4.06,22600,0.01754385964912264
2020-01-24,4.17,4.19,3.98,4.19,4.19,147400,0.032019704433497775
2020-01-27,4.2,4.24,3.99,4.06,4.06,84300,-0.031026252983293756
2020-01-28,3.99,4.1,3.99,4.05,4.05,94800,-0.0024630541871920597
2020-01-29,4.05,4.17,3.95,4.02,4.02,73100,-0.007407407407407418
2020-01-30,4.04,4.05,3.81,3.83,3.83,106500,-0.04726368159203964
2020-01-31,3.9,3.92,3.75,3.8,3.8,60600,-0.007832898172323799
2020-02-03,3.8,3.8,3.68,3.7,3.7,86400,-0.02631578947368407
2020-02-04,3.7,3.78,3.7,3.73,3.73,65900,0.008108108108108025
2020-02-05,3.72,3.8,3.72,3.74,3.74,21000,0.002680965147453085
2020-02-06,3.76,3.99,3.76,3.81,3.81,41300,0.018716577540106805
2020-02-07,3.76,3.88,3.76,3.84,3.84,62600,0.007874015748031482
2020-02-10,3.92,3.94,3.7,3.74,3.74,38300,-0.02604166666666663
2020-02-11,3.74,3.88,3.67,3.82,3.82,48000,0.021390374331550666
2020-02-12,3.79,3.96,3.77,3.78,3.78,13200,-0.010471204188481686
2020-02-13,3.85,3.94,3.74,3.75,3.75,50000,-0.007936507936507908
2020-02-14,3.75,3.82,3.75,3.77,3.77,47400,0.005333333333333412
2020-02-18,3.95,4.0,3.81,3.97,3.97,86100,0.05305039787798416
2020-02-19,4.0,4.06,3.91,3.96,3.96,77400,-0.0025188916876575096
2020-02-20,3.92,4.24,3.92,4.17,4.17,117100,0.05303030303030298
2020-02-21,4.2,4.74,4.2,4.45,4.45,359300,0.06714628297362113
2020-02-24,4.46,4.48,4.13,4.35,4.35,180200,-0.022471910112359716
2020-02-25,4.31,4.37,4.03,4.05,4.05,123300,-0.06896551724137923
2020-02-26,4.1,4.2,3.95,4.0,4.0,316500,-0.012345679012345623
2020-02-27,3.88,4.03,3.74,3.89,3.89,96500,-0.02749999999999997
2020-02-28,3.73,3.93,3.55,3.83,3.83,175100,-0.015424164524421635
2020-03-02,3.84,3.9,3.7,3.87,3.87,47500,0.010443864229765065
2020-03-03,3.86,3.9,3.75,3.75,3.75,38000,-0.03100775193798455
2020-03-04,3.89,3.89,3.78,3.8,3.8,25000,0.013333333333333197
2020-03-05,3.78,3.8,3.63,3.63,3.63,81300,-0.044736842105263186
2020-03-06,3.53,3.65,3.5,3.54,3.54,83400,-0.024793388429751984
2020-03-09,3.45,3.52,2.71,3.02,3.02,586800,-0.14689265536723162
2020-03-10,3.22,3.3,2.94,3.07,3.07,160500,0.01655629139072845
2020-03-11,3.01,3.24,2.48,2.48,2.48,645500,-0.19218241042345274
2020-03-12,2.31,2.53,2.15,2.22,2.22,360800,-0.10483870967741926
2020-03-13,2.25,2.42,1.98,2.34,2.34,463400,0.054054054054053946
2020-03-16,1.5,2.21,1.46,2.06,2.06,131900,-0.11965811965811957
2020-03-17,2.2,2.25,1.8,1.88,1.88,152400,-0.0873786407766991
2020-03-18,1.65,2.01,1.65,1.72,1.72,149400,-0.08510638297872342
2020-03-19,1.74,2.18,1.74,2.12,2.12,114600,0.2325581395348839
2020-03-20,2.19,2.34,1.92,1.98,1.98,68900,-0.0660377358490567
2020-03-23,2.0,2.4,1.9,1.99,1.99,58800,0.005050505050504972
2020-03-24,2.21,2.24,1.95,2.02,2.02,110300,0.015075376884422065
2020-03-25,2.1,2.25,2.1,2.2,2.2,108100,0.08910891089108919
2020-03-26,2.16,2.4,2.15,2.29,2.29,158700,0.040909090909090784
2020-03-27,2.34,2.38,2.18,2.33,2.33,109900,0.017467248908296984
2020-03-30,2.43,2.5,2.32,2.36,2.36,46200,0.012875536480686511
2020-03-31,2.26,2.36,2.1,2.27,2.27,60800,-0.03813559322033888
2020-04-01,2.26,2.31,2.12,2.15,2.15,25700,-0.052863436123348095
2020-04-02,2.08,2.18,2.07,2.11,2.11,24700,-0.018604651162790753
2020-04-03,2.18,2.18,2.07,2.1,2.1,9000,-0.004739336492890933
