Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,4.61,4.61,4.36,4.51,4.51,225600,
2020-01-03,4.47,4.61,4.42,4.5,4.5,223700,-0.0022172949002217113
2020-01-06,4.51,4.51,4.28,4.36,4.36,349400,-0.03111111111111109
2020-01-07,4.34,4.5,4.32,4.46,4.46,215100,0.022935779816513735
2020-01-08,4.46,4.54,4.41,4.43,4.43,257700,-0.006726457399103158
2020-01-09,4.46,4.48,4.36,4.44,4.44,147100,0.0022573363431153126
2020-01-10,4.4,4.48,4.31,4.4,4.4,268100,-0.009009009009009028
2020-01-13,4.4,4.4,4.2,4.35,4.35,296000,-0.011363636363636576
2020-01-14,4.35,4.5,4.31,4.4,4.4,230900,0.011494252873563315
2020-01-15,4.43,4.49,4.32,4.35,4.35,900400,-0.011363636363636576
2020-01-16,4.38,4.45,4.25,4.27,4.27,210000,-0.01839080459770115
2020-01-17,4.31,4.31,4.2,4.25,4.25,216500,-0.004683840749414414
2020-01-21,4.25,4.26,4.05,4.07,4.07,297700,-0.04235294117647048
2020-01-22,4.1,4.18,4.0,4.12,4.12,566800,0.01228501228501222
2020-01-23,4.16,4.16,4.01,4.05,4.05,505700,-0.016990291262136026
2020-01-24,4.03,4.13,3.94,4.06,4.06,658900,0.0024691358024691024
2020-01-27,3.86,3.98,3.52,3.75,3.75,944500,-0.07635467980295563
2020-01-28,3.81,3.82,3.64,3.65,3.65,488600,-0.026666666666666727
2020-01-29,3.65,3.78,3.46,3.57,3.57,918400,-0.021917808219178103
2020-01-30,3.54,3.57,3.45,3.53,3.53,362500,-0.011204481792717047
2020-01-31,3.51,3.59,3.24,3.25,3.25,687100,-0.07932011331444755
2020-02-03,3.29,3.29,3.01,3.04,3.04,492900,-0.06461538461538463
2020-02-04,3.11,3.29,3.11,3.12,3.12,410200,0.026315789473684292
2020-02-05,3.15,3.49,3.12,3.32,3.32,467600,0.0641025641025641
2020-02-06,3.34,3.4,3.1,3.21,3.21,576000,-0.033132530120481896
2020-02-07,3.17,3.17,2.87,3.03,3.03,643700,-0.05607476635514019
2020-02-10,3.02,3.07,2.91,3.06,3.06,508500,0.00990099009900991
2020-02-11,3.06,3.48,3.06,3.37,3.37,600800,0.10130718954248374
2020-02-12,3.42,3.7,3.41,3.63,3.63,1056400,0.0771513353115727
2020-02-13,3.55,3.62,3.12,3.14,3.14,641000,-0.13498622589531672
2020-02-14,3.11,3.27,3.09,3.18,3.18,267200,0.01273885350318471
2020-02-18,3.2,3.24,3.06,3.14,3.14,272600,-0.012578616352201255
2020-02-19,3.15,3.26,3.14,3.25,3.25,309400,0.03503184713375784
2020-02-20,3.22,3.37,3.18,3.21,3.21,328800,-0.012307692307692353
2020-02-21,3.19,3.39,3.1,3.19,3.19,349600,-0.006230529595015577
2020-02-24,3.08,3.35,3.06,3.26,3.26,771100,0.021943573667711602
2020-02-25,3.27,3.32,2.94,3.09,3.09,684400,-0.05214723926380371
2020-02-26,3.09,3.12,3.0,3.08,3.08,473900,-0.003236245954692518
2020-02-27,3.0,3.19,2.88,3.0,3.0,641300,-0.025974025974025983
2020-02-28,2.88,3.34,2.85,3.32,3.32,488100,0.10666666666666669
2020-03-02,3.32,3.35,3.09,3.22,3.22,574100,-0.030120481927710774
2020-03-03,3.2,3.3,3.09,3.17,3.17,370700,-0.015527950310559091
2020-03-04,3.18,3.42,3.17,3.38,3.38,508200,0.06624605678233442
2020-03-05,3.31,3.31,2.84,2.96,2.96,926300,-0.12426035502958577
2020-03-06,2.73,2.88,2.56,2.88,2.88,866500,-0.027027027027027084
2020-03-09,2.68,2.8,2.31,2.39,2.39,781600,-0.17013888888888884
2020-03-10,2.47,2.65,2.36,2.6,2.6,678800,0.08786610878661083
2020-03-11,2.52,2.61,2.33,2.39,2.39,614400,-0.0807692307692307
2020-03-12,2.31,2.35,2.11,2.13,2.13,441500,-0.10878661087866115
2020-03-13,2.27,2.38,2.15,2.22,2.22,607800,0.04225352112676073
2020-03-16,2.01,2.04,1.68,1.69,1.69,579500,-0.23873873873873885
2020-03-17,1.73,1.98,1.59,1.93,1.93,586000,0.1420118343195267
2020-03-18,1.8,1.82,1.52,1.59,1.59,980600,-0.17616580310880825
2020-03-19,1.62,1.98,1.58,1.94,1.94,982500,0.22012578616352196
2020-03-20,2.04,2.04,1.74,1.87,1.87,774100,-0.036082474226803996
2020-03-23,1.92,1.97,1.65,1.8,1.8,396200,-0.03743315508021394
2020-03-24,1.99,2.02,1.85,1.96,1.96,454100,0.0888888888888888
2020-03-25,1.99,2.02,1.81,1.95,1.95,465300,-0.005102040816326481
2020-03-26,1.97,2.13,1.93,2.04,2.04,785400,0.04615384615384621
2020-03-27,2.04,2.08,1.88,1.94,1.94,521100,-0.0490196078431373
2020-03-30,1.98,2.0,1.72,1.75,1.75,594900,-0.09793814432989689
2020-03-31,1.8,1.98,1.8,1.85,1.85,577600,0.05714285714285716
2020-04-01,1.81,1.89,1.74,1.8,1.8,238700,-0.027027027027027084
2020-04-02,1.8,1.85,1.72,1.8,1.8,368500,0.0
2020-04-03,1.72,1.8,1.64,1.73,1.73,468600,-0.03888888888888897
