Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,3.58,4.17,3.56,4.09,4.09,71400,
2020-01-03,4.07,4.84,3.79,4.4,4.4,52300,0.07579462102689494
2020-01-06,4.51,4.88,4.11,4.38,4.38,41300,-0.00454545454545463
2020-01-07,4.5,4.88,4.08,4.41,4.41,36400,0.006849315068493178
2020-01-08,4.55,4.55,4.24,4.52,4.52,13500,0.02494331065759625
2020-01-09,4.47,4.65,4.38,4.47,4.47,43300,-0.011061946902654829
2020-01-10,4.61,4.82,4.3,4.39,4.39,103200,-0.017897091722595126
2020-01-13,4.59,4.64,4.44,4.59,4.59,46500,0.04555808656036442
2020-01-14,4.63,4.91,4.49,4.66,4.66,36700,0.015250544662309462
2020-01-15,4.46,4.7,4.46,4.51,4.51,19600,-0.032188841201716833
2020-01-16,4.67,4.88,4.55,4.61,4.61,33800,0.022172949002217335
2020-01-17,4.82,4.88,4.56,4.62,4.62,43100,0.002169197396963085
2020-01-21,4.57,4.68,4.21,4.41,4.41,32100,-0.045454545454545414
2020-01-22,4.44,4.44,3.89,4.14,4.14,34800,-0.061224489795918435
2020-01-23,4.07,4.31,4.0,4.28,4.28,13400,0.0338164251207731
2020-01-24,4.74,5.72,4.65,5.1,5.1,253300,0.19158878504672883
2020-01-27,5.0,5.4,4.97,5.05,5.05,67800,-0.009803921568627416
2020-01-28,5.17,5.3,5.0,5.0,5.0,21000,-0.00990099009900991
2020-01-29,5.05,5.08,4.77,4.99,4.99,34200,-0.0020000000000000018
2020-01-30,4.98,4.98,4.7,4.77,4.77,17700,-0.044088176352705566
2020-01-31,4.71,4.78,4.35,4.57,4.57,53800,-0.041928721174004036
2020-02-03,4.47,4.64,4.42,4.49,4.49,13700,-0.01750547045951867
2020-02-04,4.49,4.5,4.3,4.3,4.3,47900,-0.04231625835189323
2020-02-05,4.3,4.86,4.3,4.77,4.77,34700,0.10930232558139519
2020-02-06,4.88,5.01,4.7,4.7,4.7,26000,-0.01467505241090139
2020-02-07,4.86,4.99,4.7,4.81,4.81,6600,0.023404255319148914
2020-02-10,4.89,4.97,4.71,4.82,4.82,15900,0.0020790020790022457
2020-02-11,4.92,4.95,4.79,4.95,4.95,10100,0.026970954356846377
2020-02-12,4.99,5.0,4.93,4.96,4.96,15700,0.002020202020202033
2020-02-13,5.0,5.07,4.9,4.98,4.98,11500,0.0040322580645162365
2020-02-14,4.99,5.15,4.97,4.97,4.97,8700,-0.002008032128514192
2020-02-18,5.1,5.16,5.0,5.06,5.06,42300,0.01810865191146882
2020-02-19,5.12,5.38,5.03,5.03,5.03,54800,-0.005928853754940566
2020-02-20,5.0,5.18,4.98,5.08,5.08,7900,0.00994035785288272
2020-02-21,5.15,5.6,4.98,5.13,5.13,24600,0.009842519685039353
2020-02-24,5.09,5.5,5.09,5.5,5.5,23600,0.0721247563352827
2020-02-25,5.54,5.66,5.35,5.36,5.36,13300,-0.025454545454545396
2020-02-26,5.44,5.44,5.17,5.31,5.31,5100,-0.00932835820895539
2020-02-27,5.26,5.28,5.0,5.09,5.09,35200,-0.04143126177024481
2020-02-28,4.99,5.07,4.65,4.81,4.81,36200,-0.055009823182711304
2020-03-02,5.0,5.22,4.87,5.1,5.1,19700,0.06029106029106024
2020-03-03,5.19,5.19,4.7,4.79,4.79,8800,-0.06078431372549009
2020-03-04,5.09,5.09,4.79,4.89,4.89,7800,0.020876826722338038
2020-03-05,4.96,4.99,4.79,4.79,4.79,14500,-0.020449897750511203
2020-03-06,4.9,5.22,4.65,5.14,5.14,11400,0.07306889352818358
2020-03-09,4.06,5.1,4.05,4.25,4.25,26400,-0.17315175097276259
2020-03-10,4.27,4.4,3.23,3.6,3.6,91000,-0.15294117647058825
2020-03-11,3.5,3.72,3.18,3.5,3.5,26100,-0.02777777777777779
2020-03-12,3.19,3.49,3.19,3.48,3.48,7000,-0.005714285714285672
2020-03-13,3.32,3.38,2.95,2.98,2.98,12700,-0.14367816091954022
2020-03-16,2.98,3.01,2.42,2.42,2.42,15700,-0.18791946308724838
2020-03-17,2.7,3.68,2.63,3.25,3.25,33100,0.3429752066115703
2020-03-18,3.71,3.85,2.83,2.96,2.96,25800,-0.08923076923076922
2020-03-19,2.93,3.94,2.63,3.94,3.94,22900,0.33108108108108114
2020-03-20,3.94,3.94,3.0,3.23,3.23,16000,-0.18020304568527923
2020-03-23,3.1,3.1,2.79,2.8,2.8,7500,-0.13312693498452022
2020-03-24,3.28,3.45,2.2,2.3,2.3,44300,-0.1785714285714286
2020-03-25,2.63,3.16,2.63,2.65,2.65,25900,0.15217391304347827
2020-03-26,2.91,2.94,2.71,2.74,2.74,7200,0.03396226415094361
2020-03-27,2.88,2.88,2.5,2.62,2.62,23400,-0.04379562043795626
2020-03-30,2.94,3.0,2.4,2.6,2.6,10700,-0.007633587786259555
2020-03-31,2.73,2.99,2.6,2.71,2.71,11000,0.04230769230769216
2020-04-01,2.51,2.99,2.47,2.48,2.48,35000,-0.08487084870848705
2020-04-02,2.5,2.69,2.32,2.45,2.45,15100,-0.012096774193548265
2020-04-03,2.56,2.56,2.3,2.34,2.34,6200,-0.044897959183673564
