Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,4.26,4.28,4.25,4.27,4.1760980000000005,550600,
2020-01-03,4.26,4.28,4.25,4.28,4.185879,575800,0.0023421385226112257
2020-01-06,4.29,4.3,4.27,4.28,4.185879,648000,0.0
2020-01-07,4.27,4.3,4.26,4.3,4.205439,632200,0.004672853658693965
2020-01-08,4.3,4.33,4.29,4.32,4.2249989999999995,731100,0.004651119657186564
2020-01-09,4.32,4.32,4.29,4.3,4.205439,645100,-0.004629586894576598
2020-01-10,4.32,4.33,4.3,4.33,4.2347790000000005,622700,0.0069766794857801795
2020-01-13,4.33,4.35,4.32,4.35,4.254339,479600,0.004618895106450527
2020-01-14,4.35,4.35,4.34,4.35,4.254339,398900,0.0
2020-01-15,4.36,4.36,4.34,4.36,4.264119,477000,0.002298829500893218
2020-01-16,4.35,4.39,4.34,4.39,4.29346,675200,0.00688090552819931
2020-01-17,4.37,4.37,4.35,4.35,4.281157,416800,-0.0028655210482918525
2020-01-21,4.35,4.35,4.34,4.35,4.281157,421100,0.0
2020-01-22,4.35,4.38,4.34,4.38,4.310683,671700,0.006896733756785789
2020-01-23,4.38,4.38,4.36,4.38,4.310683,514600,0.0
2020-01-24,4.38,4.38,4.34,4.35,4.281157,965200,-0.006849494616050333
2020-01-27,4.34,4.35,4.26,4.27,4.2024230000000005,1553700,-0.01839082285466287
2020-01-28,4.3,4.32,4.29,4.32,4.251632,927700,0.011709673205196003
2020-01-29,4.32,4.36,4.32,4.36,4.290999,656100,0.009259267970511242
2020-01-30,4.35,4.35,4.3,4.32,4.251632,600700,-0.009174320478751108
2020-01-31,4.32,4.33,4.27,4.28,4.212265,622900,-0.00925926797051102
2020-02-03,4.28,4.31,4.28,4.3,4.231949,749200,0.004673020334665434
2020-02-04,4.32,4.33,4.31,4.32,4.251632,360100,0.004651048488533149
2020-02-05,4.34,4.35,4.31,4.31,4.24179,399400,-0.0023148757935775865
2020-02-06,4.33,4.34,4.31,4.33,4.261474,436200,0.004640493753816255
2020-02-07,4.33,4.34,4.32,4.34,4.271316000000001,783300,0.0023095295195982857
2020-02-10,4.35,4.36,4.34,4.35,4.281157,1296600,0.002303973763589484
2020-02-11,4.36,4.39,4.34,4.39,4.320524,903000,0.00919541142733138
2020-02-12,4.39,4.4,4.39,4.4,4.330366000000001,979900,0.002277964432092272
2020-02-13,4.38,4.41,4.37,4.38,4.310683,434000,-0.004545343280452641
2020-02-14,4.39,4.4,4.37,4.38,4.310683,833500,0.0
2020-02-18,4.38,4.4,4.38,4.39,4.320524,716400,0.002282932890217193
2020-02-19,4.39,4.41,4.39,4.39,4.320524,556800,0.0
2020-02-20,4.37,4.4,4.37,4.4,4.357663,616400,0.008595948084074934
2020-02-21,4.4,4.49,4.36,4.36,4.318048,457700,-0.009090881970450604
2020-02-24,4.32,4.32,4.29,4.3,4.2586260000000005,1120600,-0.013761310666301041
2020-02-25,4.3,4.31,4.22,4.23,4.189299,1273000,-0.01627919427533675
2020-02-26,4.23,4.28,4.23,4.24,4.199203,884800,0.002364118674747173
2020-02-27,4.2,4.21,4.11,4.13,4.090261,2160700,-0.025943494515506815
2020-02-28,4.1,4.13,4.04,4.13,4.090261,3066500,0.0
2020-03-02,4.14,4.2,4.13,4.18,4.13978,1133000,0.01210656239296215
2020-03-03,4.24,4.24,4.17,4.19,4.149684,930100,0.0023923976636439637
2020-03-04,4.22,4.25,4.2,4.24,4.199203,801500,0.011933197804941287
2020-03-05,4.2,4.22,4.15,4.16,4.119972,941800,-0.018868104256926865
2020-03-06,4.13,4.24,4.12,4.22,4.1793949999999995,2736300,0.014423156273877469
2020-03-09,4.1,4.14,4.02,4.04,4.001126999999999,1894900,-0.04265402049818223
2020-03-10,4.1,4.12,4.02,4.08,4.040742,1522300,0.009900960404406245
2020-03-11,4.07,4.09,3.93,3.96,3.921897,1731100,-0.02941167736024719
2020-03-12,3.6,3.81,3.36,3.58,3.545553,2644400,-0.09595968481579198
2020-03-13,3.76,3.83,3.64,3.72,3.6842059999999996,1691400,0.03910617046198417
2020-03-16,3.33,3.47,3.03,3.35,3.317766,1654600,-0.09946240791095817
2020-03-17,3.34,3.49,3.32,3.47,3.4366120000000002,1576600,0.0358210916622812
2020-03-18,3.25,3.27,2.91,2.91,2.882,3379500,-0.16138336245115836
2020-03-19,2.61,3.2,2.6,3.08,3.08,2643000,0.06870229007633588
2020-03-20,3.17,3.4,3.16,3.26,3.26,2081700,0.058441558441558294
2020-03-23,3.03,3.08,2.92,3.0,3.0,4005500,-0.07975460122699385
2020-03-24,3.12,3.34,3.12,3.25,3.25,1234200,0.08333333333333326
2020-03-25,3.29,3.46,3.25,3.33,3.33,1566700,0.024615384615384706
2020-03-26,3.33,3.46,3.33,3.43,3.43,1375100,0.03003003003003002
2020-03-27,3.34,3.5,3.28,3.38,3.38,1152200,-0.014577259475218707
2020-03-30,3.34,3.43,3.33,3.39,3.39,785400,0.002958579881656931
2020-03-31,3.39,3.45,3.38,3.38,3.38,1734700,-0.002949852507374673
2020-04-01,3.3,3.36,3.28,3.33,3.33,1286700,-0.014792899408283988
2020-04-02,3.3,3.42,3.3,3.33,3.33,734600,0.0
2020-04-03,3.33,3.36,3.28,3.3,3.3,938200,-0.009009009009009028
