Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,20.85,20.9,20.0,20.530001000000002,20.530001000000002,552400,
2020-01-03,19.809998999999998,20.25,19.469998999999998,19.66,19.66,854400,-0.04237705589980256
2020-01-06,19.549999,20.129998999999998,19.200001,20.0,20.0,684800,0.01729399796541209
2020-01-07,20.01,20.49,19.67,20.450001,20.450001,899600,0.022500050000000105
2020-01-08,20.389999,21.01,20.299999,20.719998999999998,20.719998999999998,921900,0.013202835540203628
2020-01-09,20.879998999999998,21.34,20.469998999999998,21.129998999999998,21.129998999999998,1064300,0.01978764574264691
2020-01-10,20.75,20.860001,18.91,18.92,18.92,1554600,-0.10459058706060498
2020-01-13,19.08,19.23,18.27,18.450001,18.450001,837700,-0.024841384778012787
2020-01-14,18.35,18.83,18.24,18.469998999999998,18.469998999999998,935700,0.0010839023802762249
2020-01-15,18.48,18.67,18.049999,18.24,18.24,617900,-0.012452572412158691
2020-01-16,18.389999,18.780001000000002,17.700001,17.83,17.83,732000,-0.02247807017543857
2020-01-17,18.01,18.280001000000002,17.35,17.51,17.51,1035500,-0.017947279865395238
2020-01-21,17.530001000000002,18.450001,17.4,18.290001,18.290001,664600,0.044546030839520245
2020-01-22,18.35,18.700001,18.16,18.41,18.41,454200,0.006560907241065728
2020-01-23,18.32,18.34,17.91,18.0,18.0,573300,-0.022270505160238985
2020-01-24,18.1,18.209999,17.51,17.59,17.59,613400,-0.022777777777777786
2020-01-27,17.25,17.82,17.15,17.6,17.6,431400,0.0005685048322912056
2020-01-28,17.83,18.1,17.57,17.709999,17.709999,407400,0.006249943181818152
2020-01-29,17.76,17.969998999999998,17.6,17.690001000000002,17.690001000000002,721100,-0.0011291926103438321
2020-01-30,17.610001,17.77,17.059998999999998,17.469998999999998,17.469998999999998,489500,-0.012436517103645461
2020-01-31,17.42,17.75,17.209999,17.52,17.52,586600,0.002862106632061101
2020-02-03,17.620001000000002,17.950001,17.299999,17.860001,17.860001,566100,0.019406449771689482
2020-02-04,18.110001,18.459999,17.93,18.389999,18.389999,452000,0.02967513831606161
2020-02-05,18.58,18.870001000000002,18.309998999999998,18.34,18.34,428200,-0.0027188147209795677
2020-02-06,18.309998999999998,18.440001000000002,17.67,17.73,17.73,430200,-0.033260632497273734
2020-02-07,17.75,17.83,16.940001000000002,17.059998999999998,17.059998999999998,572000,-0.037789114495206055
2020-02-10,17.049999,17.360001,16.809998999999998,17.290001,17.290001,415400,0.013481946862951233
2020-02-11,17.43,17.549999,16.889999,17.01,17.01,486600,-0.01619438888407232
2020-02-12,17.09,17.629998999999998,17.0,17.17,17.17,434700,0.009406231628453776
2020-02-13,17.15,17.34,16.66,16.74,16.74,308900,-0.025043680838672255
2020-02-14,16.75,17.059998999999998,16.469998999999998,16.530001000000002,16.530001000000002,420800,-0.012544743130226799
2020-02-18,16.51,16.639999,15.92,16.290001,16.290001,632000,-0.014519055382997359
2020-02-19,16.35,16.549999,16.18,16.26,16.26,382900,-0.001841681900449199
2020-02-20,16.299999,16.610001,15.92,16.530001000000002,16.530001000000002,520800,0.016605227552275448
2020-02-21,16.52,17.33,16.52,17.309998999999998,17.309998999999998,762500,0.04718680900261263
2020-02-24,16.75,16.889999,15.93,16.23,16.23,822900,-0.06239162694347922
2020-02-25,16.33,17.299999,16.1,16.25,16.25,767200,0.0012322858903264233
2020-02-26,16.25,17.23,16.02,16.32,16.32,614900,0.004307692307692346
2020-02-27,16.08,16.41,15.42,15.52,15.52,771900,-0.0490196078431373
2020-02-28,15.0,16.01,14.84,15.79,15.79,879700,0.017396907216494784
2020-03-02,15.9,15.97,14.95,15.78,15.78,1050300,-0.0006333122229258414
2020-03-03,15.81,16.190001000000002,14.95,15.26,15.26,589200,-0.03295310519645123
2020-03-04,15.54,15.85,15.35,15.62,15.62,777200,0.023591087811271283
2020-03-05,15.32,15.58,14.75,14.86,14.86,615200,-0.04865556978233032
2020-03-06,14.32,15.35,14.16,14.48,14.48,634700,-0.025572005383580065
2020-03-09,13.48,14.0,12.7,13.16,13.16,1427100,-0.09116022099447518
2020-03-10,13.63,14.1,12.96,13.81,13.81,767100,0.04939209726443772
2020-03-11,13.38,13.46,12.1,12.31,12.31,678500,-0.10861694424330193
2020-03-12,11.37,11.65,10.11,10.15,10.15,907100,-0.1754670999187652
2020-03-13,10.37,10.93,9.14,9.74,9.74,1379000,-0.040394088669950756
2020-03-16,8.89,8.89,6.6,6.6,6.6,1158200,-0.322381930184805
2020-03-17,7.0,7.46,5.65,7.2,7.2,2041800,0.09090909090909105
2020-03-18,6.72,7.0,5.01,5.63,5.63,1264300,-0.21805555555555556
2020-03-19,5.77,6.5,5.5,6.43,6.43,1353500,0.1420959147424512
2020-03-20,6.36,6.45,5.79,6.0,6.0,1538700,-0.06687402799377917
2020-03-23,6.07,6.18,5.35,5.53,5.53,724000,-0.07833333333333325
2020-03-24,6.07,7.37,6.07,7.24,7.24,994300,0.30922242314647375
2020-03-25,7.22,8.52,6.84,8.15,8.15,1459400,0.12569060773480656
2020-03-26,8.2,9.23,8.13,8.75,8.75,1092000,0.07361963190184051
2020-03-27,8.38,8.66,8.03,8.21,8.21,821700,-0.06171428571428561
2020-03-30,8.27,8.61,7.91,8.22,8.22,502100,0.0012180267965895553
2020-03-31,8.18,8.59,7.72,7.87,7.87,694400,-0.04257907542579087
2020-04-01,7.76,7.88,6.94,7.01,7.01,803000,-0.10927573062261753
2020-04-02,6.92,7.14,6.58,6.85,6.85,868500,-0.022824536376604865
2020-04-03,6.81,6.88,6.53,6.65,6.65,624000,-0.029197080291970656
