Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,11.68,11.74,11.03,11.3,11.3,235200,
2020-01-03,11.17,11.68,11.128,11.615,11.615,287500,0.027876106194690164
2020-01-06,11.53,11.7,11.19,11.38,11.38,313000,-0.02023245802841145
2020-01-07,11.41,11.52,11.18,11.2,11.2,142000,-0.015817223198594133
2020-01-08,11.21,11.62,11.12,11.52,11.52,760400,0.028571428571428692
2020-01-09,11.52,12.14,11.45,12.07,12.07,358900,0.04774305555555558
2020-01-10,12.07,12.25,11.75,12.16,12.16,675600,0.0074565037282519064
2020-01-13,12.15,12.24,11.855,12.0,12.0,319200,-0.013157894736842146
2020-01-14,12.95,13.327,12.58,13.11,13.11,673800,0.09250000000000003
2020-01-15,13.17,14.103,13.133,13.88,13.88,691400,0.05873379099923737
2020-01-16,14.0,14.23,13.88,14.05,14.05,380200,0.012247838616714635
2020-01-17,14.1,14.42,13.78,14.22,14.22,430700,0.012099644128113818
2020-01-21,14.37,14.8,14.0,14.63,14.63,447100,0.028832630098452938
2020-01-22,14.77,14.81,14.32,14.41,14.41,309900,-0.015037593984962405
2020-01-23,14.36,14.71,13.9,14.7,14.7,449000,0.02012491325468413
2020-01-24,14.7,14.798,14.2,14.34,14.34,342700,-0.024489795918367308
2020-01-27,14.09,14.5,13.94,14.235,14.235,324600,-0.007322175732217606
2020-01-28,14.25,14.3,13.821,13.83,13.83,172500,-0.028451001053740765
2020-01-29,13.93,13.97,13.44,13.87,13.87,314300,0.002892263195950706
2020-01-30,13.77,13.92,13.62,13.88,13.88,213300,0.0007209805335257613
2020-01-31,13.79,13.87,12.57,12.95,12.95,414300,-0.06700288184438052
2020-02-03,12.93,13.27,12.7,13.09,13.09,223100,0.010810810810810922
2020-02-04,13.2,13.505,13.1,13.25,13.25,319800,0.012223071046600475
2020-02-05,13.46,13.95,13.31,13.765,13.765,199300,0.0388679245283019
2020-02-06,13.76,13.86,13.45,13.565,13.565,185000,-0.014529604068289181
2020-02-07,13.56,13.56,12.77,13.14,13.14,281000,-0.03133063029856242
2020-02-10,13.16,13.287,13.011,13.21,13.21,467900,0.0053272450532724225
2020-02-11,13.3,13.74,12.7,13.65,13.65,324400,0.03330809992429984
2020-02-12,13.73,14.19,13.5,14.13,14.13,230000,0.03516483516483526
2020-02-13,13.11,13.67,13.1,13.49,13.49,274600,-0.04529370134465682
2020-02-14,13.45,13.75,13.18,13.54,13.54,511200,0.003706449221645647
2020-02-18,13.49,14.05,13.305,14.01,14.01,227500,0.03471196454948311
2020-02-19,14.09,15.13,13.9,14.87,14.87,277400,0.06138472519628824
2020-02-20,14.88,15.34,14.84,15.33,15.33,305300,0.03093476798924022
2020-02-21,15.29,15.42,15.01,15.37,15.37,231000,0.002609262883235486
2020-02-24,14.74,15.19,14.38,15.15,15.15,295700,-0.014313597918022003
2020-02-25,15.37,15.42,14.43,14.62,14.62,512900,-0.03498349834983505
2020-02-26,14.62,14.99,13.94,14.26,14.26,449400,-0.024623803009575895
2020-02-27,12.86,13.55,11.25,13.02,13.02,666100,-0.08695652173913049
2020-02-28,12.82,13.61,12.767,13.54,13.54,605500,0.03993855606758823
2020-03-02,13.55,14.2,13.26,13.86,13.86,742200,0.02363367799113747
2020-03-03,13.89,14.81,13.34,13.585,13.585,780900,-0.01984126984126977
2020-03-04,13.99,14.29,13.08,13.4,13.4,299700,-0.013617960986382127
2020-03-05,13.06,13.37,12.06,12.23,12.23,393500,-0.08731343283582094
2020-03-06,11.78,12.25,11.45,11.64,11.64,349200,-0.04824202780049058
2020-03-09,10.7,10.7,9.74,9.78,9.78,508800,-0.1597938144329898
2020-03-10,10.24,10.24,8.96,9.4,9.4,517700,-0.03885480572597122
2020-03-11,9.08,9.52,8.61,8.7,8.7,354100,-0.07446808510638314
2020-03-12,7.95,8.08,7.29,7.32,7.32,315300,-0.1586206896551723
2020-03-13,7.87,7.999,7.0,7.85,7.85,381700,0.07240437158469937
2020-03-16,7.5,7.5,6.15,6.18,6.18,394400,-0.21273885350318467
2020-03-17,6.21,6.735,5.19,5.21,5.21,660700,-0.15695792880258896
2020-03-18,5.02,5.222,3.5,3.55,3.55,740900,-0.3186180422264876
2020-03-19,3.61,3.91,3.45,3.76,3.76,1028600,0.05915492957746471
2020-03-20,3.91,4.86,3.91,4.25,4.25,894200,0.13031914893617036
2020-03-23,4.35,4.54,3.81,3.92,3.92,653900,-0.0776470588235294
2020-03-24,4.5,5.36,4.33,5.31,5.31,553900,0.35459183673469385
2020-03-25,5.69,6.18,5.07,5.79,5.79,580500,0.09039548022598876
2020-03-26,5.91,6.72,5.8,6.03,6.03,553200,0.041450777202072686
2020-03-27,5.67,5.67,4.89,5.0,5.0,609200,-0.17081260364842454
2020-03-30,5.02,5.28,4.75,4.94,4.94,410500,-0.0119999999999999
2020-03-31,4.84,6.1,4.84,5.98,5.98,1079700,0.21052631578947367
2020-04-01,5.81,6.11,5.26,5.72,5.72,486300,-0.0434782608695653
2020-04-02,5.71,5.951,5.005,5.13,5.13,513100,-0.10314685314685312
2020-04-03,5.17,5.42,4.86,5.39,5.39,504500,0.050682261208576884
