Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.45,0.53,0.45,0.53,0.53,606400,
2020-01-03,0.53,0.55,0.5,0.53,0.53,181600,0.0
2020-01-06,0.51,0.53,0.5,0.52,0.52,85200,-0.018867924528301883
2020-01-07,0.55,0.57,0.5,0.55,0.55,251600,0.05769230769230771
2020-01-08,0.57,0.57,0.52,0.54,0.54,57500,-0.018181818181818188
2020-01-09,0.53,0.57,0.51,0.53,0.53,170600,-0.01851851851851849
2020-01-10,0.56,0.65,0.54,0.6,0.6,604100,0.13207547169811318
2020-01-13,0.62,0.69,0.61,0.65,0.65,441000,0.08333333333333348
2020-01-14,0.69,0.74,0.65,0.73,0.73,624000,0.12307692307692308
2020-01-15,0.73,0.92,0.73,0.86,0.86,839000,0.17808219178082196
2020-01-16,0.87,0.98,0.81,0.88,0.88,896600,0.023255813953488413
2020-01-17,0.88,0.92,0.83,0.86,0.86,253400,-0.022727272727272707
2020-01-21,0.86,0.9,0.77,0.86,0.86,314700,0.0
2020-01-22,0.89,0.89,0.79,0.8,0.8,267600,-0.06976744186046502
2020-01-23,0.8,0.85,0.77,0.82,0.82,207500,0.02499999999999991
2020-01-24,0.83,0.84,0.78,0.79,0.79,105300,-0.03658536585365846
2020-01-27,0.79,0.9,0.77,0.84,0.84,207500,0.06329113924050622
2020-01-28,0.86,0.88,0.85,0.85,0.85,72400,0.011904761904761862
2020-01-29,0.84,0.87,0.8,0.83,0.83,49100,-0.02352941176470591
2020-01-30,0.83,1.14,0.83,0.95,0.95,1771100,0.14457831325301207
2020-01-31,0.92,0.99,0.9,0.9,0.9,197100,-0.05263157894736836
2020-02-03,0.9,0.91,0.85,0.87,0.87,95300,-0.033333333333333326
2020-02-04,0.87,0.99,0.83,0.97,0.97,162700,0.11494252873563227
2020-02-05,0.98,0.98,0.88,0.91,0.91,78100,-0.061855670103092675
2020-02-06,0.89,1.05,0.87,0.91,0.91,171900,0.0
2020-02-07,0.96,0.98,0.9,0.94,0.94,84600,0.03296703296703285
2020-02-10,0.92,0.96,0.85,0.93,0.93,95900,-0.010638297872340274
2020-02-11,0.92,0.93,0.88,0.89,0.89,38500,-0.043010752688172116
2020-02-12,0.91,0.93,0.88,0.89,0.89,35900,0.0
2020-02-13,0.89,0.92,0.86,0.89,0.89,34600,0.0
2020-02-14,0.92,0.92,0.88,0.88,0.88,22300,-0.011235955056179803
2020-02-18,0.9,0.9,0.87,0.89,0.89,39600,0.011363636363636465
2020-02-19,0.89,0.94,0.87,0.92,0.92,41400,0.03370786516853941
2020-02-20,0.92,0.93,0.89,0.92,0.92,23600,0.0
2020-02-21,0.93,1.11,0.9,1.1,1.1,419900,0.19565217391304346
2020-02-24,1.03,1.36,1.01,1.12,1.12,1266400,0.0181818181818183
2020-02-25,1.1,1.12,1.0,1.07,1.07,296600,-0.044642857142857206
2020-02-26,1.04,1.06,0.83,0.9,0.9,329100,-0.15887850467289721
2020-02-27,0.9,0.9,0.7,0.83,0.83,188300,-0.07777777777777783
2020-02-28,0.94,0.94,0.78,0.88,0.88,98700,0.06024096385542177
2020-03-02,0.86,0.86,0.74,0.81,0.81,97100,-0.07954545454545447
2020-03-03,0.82,0.86,0.8,0.8,0.8,31900,-0.012345679012345734
2020-03-04,0.8,0.88,0.8,0.88,0.88,39300,0.09999999999999987
2020-03-05,0.9,0.9,0.8,0.81,0.81,101000,-0.07954545454545447
2020-03-06,0.8,0.85,0.75,0.78,0.78,84700,-0.03703703703703709
2020-03-09,0.75,0.82,0.75,0.79,0.79,40600,0.012820512820512775
2020-03-10,0.76,0.85,0.76,0.82,0.82,64000,0.03797468354430378
2020-03-11,0.86,0.88,0.82,0.82,0.82,31800,0.0
2020-03-12,0.82,0.82,0.76,0.78,0.78,68300,-0.04878048780487798
2020-03-13,0.8,0.86,0.78,0.8,0.8,70000,0.025641025641025772
2020-03-16,0.75,0.82,0.75,0.75,0.75,43500,-0.0625
2020-03-17,0.76,0.76,0.74,0.76,0.76,45700,0.01333333333333342
2020-03-18,0.76,0.76,0.65,0.65,0.65,66300,-0.14473684210526316
2020-03-19,0.67,0.8,0.67,0.8,0.8,128900,0.23076923076923084
2020-03-20,0.8,0.9,0.78,0.82,0.82,205100,0.02499999999999991
2020-03-23,0.86,1.05,0.86,1.03,1.03,750700,0.25609756097560976
2020-03-24,1.03,1.05,0.95,1.02,1.02,392000,-0.009708737864077666
2020-03-25,1.0,1.05,0.93,1.05,1.05,227900,0.02941176470588247
2020-03-26,1.02,1.2,0.83,1.03,1.03,1995300,-0.01904761904761909
2020-03-27,0.88,1.04,0.84,1.01,1.01,392300,-0.01941747572815533
2020-03-30,0.98,1.05,0.93,1.0,1.0,638000,-0.00990099009900991
2020-03-31,1.0,1.05,0.98,1.05,1.05,184900,0.050000000000000044
2020-04-01,1.05,1.13,0.99,1.13,1.13,250100,0.07619047619047614
2020-04-02,1.15,1.3,1.11,1.24,1.24,528600,0.09734513274336298
2020-04-03,1.24,1.3,1.17,1.22,1.22,402500,-0.016129032258064502
