Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,2.88,2.89,2.78,2.85,2.85,160700,
2020-01-03,2.8,2.94,2.78,2.89,2.89,259500,0.01403508771929829
2020-01-06,2.87,2.9,2.8,2.85,2.85,153300,-0.01384083044982698
2020-01-07,2.85,2.85,2.77,2.8,2.8,222900,-0.01754385964912286
2020-01-08,2.78,2.95,2.78,2.91,2.91,205400,0.03928571428571437
2020-01-09,2.96,2.96,2.83,2.86,2.86,176600,-0.01718213058419249
2020-01-10,2.86,2.95,2.86,2.9,2.9,186500,0.013986013986013957
2020-01-13,2.94,3.07,2.92,2.94,2.94,336000,0.01379310344827589
2020-01-14,2.91,2.96,2.88,2.89,2.89,122400,-0.017006802721088343
2020-01-15,2.9,3.04,2.89,2.93,2.93,144200,0.01384083044982698
2020-01-16,2.98,2.98,2.92,2.95,2.95,120600,0.006825938566553003
2020-01-17,2.98,3.05,2.96,3.0,3.0,226400,0.016949152542372836
2020-01-21,3.0,3.0,2.86,2.9,2.9,206000,-0.033333333333333326
2020-01-22,2.88,2.94,2.83,2.88,2.88,173600,-0.006896551724137945
2020-01-23,2.9,2.93,2.82,2.88,2.88,183100,0.0
2020-01-24,2.86,2.9,2.81,2.84,2.84,144500,-0.01388888888888895
2020-01-27,2.81,2.84,2.76,2.76,2.76,124200,-0.028169014084507116
2020-01-28,2.76,2.79,2.71,2.78,2.78,185100,0.007246376811594235
2020-01-29,2.8,2.83,2.7,2.7,2.7,134900,-0.028776978417266008
2020-01-30,2.65,2.69,2.59,2.64,2.64,242000,-0.022222222222222254
2020-01-31,2.66,2.69,2.56,2.63,2.63,250200,-0.0037878787878788955
2020-02-03,2.66,2.66,2.52,2.54,2.54,187900,-0.034220532319391594
2020-02-04,2.58,2.63,2.52,2.61,2.61,183700,0.027559055118110187
2020-02-05,2.63,2.65,2.59,2.61,2.61,118500,0.0
2020-02-06,2.64,2.65,2.56,2.6,2.6,106400,-0.003831417624520994
2020-02-07,2.58,2.6,2.52,2.53,2.53,130500,-0.02692307692307705
2020-02-10,2.55,2.57,2.5,2.54,2.54,181500,0.0039525691699606735
2020-02-11,2.6,2.9,2.57,2.84,2.84,465600,0.11811023622047245
2020-02-12,2.83,2.89,2.72,2.72,2.72,196900,-0.042253521126760396
2020-02-13,2.71,2.74,2.5,2.58,2.58,216500,-0.05147058823529416
2020-02-14,2.6,2.64,2.52,2.56,2.56,132600,-0.007751937984496138
2020-02-18,2.54,2.62,2.54,2.55,2.55,88800,-0.003906250000000111
2020-02-19,2.6,2.6,2.52,2.53,2.53,127300,-0.007843137254901933
2020-02-20,2.51,2.72,2.51,2.69,2.69,230700,0.06324110671936767
2020-02-21,2.72,2.72,2.55,2.56,2.56,135700,-0.048327137546468335
2020-02-24,2.52,2.57,2.5,2.52,2.52,179700,-0.015625
2020-02-25,2.56,2.6,2.36,2.38,2.38,263100,-0.05555555555555558
2020-02-26,2.39,2.42,2.02,2.16,2.16,336500,-0.09243697478991586
2020-02-27,2.14,2.29,2.01,2.18,2.18,462800,0.0092592592592593
2020-02-28,2.09,2.14,1.95,2.12,2.12,514300,-0.02752293577981657
2020-03-02,2.12,2.2,2.08,2.2,2.2,238100,0.037735849056603765
2020-03-03,2.23,2.34,2.14,2.21,2.21,192000,0.004545454545454408
2020-03-04,2.31,2.48,2.2,2.46,2.46,231100,0.1131221719457014
2020-03-05,2.42,2.48,2.21,2.24,2.24,143900,-0.08943089430894302
2020-03-06,2.17,2.42,2.17,2.33,2.33,233400,0.0401785714285714
2020-03-09,2.17,2.27,2.03,2.06,2.06,346300,-0.11587982832618027
2020-03-10,2.21,2.24,2.01,2.19,2.19,214000,0.06310679611650483
2020-03-11,2.17,2.2,1.96,1.99,1.99,200300,-0.091324200913242
2020-03-12,1.95,1.95,1.6,1.75,1.75,445500,-0.12060301507537685
2020-03-13,1.85,2.01,1.78,2.01,2.01,245600,0.14857142857142835
2020-03-16,1.92,1.92,1.65,1.66,1.66,269800,-0.17412935323383083
2020-03-17,1.7,1.74,1.5,1.74,1.74,422900,0.048192771084337505
2020-03-18,1.64,1.7,1.5,1.51,1.51,331300,-0.13218390804597702
2020-03-19,1.51,1.66,1.5,1.65,1.65,315700,0.0927152317880795
2020-03-20,1.67,1.89,1.62,1.76,1.76,340000,0.06666666666666665
2020-03-23,1.8,1.95,1.67,1.72,1.72,203400,-0.022727272727272707
2020-03-24,1.8,1.95,1.72,1.9,1.9,245900,0.10465116279069764
2020-03-25,1.9,2.1,1.86,1.91,1.91,244300,0.0052631578947368585
2020-03-26,1.93,2.12,1.93,2.11,2.11,240000,0.10471204188481664
2020-03-27,2.02,2.06,1.91,1.92,1.92,164600,-0.09004739336492884
2020-03-30,1.92,1.99,1.83,1.98,1.98,182500,0.03125
2020-03-31,2.02,2.08,1.9,1.96,1.96,132000,-0.010101010101010055
2020-04-01,1.87,1.92,1.75,1.79,1.79,206800,-0.08673469387755095
2020-04-02,1.76,1.99,1.65,1.66,1.66,266400,-0.07262569832402244
2020-04-03,1.65,1.77,1.65,1.72,1.72,139600,0.03614457831325302
