Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,6.42,6.48,6.17,6.18,6.18,1731400,
2020-01-03,6.03,6.18,5.96,6.0,6.0,1471600,-0.029126213592232997
2020-01-06,5.91,6.32,5.85,6.25,6.25,1898300,0.04166666666666674
2020-01-07,6.28,6.36,5.84,5.85,5.85,2702500,-0.06400000000000006
2020-01-08,5.82,5.9,5.61,5.63,5.63,2143000,-0.037606837606837584
2020-01-09,5.67,5.85,5.57,5.61,5.61,1720800,-0.003552397868561208
2020-01-10,5.59,5.64,5.43,5.54,5.54,1313000,-0.012477718360071388
2020-01-13,5.51,5.67,5.49,5.55,5.55,1206900,0.0018050541516245744
2020-01-14,5.55,5.6,5.49,5.54,5.54,2001800,-0.0018018018018017834
2020-01-15,5.55,5.62,5.32,5.33,5.33,2521600,-0.03790613718411551
2020-01-16,5.49,6.24,5.48,5.6,5.6,5742900,0.05065666041275785
2020-01-17,5.66,5.67,5.43,5.52,5.52,2347500,-0.014285714285714346
2020-01-21,5.5,5.545,5.23,5.3,5.3,2129000,-0.03985507246376807
2020-01-22,5.31,5.34,5.19,5.25,5.25,1380400,-0.009433962264150941
2020-01-23,5.24,5.37,5.185,5.27,5.27,1516100,0.003809523809523707
2020-01-24,5.23,5.47,5.15,5.45,5.45,1846100,0.034155597722960174
2020-01-27,5.35,5.43,5.25,5.4,5.4,923200,-0.00917431192660545
2020-01-28,5.42,5.63,5.42,5.56,5.56,1281600,0.02962962962962945
2020-01-29,5.57,5.63,5.37,5.46,5.46,870600,-0.017985611510791255
2020-01-30,5.36,5.4,5.19,5.39,5.39,1708100,-0.012820512820512886
2020-01-31,5.34,5.38,5.19,5.26,5.26,1446600,-0.024118738404452666
2020-02-03,5.28,5.32,5.16,5.19,5.19,1818400,-0.013307984790874361
2020-02-04,5.23,5.24,5.06,5.08,5.08,2303300,-0.021194605009633993
2020-02-05,5.1,5.19,4.91,5.03,5.03,1981300,-0.009842519685039353
2020-02-06,5.05,5.32,5.03,5.28,5.28,1587500,0.0497017892644136
2020-02-07,5.26,5.33,5.02,5.03,5.03,1222300,-0.04734848484848486
2020-02-10,4.99,5.105,4.98,5.09,5.09,968900,0.011928429423459175
2020-02-11,5.14,5.59,5.11,5.44,5.44,1622000,0.06876227897838905
2020-02-12,5.48,5.59,5.18,5.22,5.22,1249400,-0.040441176470588314
2020-02-13,5.2,5.3,5.08,5.11,5.11,822500,-0.021072796934865745
2020-02-14,5.11,5.17,5.01,5.01,5.01,1277200,-0.019569471624266255
2020-02-18,5.01,5.06,4.89,5.01,5.01,1610000,0.0
2020-02-19,5.01,5.14,5.01,5.05,5.05,931200,0.007984031936127733
2020-02-20,5.1,5.23,5.05,5.12,5.12,889600,0.013861386138613874
2020-02-21,5.1,5.12,4.815,4.97,4.97,2226800,-0.02929687500000011
2020-02-24,4.79,4.9,4.405,4.44,4.44,4932000,-0.10663983903420515
2020-02-25,4.54,4.638,4.22,4.29,4.29,3304200,-0.03378378378378388
2020-02-26,4.28,4.35,3.81,3.85,3.85,4215600,-0.10256410256410253
2020-02-27,3.8,3.89,2.96,3.83,3.83,5066300,-0.0051948051948051965
2020-02-28,3.61,3.79,3.51,3.61,3.61,3056200,-0.05744125326370764
2020-03-02,3.66,3.68,3.23,3.55,3.55,4410300,-0.016620498614958512
2020-03-03,3.52,3.54,3.18,3.23,3.23,4227400,-0.09014084507042253
2020-03-04,3.31,3.37,3.22,3.3,3.3,3220400,0.021671826625387025
2020-03-05,3.25,3.26,2.75,2.81,2.81,6213100,-0.14848484848484844
2020-03-06,2.7,3.04,2.57,2.81,2.81,5185700,0.0
2020-03-09,2.5,2.91,2.35,2.78,2.78,9358800,-0.01067615658362997
2020-03-10,2.91,2.91,2.42,2.83,2.83,4760400,0.017985611510791477
2020-03-11,2.67,2.71,2.48,2.49,2.49,2897200,-0.12014134275618371
2020-03-12,2.23,2.24,1.775,1.93,1.93,5069100,-0.22489959839357443
2020-03-13,2.49,2.55,1.97,2.23,2.23,3629000,0.15544041450777213
2020-03-16,1.54,2.19,1.54,1.8,1.8,2105900,-0.19282511210762332
2020-03-17,1.96,2.237,1.9,2.14,2.14,2823300,0.18888888888888888
2020-03-18,2.0,2.42,1.915,2.09,2.09,2259500,-0.02336448598130858
2020-03-19,2.19,2.3,2.11,2.22,2.22,2362200,0.06220095693779926
2020-03-20,2.25,2.94,2.24,2.7,2.7,3999300,0.21621621621621623
2020-03-23,2.89,3.31,2.725,3.22,3.22,3594800,0.19259259259259265
2020-03-24,3.53,3.58,2.85,3.15,3.15,3730300,-0.021739130434782705
2020-03-25,3.13,3.15,2.25,2.29,2.29,2697300,-0.27301587301587293
2020-03-26,2.51,2.61,2.29,2.3,2.3,2622100,0.004366812227074135
2020-03-27,2.28,2.38,2.1,2.12,2.12,1466000,-0.07826086956521727
2020-03-30,2.13,2.36,2.06,2.32,2.32,759100,0.09433962264150941
2020-03-31,2.3,2.31,2.08,2.12,2.12,661100,-0.08620689655172398
2020-04-01,2.13,2.15,2.0,2.01,2.01,2696000,-0.051886792452830344
2020-04-02,2.01,2.08,1.86,1.89,1.89,891500,-0.05970149253731338
2020-04-03,1.86,1.99,1.5,1.98,1.98,2555000,0.04761904761904767
