Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,10.56,10.57,10.53,10.53,10.53,252100,
2020-01-03,10.53,10.53,10.53,10.53,10.53,0,0.0
2020-01-06,10.55,10.59,10.55,10.56,10.56,304900,0.002849002849002913
2020-01-07,10.56,10.56,10.56,10.56,10.56,100,0.0
2020-01-08,10.56,10.56,10.56,10.56,10.56,0,0.0
2020-01-09,10.56,10.56,10.56,10.56,10.56,0,0.0
2020-01-10,10.56,10.56,10.56,10.56,10.56,0,0.0
2020-01-13,10.56,10.56,10.56,10.56,10.56,0,0.0
2020-01-14,10.574,10.574,10.56,10.56,10.56,1200,0.0
2020-01-15,10.806,10.806,10.56,10.59,10.59,1300,0.0028409090909089496
2020-01-16,10.59,10.59,10.59,10.59,10.59,0,0.0
2020-01-17,10.59,10.59,10.59,10.59,10.59,0,0.0
2020-01-21,10.58,10.58,10.58,10.58,10.58,100,-0.0009442870632672129
2020-01-22,10.58,10.58,10.58,10.58,10.58,0,0.0
2020-01-23,10.58,10.58,10.58,10.58,10.58,0,0.0
2020-01-24,10.562,10.65,10.562,10.65,10.65,2900,0.006616257088846833
2020-01-27,10.64,10.65,10.64,10.65,10.65,7000,0.0
2020-01-28,10.64,10.64,10.64,10.64,10.64,114700,-0.0009389671361501595
2020-01-29,10.64,10.64,10.64,10.64,10.64,0,0.0
2020-01-30,10.64,10.64,10.64,10.64,10.64,0,0.0
2020-01-31,10.65,10.65,10.6,10.6,10.6,78100,-0.00375939849624074
2020-02-03,10.63,10.63,10.63,10.63,10.63,200,0.002830188679245449
2020-02-04,10.62,10.64,10.62,10.63,10.63,966900,0.0
2020-02-05,10.65,10.68,10.65,10.65,10.65,5500,0.0018814675446847673
2020-02-06,10.53,10.53,10.53,10.53,10.53,300,-0.011267605633802913
2020-02-07,10.53,10.53,10.53,10.53,10.53,0,0.0
2020-02-10,10.53,10.53,10.53,10.53,10.53,0,0.0
2020-02-11,10.69,10.69,10.69,10.69,10.69,300,0.015194681861348647
2020-02-12,10.69,10.69,10.69,10.69,10.69,0,0.0
2020-02-13,10.69,10.69,10.69,10.69,10.69,0,0.0
2020-02-14,10.615,10.646,10.615,10.644,10.644,1500,-0.004303086997193617
2020-02-18,10.62,10.661,10.62,10.661,10.661,1800,0.0015971439308530844
2020-02-19,10.633,10.663,10.633,10.663,10.663,1300,0.00018759966232062553
2020-02-20,10.155,10.56,10.155,10.56,10.56,200,-0.009659570477351553
2020-02-21,10.56,10.56,10.56,10.56,10.56,0,0.0
2020-02-24,10.629,10.67,10.6,10.6,10.6,4300,0.0037878787878786735
2020-02-25,10.632,10.632,10.605,10.63,10.63,5600,0.002830188679245449
2020-02-26,10.64,10.64,10.58,10.58,10.58,10200,-0.004703668861712251
2020-02-27,10.58,10.58,10.58,10.58,10.58,2000,0.0
2020-02-28,10.58,10.61,10.56,10.6,10.6,197700,0.001890359168241984
2020-03-02,10.6,10.62,10.6,10.62,10.62,150300,0.0018867924528300772
2020-03-03,10.665,10.665,10.65,10.65,10.65,1500,0.0028248587570622874
2020-03-04,10.65,10.65,10.65,10.65,10.65,0,0.0
2020-03-05,10.64,10.64,10.64,10.64,10.64,200,-0.0009389671361501595
2020-03-06,10.687,10.7,10.6,10.6,10.6,5400,-0.00375939849624074
2020-03-09,10.553,10.625,10.4,10.603,10.603,36100,0.0002830188679245893
2020-03-10,10.603,10.603,10.603,10.603,10.603,0,0.0
2020-03-11,10.65,10.683,10.63,10.63,10.63,105500,0.0025464491181741433
2020-03-12,10.6,10.6,10.4,10.452,10.452,2900,-0.01674506114769525
2020-03-13,10.452,10.452,10.452,10.452,10.452,0,0.0
2020-03-16,10.5,10.5,10.5,10.5,10.5,200,0.004592422502870175
2020-03-17,10.5,10.5,10.5,10.5,10.5,0,0.0
2020-03-18,10.46,10.543,10.46,10.501,10.501,5600,9.523809523814819e-05
2020-03-19,10.348,10.5,10.348,10.375,10.375,6700,-0.011998857251690254
2020-03-20,10.375,10.375,10.375,10.375,10.375,0,0.0
2020-03-23,10.225,10.225,10.225,10.225,10.225,100,-0.014457831325301207
2020-03-24,10.65,10.65,10.599,10.599,10.599,200,0.036577017114914456
2020-03-25,10.599,10.599,10.599,10.599,10.599,0,0.0
2020-03-26,10.599,10.599,10.599,10.599,10.599,0,0.0
2020-03-27,10.15,10.15,10.15,10.15,10.15,100,-0.04236248702707801
2020-03-30,10.15,10.15,10.15,10.15,10.15,0,0.0
2020-03-31,10.15,10.15,10.15,10.15,10.15,0,0.0
2020-04-01,10.15,10.15,10.15,10.15,10.15,0,0.0
2020-04-02,10.61,10.72,10.61,10.72,10.72,1600,0.05615763546798025
2020-04-03,10.705,10.705,10.705,10.705,10.705,100,-0.0013992537313433084
