Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,9.95,10.04,9.82,9.98,9.98,90900,
2020-01-03,9.81,10.07,9.7,10.0,10.0,131000,0.002004008016031955
2020-01-06,9.92,10.07,9.67,9.86,9.86,101200,-0.014000000000000012
2020-01-07,9.77,9.91,9.69,9.91,9.91,79800,0.005070993914807476
2020-01-08,9.85,9.99,9.8,9.91,9.91,69400,0.0
2020-01-09,10.01,10.19,9.79,10.0,10.0,123900,0.00908173562058523
2020-01-10,10.01,10.09,9.81,10.0,10.0,77400,0.0
2020-01-13,10.07,10.64,9.85,10.53,10.53,187300,0.052999999999999936
2020-01-14,10.98,11.0,10.31,10.67,10.67,101700,0.013295346628680038
2020-01-15,10.65,10.81,10.52,10.68,10.68,95500,0.0009372071227740086
2020-01-16,10.49,10.79,10.49,10.6,10.6,96400,-0.0074906367041198685
2020-01-17,10.63,11.0,10.52,11.0,11.0,157200,0.037735849056603765
2020-01-21,10.98,11.15,10.2,10.41,10.41,237900,-0.05363636363636359
2020-01-22,10.67,10.9,9.86,10.62,10.62,211600,0.020172910662824117
2020-01-23,10.32,10.6,10.0,10.54,10.54,86400,-0.007532956685499026
2020-01-24,10.64,10.75,10.49,10.64,10.64,46400,0.009487666034155628
2020-01-27,10.6,10.89,10.27,10.84,10.84,81500,0.018796992481203034
2020-01-28,10.9,11.97,10.87,11.74,11.74,248200,0.08302583025830268
2020-01-29,12.0,12.33,11.62,11.99,11.99,133500,0.021294718909710353
2020-01-30,12.3,12.35,11.7,11.92,11.92,221300,-0.005838198498749003
2020-01-31,11.89,11.9,11.21,11.54,11.54,167000,-0.03187919463087252
2020-02-03,11.51,11.52,11.19,11.22,11.22,243900,-0.02772963604852674
2020-02-04,10.95,10.96,10.37,10.42,10.42,1062700,-0.07130124777183611
2020-02-05,10.42,10.6,10.22,10.44,10.44,197300,0.0019193857965451588
2020-02-06,10.38,10.55,10.25,10.38,10.38,183500,-0.005747126436781436
2020-02-07,10.34,10.35,9.9,9.98,9.98,265300,-0.038535645472061675
2020-02-10,9.98,10.14,9.46,9.46,9.46,308000,-0.05210420841683361
2020-02-11,9.46,10.09,9.46,9.87,9.87,159900,0.04334038054968259
2020-02-12,9.86,9.99,9.6,9.88,9.88,121600,0.0010131712259373593
2020-02-13,9.73,10.06,9.66,9.9,9.9,106100,0.002024291497975561
2020-02-14,9.96,10.08,9.62,9.67,9.67,78600,-0.02323232323232327
2020-02-18,9.66,9.8,9.56,9.65,9.65,108400,-0.0020682523267838704
2020-02-19,9.67,9.75,9.57,9.68,9.68,108400,0.0031088082901553626
2020-02-20,9.68,9.72,9.4,9.64,9.64,166300,-0.004132231404958553
2020-02-21,9.63,9.7,9.45,9.64,9.64,146200,0.0
2020-02-24,9.14,9.75,9.01,9.32,9.32,209900,-0.03319502074688796
2020-02-25,9.4,9.56,8.87,9.05,9.05,142600,-0.02896995708154504
2020-02-26,9.0,9.22,8.76,8.89,8.89,103600,-0.0176795580110497
2020-02-27,8.8,9.0,8.34,8.6,8.6,240200,-0.032620922384702045
2020-02-28,8.35,8.81,8.35,8.77,8.77,118500,0.019767441860465196
2020-03-02,8.97,8.97,8.5,8.6,8.6,86600,-0.019384264538198415
2020-03-03,8.55,8.8,8.39,8.45,8.45,85100,-0.01744186046511631
2020-03-04,8.45,8.98,8.45,8.89,8.89,90700,0.05207100591715985
2020-03-05,8.8,8.96,8.6,8.74,8.74,54900,-0.01687289088863897
2020-03-06,8.37,8.71,8.19,8.41,8.41,86500,-0.03775743707093826
2020-03-09,7.76,8.09,7.6,7.6,7.6,100500,-0.09631391200951256
2020-03-10,7.77,8.28,7.51,7.99,7.99,123100,0.051315789473684204
2020-03-11,7.78,7.96,7.44,7.53,7.53,114300,-0.05757196495619521
2020-03-12,6.68,7.45,6.68,7.22,7.22,134600,-0.04116865869853925
2020-03-13,7.75,7.87,7.17,7.27,7.27,119300,0.006925207756232732
2020-03-16,6.79,6.83,5.71,5.83,5.83,253400,-0.1980742778541953
2020-03-17,6.0,6.34,5.84,6.06,6.06,117300,0.039451114922812947
2020-03-18,5.29,5.86,5.25,5.34,5.34,172600,-0.1188118811881188
2020-03-19,5.27,6.13,5.21,6.03,6.03,168000,0.1292134831460674
2020-03-20,6.04,6.45,6.04,6.21,6.21,127900,0.02985074626865658
2020-03-23,6.09,6.36,5.56,6.26,6.26,98800,0.008051529790660261
2020-03-24,6.94,6.94,6.36,6.83,6.83,71200,0.09105431309904155
2020-03-25,6.97,7.43,6.47,6.76,6.76,103300,-0.01024890190336758
2020-03-26,6.69,7.52,6.66,7.52,7.52,64400,0.11242603550295849
2020-03-27,7.47,7.47,7.03,7.23,7.23,38500,-0.03856382978723394
2020-03-30,7.1,7.34,6.98,7.15,7.15,45500,-0.011065006915629283
2020-03-31,6.68,7.26,6.56,7.12,7.12,76900,-0.004195804195804231
2020-04-01,6.72,7.33,6.39,6.39,6.39,65600,-0.1025280898876405
2020-04-02,6.46,6.98,6.46,6.77,6.77,62800,0.05946791862284817
2020-04-03,6.86,6.92,6.4,6.68,6.68,41300,-0.013293943870014702
