Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.94,0.96,0.94,0.95,0.95,185200,
2020-01-03,0.95,0.96,0.9,0.92,0.92,181600,-0.03157894736842093
2020-01-06,0.92,0.95,0.9,0.95,0.95,220800,0.032608695652173836
2020-01-07,0.95,0.95,0.9,0.93,0.93,66300,-0.021052631578947323
2020-01-08,0.92,0.95,0.87,0.89,0.89,229100,-0.043010752688172116
2020-01-09,0.93,0.93,0.82,0.85,0.85,543500,-0.0449438202247191
2020-01-10,0.85,0.9,0.85,0.87,0.87,215900,0.0235294117647058
2020-01-13,0.9,0.9,0.83,0.84,0.84,648900,-0.034482758620689724
2020-01-14,0.93,1.2,0.9,1.1,1.1,3291400,0.30952380952380976
2020-01-15,1.15,1.2,1.07,1.08,1.08,634500,-0.018181818181818188
2020-01-16,1.15,1.15,0.98,1.05,1.05,706300,-0.02777777777777779
2020-01-17,1.06,1.06,1.0,1.03,1.03,334800,-0.01904761904761909
2020-01-21,1.08,1.08,1.02,1.04,1.04,501900,0.009708737864077666
2020-01-22,1.04,1.05,0.98,0.99,0.99,310100,-0.04807692307692313
2020-01-23,0.98,0.99,0.94,0.97,0.97,158500,-0.02020202020202022
2020-01-24,0.95,0.99,0.88,0.9,0.9,352000,-0.07216494845360821
2020-01-27,0.87,0.96,0.78,0.89,0.89,271200,-0.011111111111111072
2020-01-28,0.89,0.94,0.89,0.9,0.9,74700,0.011235955056179803
2020-01-29,0.94,0.94,0.87,0.89,0.89,102200,-0.011111111111111072
2020-01-30,0.88,0.93,0.85,0.92,0.92,105100,0.03370786516853941
2020-01-31,0.91,0.94,0.85,0.85,0.85,105700,-0.07608695652173925
2020-02-03,0.86,0.89,0.84,0.87,0.87,147700,0.0235294117647058
2020-02-04,0.88,0.91,0.86,0.86,0.86,114700,-0.011494252873563204
2020-02-05,0.89,0.9,0.86,0.88,0.88,103200,0.023255813953488413
2020-02-06,0.9,0.94,0.88,0.89,0.89,157400,0.011363636363636465
2020-02-07,0.88,0.91,0.88,0.9,0.9,180500,0.011235955056179803
2020-02-10,0.98,0.98,0.87,0.89,0.89,237600,-0.011111111111111072
2020-02-11,0.9,1.02,0.9,1.02,1.02,307500,0.146067415730337
2020-02-12,1.02,1.13,0.98,1.06,1.06,1075000,0.03921568627450989
2020-02-13,1.06,1.06,0.99,1.01,1.01,233600,-0.047169811320754707
2020-02-14,1.01,1.02,0.99,1.01,1.01,131100,0.0
2020-02-18,1.02,1.12,0.98,1.0,1.0,1633500,-0.00990099009900991
2020-02-19,1.03,1.07,0.99,1.04,1.04,347400,0.040000000000000036
2020-02-20,1.08,1.08,1.0,1.01,1.01,274800,-0.028846153846153855
2020-02-21,1.0,1.05,0.97,1.03,1.03,76600,0.01980198019801982
2020-02-24,1.0,1.01,0.96,1.01,1.01,543400,-0.01941747572815533
2020-02-25,1.01,1.02,0.99,1.01,1.01,267500,0.0
2020-02-26,1.0,1.01,0.95,0.97,0.97,760000,-0.03960396039603964
2020-02-27,0.95,0.97,0.81,0.9,0.9,341200,-0.07216494845360821
2020-02-28,0.82,0.88,0.78,0.8,0.8,636400,-0.11111111111111105
2020-03-02,0.8,0.85,0.79,0.84,0.84,254600,0.04999999999999982
2020-03-03,0.77,0.9,0.73,0.74,0.74,824200,-0.11904761904761907
2020-03-04,0.87,0.87,0.73,0.75,0.75,524800,0.013513513513513598
2020-03-05,0.75,0.77,0.67,0.77,0.77,310500,0.026666666666666616
2020-03-06,0.75,0.77,0.55,0.55,0.55,1046100,-0.2857142857142857
2020-03-09,0.49,0.55,0.42,0.51,0.51,1182300,-0.07272727272727275
2020-03-10,0.52,0.53,0.49,0.51,0.51,857200,0.0
2020-03-11,0.52,0.53,0.46,0.46,0.46,306000,-0.0980392156862745
2020-03-12,0.46,0.46,0.37,0.43,0.43,744000,-0.0652173913043479
2020-03-13,0.45,0.5,0.4,0.46,0.46,572900,0.06976744186046524
2020-03-16,0.4,0.46,0.35,0.37,0.37,314700,-0.19565217391304357
2020-03-17,0.4,0.45,0.38,0.44,0.44,467600,0.18918918918918926
2020-03-18,0.42,0.59,0.38,0.39,0.39,302400,-0.11363636363636365
2020-03-19,0.53,0.53,0.4,0.42,0.42,193900,0.07692307692307687
2020-03-20,0.44,0.49,0.38,0.4,0.4,587700,-0.04761904761904756
2020-03-23,0.41,0.42,0.36,0.38,0.38,247800,-0.050000000000000044
2020-03-24,0.39,0.41,0.35,0.39,0.39,775600,0.026315789473684292
2020-03-25,0.4,0.46,0.36,0.45,0.45,977800,0.15384615384615374
2020-03-26,0.42,0.45,0.38,0.45,0.45,746700,0.0
2020-03-27,0.43,0.45,0.4,0.42,0.42,131000,-0.06666666666666676
2020-03-30,0.45,0.57,0.43,0.45,0.45,880200,0.0714285714285714
2020-03-31,0.45,0.5,0.43,0.46,0.46,193300,0.022222222222222143
2020-04-01,0.46,0.49,0.4,0.43,0.43,197000,-0.0652173913043479
2020-04-02,0.42,0.45,0.4,0.44,0.44,175500,0.023255813953488413
2020-04-03,0.44,0.45,0.4,0.43,0.43,213300,-0.022727272727272707
