Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-02-18,10.3,10.35,6.4,6.9,6.9,333800,
2020-02-19,3.69,3.74,2.25,2.31,2.31,547200,-0.6652173913043478
2020-02-20,2.45,2.74,2.0,2.05,2.05,280400,-0.11255411255411263
2020-02-21,2.12,2.12,1.65,2.02,2.02,367500,-0.014634146341463317
2020-02-24,1.97,2.0,1.82,1.9,1.9,29400,-0.05940594059405946
2020-02-25,1.94,1.97,1.68,1.7,1.7,75400,-0.10526315789473684
2020-02-26,1.72,1.74,1.58,1.66,1.66,43200,-0.02352941176470591
2020-02-27,1.73,1.73,1.59,1.6,1.6,52000,-0.036144578313252906
2020-02-28,1.56,1.83,1.46,1.67,1.67,127300,0.043749999999999956
2020-03-02,1.75,1.82,1.6,1.82,1.82,17400,0.08982035928143728
2020-03-03,1.82,1.82,1.54,1.57,1.57,73400,-0.13736263736263732
2020-03-04,1.65,1.82,1.65,1.8,1.8,33900,0.14649681528662417
2020-03-05,1.88,1.9,1.82,1.87,1.87,20900,0.03888888888888897
2020-03-06,2.03,2.04,1.8,1.98,1.98,104100,0.05882352941176472
2020-03-09,1.85,2.0,1.85,1.97,1.97,213600,-0.005050505050505083
2020-03-10,2.0,2.3,1.99,2.18,2.18,308700,0.10659898477157359
2020-03-11,2.12,2.21,2.05,2.18,2.18,293000,0.0
2020-03-12,2.11,2.5,2.08,2.44,2.44,168800,0.11926605504587151
2020-03-13,2.5,2.99,2.37,2.93,2.93,156100,0.2008196721311477
2020-03-16,3.71,3.72,2.96,3.13,3.13,122600,0.06825938566552892
2020-03-17,3.25,3.46,3.0,3.18,3.18,86700,0.015974440894568787
2020-03-18,2.77,3.2,2.5,3.2,3.2,85000,0.0062893081761006275
2020-03-19,3.02,3.29,2.89,3.22,3.22,140000,0.006250000000000089
2020-03-20,3.25,3.59,3.14,3.5,3.5,100100,0.08695652173913038
2020-03-23,3.5,3.58,2.71,3.46,3.46,100800,-0.011428571428571455
2020-03-24,3.54,3.7,2.75,3.6,3.6,42000,0.040462427745664886
2020-03-25,3.65,4.24,3.41,4.15,4.15,68100,0.1527777777777779
2020-03-26,4.15,4.35,4.1,4.31,4.31,52400,0.03855421686746974
2020-03-27,4.1,4.32,4.01,4.27,4.27,12700,-0.009280742459396807
2020-03-30,4.02,4.46,3.86,4.18,4.18,54600,-0.021077283372365363
2020-03-31,4.17,4.18,3.94,4.12,4.12,11500,-0.014354066985645786
2020-04-01,4.22,4.47,4.13,4.36,4.36,62700,0.058252427184465994
2020-04-02,4.43,4.45,4.13,4.21,4.21,44600,-0.034403669724770714
2020-04-03,4.21,4.21,3.99,4.17,4.17,18000,-0.009501187648456089
