Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,3.1,3.1,2.99,3.05,3.05,37000,
2020-01-03,3.05,3.1,3.02,3.05,3.05,41300,0.0
2020-01-06,3.0,3.07,2.85,3.04,3.04,34700,-0.003278688524590123
2020-01-07,3.04,3.09,3.0,3.04,3.04,18100,0.0
2020-01-08,3.04,3.22,3.04,3.2,3.2,156800,0.05263157894736836
2020-01-09,3.21,3.21,3.05,3.14,3.14,93200,-0.018750000000000044
2020-01-10,3.11,3.16,2.97,3.14,3.14,24100,0.0
2020-01-13,3.12,3.19,3.12,3.14,3.14,24600,0.0
2020-01-14,3.15,3.23,3.06,3.17,3.17,34400,0.009554140127388422
2020-01-15,3.2,3.27,3.1,3.14,3.14,49300,-0.009463722397476282
2020-01-16,3.21,3.23,3.11,3.23,3.23,43900,0.028662420382165488
2020-01-17,3.21,3.23,3.05,3.16,3.16,34500,-0.021671826625386914
2020-01-21,3.12,3.18,3.03,3.11,3.11,35400,-0.015822784810126667
2020-01-22,3.16,3.16,3.0,3.0,3.0,20100,-0.03536977491961413
2020-01-23,3.01,3.05,2.94,2.98,2.98,92600,-0.00666666666666671
2020-01-24,3.1,3.11,2.9,3.0,3.0,86400,0.006711409395973256
2020-01-27,2.96,3.27,2.91,3.09,3.09,364200,0.030000000000000027
2020-01-28,3.22,3.24,2.99,3.04,3.04,173200,-0.016181229773462702
2020-01-29,3.0,3.1,2.97,3.0,3.0,74300,-0.013157894736842146
2020-01-30,2.94,3.14,2.93,2.99,2.99,170800,-0.0033333333333332993
2020-01-31,3.02,3.1,2.93,2.97,2.97,46200,-0.006688963210702337
2020-02-03,2.98,3.04,2.88,3.0,3.0,77200,0.010101010101009944
2020-02-04,2.97,3.06,2.9,2.96,2.96,91700,-0.013333333333333308
2020-02-05,2.94,3.04,2.92,2.96,2.96,75200,0.0
2020-02-06,2.99,3.04,2.95,2.97,2.97,106200,0.0033783783783785104
2020-02-07,2.97,2.98,2.81,2.81,2.81,77700,-0.05387205387205396
2020-02-10,2.82,2.89,2.82,2.82,2.82,25400,0.003558718861209842
2020-02-11,2.82,2.87,2.63,2.76,2.76,86000,-0.021276595744680882
2020-02-12,2.79,2.95,2.7,2.76,2.76,66000,0.0
2020-02-13,2.77,2.84,2.71,2.77,2.77,40800,0.0036231884057971175
2020-02-14,2.76,2.8,2.59,2.6,2.6,100700,-0.06137184115523464
2020-02-18,2.56,2.66,2.51,2.6,2.6,71400,0.0
2020-02-19,2.57,2.69,2.55,2.65,2.65,44800,0.019230769230769162
2020-02-20,2.61,2.68,2.56,2.64,2.64,42500,-0.0037735849056602655
2020-02-21,2.61,2.68,2.59,2.62,2.62,41600,-0.007575757575757569
2020-02-24,2.59,2.59,2.51,2.55,2.55,65100,-0.026717557251908497
2020-02-25,2.58,2.75,2.46,2.58,2.58,121300,0.011764705882353121
2020-02-26,2.6,3.14,2.58,2.96,2.96,426700,0.1472868217054264
2020-02-27,3.05,3.3,2.81,3.29,3.29,433700,0.1114864864864864
2020-02-28,3.29,3.45,2.95,3.24,3.24,493500,-0.015197568389057725
2020-03-02,3.24,3.24,3.02,3.12,3.12,202200,-0.03703703703703709
2020-03-03,3.15,3.15,2.92,2.98,2.98,316200,-0.044871794871794934
2020-03-04,3.0,3.12,2.99,2.99,2.99,92700,0.003355704697986628
2020-03-05,3.02,3.06,2.8,2.89,2.89,145800,-0.03344481605351168
2020-03-06,2.82,2.9,2.7,2.77,2.77,128600,-0.04152249134948105
2020-03-09,2.65,2.7,2.55,2.63,2.63,99400,-0.05054151624548742
2020-03-10,2.6,2.76,2.56,2.65,2.65,51100,0.0076045627376426506
2020-03-11,2.69,2.8,2.4,2.47,2.47,598000,-0.06792452830188667
2020-03-12,2.36,2.37,2.05,2.21,2.21,254100,-0.10526315789473695
2020-03-13,2.17,2.3,2.05,2.23,2.23,216000,0.009049773755656076
2020-03-16,2.16,2.16,1.91,1.94,1.94,108600,-0.1300448430493274
2020-03-17,1.98,1.98,1.75,1.79,1.79,168800,-0.07731958762886593
2020-03-18,1.69,1.75,1.39,1.5,1.5,182000,-0.16201117318435754
2020-03-19,1.44,1.54,1.4,1.42,1.42,448800,-0.053333333333333344
2020-03-20,1.47,1.54,1.42,1.5,1.5,206900,0.05633802816901423
2020-03-23,1.72,1.83,1.55,1.71,1.71,252300,0.1399999999999999
2020-03-24,1.75,1.99,1.75,1.96,1.96,259400,0.14619883040935666
2020-03-25,1.96,2.19,1.96,2.1,2.1,119400,0.0714285714285714
2020-03-26,2.07,2.36,2.03,2.3,2.3,362800,0.09523809523809512
2020-03-27,2.21,2.42,2.11,2.25,2.25,524200,-0.021739130434782483
2020-03-30,2.28,2.28,2.11,2.13,2.13,76200,-0.053333333333333344
2020-03-31,2.1,2.26,2.1,2.21,2.21,81400,0.03755868544600949
2020-04-01,2.19,2.2,2.06,2.12,2.12,67900,-0.040723981900452455
2020-04-02,2.14,2.26,2.09,2.14,2.14,37200,0.009433962264151052
2020-04-03,2.15,2.17,2.08,2.14,2.14,26700,0.0
