Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.73,0.74,0.72,0.74,0.74,3700,
2020-01-03,0.73,0.75,0.67,0.75,0.75,2400,0.013513513513513598
2020-01-06,0.7,0.75,0.7,0.74,0.74,1500,-0.013333333333333308
2020-01-07,0.75,0.75,0.67,0.67,0.67,9600,-0.09459459459459452
2020-01-08,0.66,0.67,0.65,0.67,0.67,11200,0.0
2020-01-09,0.65,0.68,0.65,0.68,0.68,19500,0.014925373134328401
2020-01-10,0.75,0.75,0.7,0.7,0.7,21200,0.02941176470588225
2020-01-13,0.66,0.7,0.66,0.7,0.7,6300,0.0
2020-01-14,1.0,1.85,0.66,0.68,0.68,5537200,-0.02857142857142847
2020-01-15,0.63,0.67,0.59,0.62,0.62,462900,-0.08823529411764708
2020-01-16,0.62,0.64,0.6,0.62,0.62,257800,0.0
2020-01-17,0.61,0.63,0.52,0.57,0.57,344800,-0.08064516129032262
2020-01-21,0.55,0.64,0.51,0.6,0.6,470800,0.05263157894736836
2020-01-22,0.55,0.6,0.55,0.58,0.58,77500,-0.033333333333333326
2020-01-23,0.57,0.6,0.52,0.58,0.58,70800,0.0
2020-01-24,0.57,0.6,0.55,0.58,0.58,53200,0.0
2020-01-27,0.55,0.6,0.55,0.56,0.56,29300,-0.0344827586206895
2020-01-28,0.58,0.58,0.56,0.56,0.56,35300,0.0
2020-01-29,0.56,0.56,0.53,0.55,0.55,60900,-0.017857142857142905
2020-01-30,0.53,0.56,0.52,0.54,0.54,16800,-0.018181818181818188
2020-01-31,0.55,0.55,0.51,0.52,0.52,91600,-0.03703703703703709
2020-02-03,0.51,0.51,0.46,0.5,0.5,54700,-0.03846153846153855
2020-02-04,0.55,0.55,0.51,0.53,0.53,36300,0.06000000000000005
2020-02-05,0.52,0.56,0.51,0.55,0.55,31500,0.037735849056603765
2020-02-06,0.52,0.56,0.5,0.53,0.53,20600,-0.036363636363636376
2020-02-07,0.54,0.54,0.49,0.52,0.52,26900,-0.018867924528301883
2020-02-10,0.51,0.54,0.5,0.52,0.52,16100,0.0
2020-02-11,0.5,0.52,0.5,0.5,0.5,9400,-0.03846153846153855
2020-02-12,0.46,0.55,0.46,0.54,0.54,51500,0.08000000000000007
2020-02-13,0.54,0.54,0.49,0.53,0.53,13100,-0.01851851851851849
2020-02-14,0.54,0.54,0.48,0.52,0.52,14100,-0.018867924528301883
2020-02-18,0.5,0.52,0.5,0.51,0.51,26700,-0.019230769230769273
2020-02-19,0.51,0.52,0.49,0.52,0.52,26900,0.019607843137254832
2020-02-20,0.49,0.52,0.49,0.52,0.52,21800,0.0
2020-02-21,0.52,0.52,0.44,0.49,0.49,46400,-0.05769230769230771
2020-02-24,0.5,0.51,0.49,0.5,0.5,17600,0.020408163265306145
2020-02-25,0.46,0.5,0.46,0.48,0.48,52300,-0.040000000000000036
2020-02-26,0.49,0.49,0.46,0.46,0.46,7000,-0.04166666666666663
2020-02-27,0.46,0.48,0.45,0.46,0.46,38000,0.0
2020-02-28,0.45,0.45,0.4,0.43,0.43,36800,-0.0652173913043479
2020-03-02,0.44,0.48,0.35,0.45,0.45,28500,0.04651162790697683
2020-03-03,0.48,0.48,0.38,0.47,0.47,50100,0.04444444444444429
2020-03-04,0.48,0.48,0.44,0.45,0.45,33900,-0.04255319148936165
2020-03-05,0.43,0.5,0.43,0.44,0.44,26000,-0.022222222222222254
2020-03-06,0.5,0.5,0.35,0.45,0.45,31700,0.022727272727272707
2020-03-09,0.48,0.48,0.35,0.43,0.43,17700,-0.04444444444444451
2020-03-10,0.42,0.44,0.4,0.43,0.43,23600,0.0
2020-03-11,0.41,0.42,0.36,0.39,0.39,29700,-0.09302325581395343
2020-03-12,0.41,0.41,0.3,0.36,0.36,68700,-0.07692307692307698
2020-03-13,0.38,0.38,0.24,0.31,0.31,31000,-0.13888888888888884
2020-03-16,0.25,0.34,0.24,0.29,0.29,53700,-0.06451612903225812
2020-03-17,0.29,0.33,0.27,0.33,0.33,14400,0.13793103448275867
2020-03-18,0.3,0.32,0.29,0.29,0.29,12100,-0.12121212121212133
2020-03-19,0.29,0.3,0.29,0.29,0.29,9100,0.0
2020-03-20,0.29,0.35,0.28,0.33,0.33,56700,0.13793103448275867
2020-03-23,0.34,0.34,0.29,0.32,0.32,10500,-0.030303030303030276
2020-03-24,0.33,0.34,0.32,0.32,0.32,3700,0.0
2020-03-25,0.34,0.34,0.31,0.33,0.33,16100,0.03125
2020-03-26,0.34,0.34,0.32,0.33,0.33,32100,0.0
2020-03-27,0.3,0.34,0.3,0.32,0.32,7500,-0.030303030303030276
2020-03-30,0.34,0.34,0.28,0.34,0.34,20600,0.0625
2020-03-31,0.35,0.5,0.34,0.36,0.36,48300,0.0588235294117645
2020-04-01,0.37,0.38,0.34,0.34,0.34,4800,-0.05555555555555547
2020-04-02,0.39,0.39,0.26,0.37,0.37,11500,0.08823529411764697
2020-04-03,0.39,0.41,0.36,0.38,0.38,6100,0.027027027027026973
