Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,7.8,7.89,7.69,7.74,7.74,317500,
2020-01-03,7.61,7.75,7.6,7.73,7.73,620400,-0.0012919896640826156
2020-01-06,7.66,7.73,7.54,7.71,7.71,596500,-0.002587322121604174
2020-01-07,7.68,7.78,7.66,7.73,7.73,576900,0.0025940337224383825
2020-01-08,7.74,7.93,7.73,7.87,7.87,386900,0.018111254851228997
2020-01-09,7.95,8.06,7.85,7.88,7.88,557100,0.0012706480304955914
2020-01-10,7.88,7.96,7.77,7.85,7.85,387100,-0.0038071065989847552
2020-01-13,7.94,8.19,7.92,8.12,8.12,680200,0.03439490445859872
2020-01-14,8.11,8.19,7.98,8.14,8.14,477700,0.0024630541871923928
2020-01-15,8.04,8.29,8.04,8.21,8.21,540200,0.008599508599508532
2020-01-16,8.29,8.38,8.13,8.29,8.29,443300,0.009744214372715998
2020-01-17,8.35,8.35,8.16,8.21,8.21,284700,-0.009650180940892428
2020-01-21,8.21,8.23,8.0,8.12,8.12,424100,-0.010962241169305886
2020-01-22,8.2,8.33,8.15,8.28,8.28,958000,0.019704433497536922
2020-01-23,8.27,8.35,8.23,8.33,8.33,956500,0.006038647342995196
2020-01-24,8.33,8.57,8.13,8.17,8.17,759200,-0.019207683073229287
2020-01-27,8.03,8.29,8.0,8.17,8.17,661600,0.0
2020-01-28,8.15,8.21,7.98,8.05,8.05,669100,-0.014687882496939975
2020-01-29,8.03,8.06,7.57,7.59,7.59,746200,-0.05714285714285727
2020-01-30,7.5,7.5,7.13,7.29,7.29,948800,-0.03952569169960474
2020-01-31,7.27,7.31,7.03,7.04,7.04,570400,-0.03429355281207136
2020-02-03,7.11,7.46,7.06,7.36,7.36,1495500,0.045454545454545414
2020-02-04,6.9,7.65,6.81,7.12,7.12,3374800,-0.03260869565217395
2020-02-05,7.18,7.26,6.92,7.04,7.04,1483200,-0.011235955056179803
2020-02-06,7.09,7.12,6.89,6.92,6.92,1424200,-0.017045454545454586
2020-02-07,6.92,6.96,6.71,6.78,6.78,704000,-0.020231213872832332
2020-02-10,6.77,6.82,6.66,6.78,6.78,661900,0.0
2020-02-11,6.79,6.97,6.72,6.75,6.75,791200,-0.004424778761061954
2020-02-12,6.78,6.98,6.77,6.84,6.84,695500,0.01333333333333342
2020-02-13,6.8,6.87,6.74,6.79,6.79,632100,-0.007309941520467822
2020-02-14,6.77,6.86,6.7,6.77,6.77,864700,-0.002945508100147376
2020-02-18,6.73,6.8,6.59,6.77,6.77,822700,0.0
2020-02-19,6.75,6.83,6.68,6.7,6.7,629400,-0.010339734121122546
2020-02-20,6.7,6.84,6.62,6.77,6.77,638300,0.010447761194029681
2020-02-21,6.77,6.77,6.61,6.65,6.65,396100,-0.017725258493352936
2020-02-24,6.45,6.5,6.25,6.42,6.42,779000,-0.03458646616541361
2020-02-25,6.4,6.49,6.13,6.28,6.28,765000,-0.02180685358255452
2020-02-26,6.32,6.5,6.22,6.29,6.29,1349900,0.0015923566878981443
2020-02-27,6.12,6.19,5.99,6.09,6.09,951000,-0.031796502384737746
2020-02-28,5.9,6.28,5.9,6.14,6.14,997400,0.008210180623973606
2020-03-02,6.17,6.19,5.94,6.05,6.05,634800,-0.014657980456026065
2020-03-03,6.04,6.3,5.89,6.02,6.02,859100,-0.0049586776859504855
2020-03-04,6.1,6.37,6.09,6.36,6.36,633800,0.056478405315614655
2020-03-05,6.2,6.33,6.16,6.24,6.24,840700,-0.018867924528301883
2020-03-06,6.08,6.28,6.0,6.11,6.11,2946700,-0.02083333333333337
2020-03-09,5.82,5.94,5.57,5.58,5.58,924600,-0.08674304418985279
2020-03-10,5.75,5.8,5.36,5.61,5.61,791300,0.005376344086021501
2020-03-11,5.49,5.67,5.34,5.53,5.53,620600,-0.014260249554367221
2020-03-12,5.13,5.43,4.9,4.91,4.91,880300,-0.11211573236889694
2020-03-13,5.12,5.15,4.75,5.03,5.03,879200,0.024439918533604832
2020-03-16,4.44,4.95,4.44,4.69,4.69,611400,-0.06759443339960236
2020-03-17,4.77,5.3,4.62,5.29,5.29,991800,0.1279317697228144
2020-03-18,5.09,5.44,4.74,4.97,4.97,719300,-0.060491493383742934
2020-03-19,4.95,5.54,4.95,5.29,5.29,907200,0.06438631790744465
2020-03-20,5.37,5.98,4.92,4.94,4.94,1360600,-0.06616257088846877
2020-03-23,5.0,5.13,4.7,5.02,5.02,873500,0.0161943319838056
2020-03-24,5.25,5.5,5.11,5.49,5.49,854300,0.09362549800796827
2020-03-25,5.47,5.76,5.38,5.47,5.47,1015900,-0.0036429872495447047
2020-03-26,5.49,6.13,5.49,6.09,6.09,1254300,0.11334552102376594
2020-03-27,5.92,6.15,5.76,5.84,5.84,1970600,-0.04105090311986859
2020-03-30,5.92,5.93,5.58,5.7,5.7,614700,-0.023972602739726012
2020-03-31,5.68,5.8,5.56,5.76,5.76,658200,0.010526315789473717
2020-04-01,5.54,5.63,5.41,5.49,5.49,593200,-0.04687499999999989
2020-04-02,5.41,5.74,5.41,5.66,5.66,718900,0.030965391621129212
2020-04-03,5.65,5.76,5.42,5.54,5.54,424700,-0.021201413427561877
