Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,7.82,7.89,7.25,7.3,7.3,138100,
2020-01-03,7.21,7.26,6.94,7.15,7.15,109900,-0.020547945205479423
2020-01-06,7.14,7.18,6.94,6.94,6.94,33600,-0.029370629370629397
2020-01-07,6.95,6.95,6.5,6.8,6.8,128800,-0.02017291066282434
2020-01-08,6.86,7.18,6.8,7.09,7.09,71200,0.04264705882352948
2020-01-09,7.09,7.13,6.83,6.9,6.9,77900,-0.026798307475317307
2020-01-10,6.9,7.23,6.9,7.01,7.01,156600,0.01594202898550723
2020-01-13,7.09,7.27,7.04,7.15,7.15,67900,0.019971469329529423
2020-01-14,7.1,7.43,7.01,7.31,7.31,95600,0.022377622377622197
2020-01-15,7.31,7.5,7.2,7.23,7.23,126300,-0.0109439124487003
2020-01-16,7.31,7.31,7.03,7.16,7.16,92000,-0.009681881051175734
2020-01-17,7.17,7.25,6.99,7.06,7.06,98100,-0.013966480446927498
2020-01-21,7.01,7.07,6.96,7.0,7.0,109600,-0.008498583569405027
2020-01-22,7.03,7.25,7.01,7.16,7.16,156200,0.02285714285714291
2020-01-23,7.13,7.14,6.86,6.99,6.99,84000,-0.023743016759776525
2020-01-24,6.96,7.05,6.74,7.02,7.02,101900,0.0042918454935620964
2020-01-27,6.96,6.96,6.6,6.62,6.62,136000,-0.056980056980056926
2020-01-28,6.66,6.83,6.54,6.66,6.66,98300,0.0060422960725075026
2020-01-29,6.68,6.75,6.56,6.61,6.61,69200,-0.007507507507507505
2020-01-30,6.51,6.65,6.32,6.43,6.43,90600,-0.027231467473525006
2020-01-31,6.39,6.48,5.5,5.82,5.82,437900,-0.0948678071539657
2020-02-03,5.8,6.19,5.68,5.72,5.72,80900,-0.01718213058419249
2020-02-04,6.07,6.52,5.94,6.52,6.52,333800,0.1398601398601398
2020-02-05,6.72,6.79,6.57,6.68,6.68,185300,0.024539877300613577
2020-02-06,6.74,6.89,6.54,6.86,6.86,111900,0.026946107784431295
2020-02-07,6.86,6.97,6.72,6.9,6.9,71800,0.005830903790087438
2020-02-10,6.97,7.06,6.62,6.72,6.72,180300,-0.026086956521739202
2020-02-11,6.82,7.05,6.8,6.83,6.83,80400,0.016369047619047672
2020-02-12,6.9,6.93,6.73,6.85,6.85,69800,0.002928257686676261
2020-02-13,6.8,6.92,6.73,6.79,6.79,100700,-0.008759124087591164
2020-02-14,6.78,6.97,6.5,6.72,6.72,138400,-0.010309278350515538
2020-02-18,6.77,6.9,6.73,6.74,6.74,113900,0.0029761904761904656
2020-02-19,6.76,6.84,6.39,6.54,6.54,166900,-0.029673590504451064
2020-02-20,6.51,6.64,6.37,6.46,6.46,89900,-0.012232415902140636
2020-02-21,6.45,6.46,6.23,6.27,6.27,87200,-0.02941176470588236
2020-02-24,6.11,6.3,5.92,5.95,5.95,214200,-0.05103668261562988
2020-02-25,6.0,6.09,5.6,5.7,5.7,181500,-0.04201680672268904
2020-02-26,5.7,5.81,5.33,5.5,5.5,289300,-0.03508771929824561
2020-02-27,5.39,5.99,5.25,5.64,5.64,209500,0.025454545454545396
2020-02-28,5.36,5.62,5.34,5.52,5.52,133000,-0.021276595744680882
2020-03-02,5.62,5.86,5.55,5.66,5.66,228000,0.025362318840579823
2020-03-03,5.73,6.21,5.73,5.89,5.89,161900,0.0406360424028267
2020-03-04,6.04,6.4,6.01,6.29,6.29,163800,0.06791171477079794
2020-03-05,6.06,6.4,6.0,6.14,6.14,108000,-0.02384737678855331
2020-03-06,6.01,6.13,5.75,5.96,5.96,137800,-0.02931596091205202
2020-03-09,5.53,6.07,4.83,5.68,5.68,195300,-0.046979865771812124
2020-03-10,5.79,5.79,4.91,5.29,5.29,339300,-0.06866197183098588
2020-03-11,5.13,5.26,4.76,4.76,4.76,259700,-0.10018903591682427
2020-03-12,4.37,4.64,4.0,4.25,4.25,252300,-0.1071428571428571
2020-03-13,4.3,5.1,4.3,4.98,4.98,439900,0.17176470588235304
2020-03-16,4.25,4.25,3.54,3.93,3.93,474300,-0.21084337349397597
2020-03-17,3.61,3.97,3.6,3.87,3.87,331100,-0.01526717557251911
2020-03-18,3.63,3.85,3.42,3.57,3.57,237900,-0.07751937984496127
2020-03-19,3.44,3.78,3.33,3.7,3.7,165600,0.036414565826330625
2020-03-20,3.69,4.1,3.62,3.69,3.69,163300,-0.002702702702702786
2020-03-23,3.63,3.82,3.34,3.5,3.5,243300,-0.051490514905149
2020-03-24,3.64,3.9,3.45,3.84,3.84,201700,0.0971428571428572
2020-03-25,3.85,4.29,3.53,4.16,4.16,186000,0.08333333333333348
2020-03-26,4.19,4.22,3.81,4.11,4.11,208100,-0.012019230769230727
2020-03-27,4.0,4.07,3.6,3.71,3.71,424200,-0.09732360097323611
2020-03-30,3.77,4.14,3.76,4.14,4.14,282700,0.11590296495956864
2020-03-31,4.13,4.15,3.8,3.82,3.82,425300,-0.07729468599033817
2020-04-01,3.79,3.83,3.51,3.63,3.63,113300,-0.04973821989528793
2020-04-02,3.6,3.97,3.54,3.62,3.62,84400,-0.0027548209366390353
2020-04-03,3.62,3.84,3.52,3.61,3.61,66500,-0.002762430939226568
