Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,3.24,3.29,3.2,3.24,3.24,56900,
2020-01-03,3.25,3.31,3.23,3.29,3.29,77300,0.015432098765431945
2020-01-06,3.29,3.35,3.26,3.3,3.3,65300,0.003039513677811412
2020-01-07,3.31,3.38,3.29,3.31,3.31,89400,0.003030303030303161
2020-01-08,3.31,3.35,3.26,3.28,3.28,42600,-0.009063444108761365
2020-01-09,3.26,3.33,3.2,3.24,3.24,92300,-0.012195121951219412
2020-01-10,3.24,3.38,3.24,3.3,3.3,75400,0.01851851851851838
2020-01-13,3.3,3.39,3.26,3.3,3.3,157200,0.0
2020-01-14,3.28,3.38,3.26,3.31,3.31,94900,0.003030303030303161
2020-01-15,3.35,3.45,3.26,3.31,3.31,93400,0.0
2020-01-16,3.29,3.85,3.29,3.58,3.58,1343300,0.08157099697885206
2020-01-17,3.8,3.85,3.64,3.74,3.74,534500,0.04469273743016755
2020-01-21,3.81,3.93,3.62,3.69,3.69,522000,-0.013368983957219305
2020-01-22,3.68,3.73,3.51,3.62,3.62,304700,-0.01897018970189701
2020-01-23,3.6,3.63,3.45,3.6,3.6,153600,-0.0055248618784530246
2020-01-24,3.58,3.65,3.4,3.56,3.56,274500,-0.011111111111111072
2020-01-27,3.55,3.58,3.01,3.01,3.01,317900,-0.154494382022472
2020-01-28,3.03,3.55,3.03,3.41,3.41,309100,0.1328903654485052
2020-01-29,3.49,3.58,3.28,3.47,3.47,379500,0.017595307917888547
2020-01-30,3.4,3.67,3.4,3.53,3.53,327500,0.01729106628242061
2020-01-31,3.51,3.74,3.51,3.72,3.72,179500,0.05382436260623247
2020-02-03,3.65,3.95,3.61,3.91,3.91,234800,0.051075268817204256
2020-02-04,3.89,4.11,3.69,3.69,3.69,488500,-0.05626598465473154
2020-02-05,3.66,3.8,3.46,3.49,3.49,310300,-0.054200542005420016
2020-02-06,3.48,3.66,3.48,3.55,3.55,87700,0.017191977077363862
2020-02-07,3.51,3.85,3.475,3.82,3.82,245400,0.07605633802816891
2020-02-10,3.8,3.87,3.54,3.78,3.78,156200,-0.010471204188481686
2020-02-11,3.76,3.9,3.717,3.77,3.77,117900,-0.002645502645502562
2020-02-12,3.76,3.85,3.7,3.72,3.72,67500,-0.013262599469495928
2020-02-13,3.76,3.76,3.55,3.66,3.66,151300,-0.016129032258064502
2020-02-14,3.66,3.74,3.58,3.68,3.68,141100,0.005464480874316946
2020-02-18,3.68,3.905,3.63,3.88,3.88,270100,0.05434782608695654
2020-02-19,3.89,4.3,3.76,4.3,4.3,662400,0.10824742268041243
2020-02-20,4.26,4.6,4.22,4.5,4.5,406800,0.04651162790697683
2020-02-21,4.65,4.65,4.22,4.34,4.34,194500,-0.03555555555555556
2020-02-24,4.29,4.5,4.15,4.5,4.5,133900,0.03686635944700467
2020-02-25,4.7,4.7,4.48,4.51,4.51,163300,0.0022222222222221255
2020-02-26,4.47,4.79,4.4,4.66,4.66,217100,0.03325942350332611
2020-02-27,4.7,4.88,4.6,4.79,4.79,257200,0.027896995708154515
2020-02-28,4.83,5.18,4.8,5.18,5.18,363100,0.08141962421711901
2020-03-02,5.25,5.49,4.27,4.53,4.53,460600,-0.12548262548262534
2020-03-03,4.55,4.83,4.55,4.78,4.78,212200,0.05518763796909498
2020-03-04,4.78,4.92,4.44,4.51,4.51,323700,-0.05648535564853563
2020-03-05,4.6,5.2,4.51,4.98,4.98,452200,0.10421286031042154
2020-03-06,5.02,5.08,4.813,4.96,4.96,265400,-0.004016064257028162
2020-03-09,4.74,4.95,4.704,4.85,4.85,405300,-0.022177419354838745
2020-03-10,4.85,5.19,4.72,5.13,5.13,531100,0.057731958762886615
2020-03-11,5.14,5.18,4.86,4.99,4.99,632900,-0.02729044834307981
2020-03-12,4.82,4.9,4.6,4.66,4.66,719500,-0.06613226452905818
2020-03-13,4.74,5.07,4.6,4.84,4.84,463600,0.03862660944205998
2020-03-16,4.7,4.78,4.609,4.72,4.72,326700,-0.024793388429752095
2020-03-17,4.66,4.8,4.31,4.75,4.75,528500,0.006355932203389925
2020-03-18,4.68,4.75,4.53,4.65,4.65,204800,-0.021052631578947323
2020-03-19,4.6,4.67,4.23,4.35,4.35,465700,-0.06451612903225823
2020-03-20,4.4,4.4,4.12,4.24,4.24,428000,-0.025287356321838983
2020-03-23,4.27,4.27,3.855,3.96,3.96,387700,-0.0660377358490567
2020-03-24,4.1,4.25,4.08,4.25,4.25,315600,0.07323232323232332
2020-03-25,4.25,4.59,4.2,4.54,4.54,267600,0.06823529411764717
2020-03-26,4.55,4.64,4.397,4.49,4.49,342400,-0.011013215859030812
2020-03-27,4.5,4.58,4.33,4.46,4.46,218400,-0.006681514476614803
2020-03-30,4.4,4.55,4.4,4.48,4.48,229500,0.004484304932735439
2020-03-31,4.4,4.76,4.35,4.72,4.72,377500,0.05357142857142838
2020-04-01,4.72,4.73,4.4,4.54,4.54,217400,-0.03813559322033888
2020-04-02,4.53,4.67,4.36,4.43,4.43,191400,-0.02422907488986792
2020-04-03,4.49,4.55,4.25,4.55,4.55,198400,0.02708803611738153
