Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,6.84,6.84,6.7,6.73,6.452817,47500,
2020-01-03,6.74,6.99,6.74,6.99,6.702108,23900,0.03863289474968856
2020-01-06,6.96,6.98,6.92,6.95,6.663755999999999,12900,-0.005722378690406149
2020-01-07,6.963,7.09,6.92,6.93,6.64458,13000,-0.0028776563847774383
2020-01-08,6.82,7.01,6.82,7.01,6.721285000000001,22700,0.011543995256284134
2020-01-09,7.01,7.09,6.95,7.04,6.75005,17100,0.0042796875895010356
2020-01-10,7.07,7.1,7.02,7.1,6.8075779999999995,5300,0.00852260353626999
2020-01-13,7.1,7.1,7.055,7.1,6.8075779999999995,17200,0.0
2020-01-14,7.016,7.049,6.91,6.93,6.64458,15400,-0.023943611075774585
2020-01-15,6.937,7.06,6.937,7.04,6.75005,20300,0.015873087539016728
2020-01-16,7.04,7.05,7.03,7.03,6.740461,7800,-0.0014205820697624771
2020-01-17,7.038,7.05,7.0,7.01,6.721285000000001,5500,-0.0028449092725258973
2020-01-21,7.01,7.05,6.95,7.04,6.75005,27500,0.0042796875895010356
2020-01-22,7.01,7.05,7.0,7.01,6.721285000000001,20700,-0.004261449915185622
2020-01-23,7.01,7.11,7.01,7.11,6.8171669999999995,32800,0.0142654269235718
2020-01-24,7.11,7.15,7.1,7.14,6.845931,27800,0.004219348007757473
2020-01-27,7.15,7.15,7.0,7.01,6.721285000000001,21600,-0.018207311759350087
2020-01-28,7.01,7.15,7.01,7.04,6.75005,22700,0.0042796875895010356
2020-01-29,7.03,7.086,7.02,7.06,6.769226,13200,0.002840867845423256
2020-01-30,7.09,7.11,7.0,7.08,6.7884020000000005,21400,0.0028328201776688378
2020-01-31,7.08,7.18,7.035,7.18,6.884283,61000,0.014124237191609934
2020-02-03,7.09,7.18,7.03,7.06,6.769226,36400,-0.016712996836417138
2020-02-04,7.06,7.17,7.045,7.09,6.7979899999999995,13300,0.004249230266503146
2020-02-05,7.09,7.25,7.06,7.18,6.884283,49900,0.012693899226094763
2020-02-06,7.18,7.29,7.112,7.22,6.922636,50000,0.005571095784412172
2020-02-07,7.225,7.28,7.21,7.22,6.922636,17900,0.0
2020-02-10,7.25,7.38,7.22,7.22,6.922636,24600,0.0
2020-02-11,7.28,7.4,7.22,7.4,7.095222,73200,0.02493067669598692
2020-02-12,7.31,7.4,7.276,7.35,7.047282000000001,40700,-0.0067566596224893916
2020-02-13,7.3,7.51,7.3,7.51,7.200692,29500,0.02176867620736611
2020-02-14,7.51,7.51,7.379,7.4,7.095222,28900,-0.014647203352122329
2020-02-18,7.37,7.56,7.31,7.47,7.162339,22800,0.009459464411402552
2020-02-19,7.491,7.64,7.45,7.62,7.306161,53000,0.020080311752906477
2020-02-20,7.66,7.7,7.55,7.65,7.334925999999999,34700,0.003937088164358782
2020-02-21,7.7,7.7,7.55,7.55,7.239045,20300,-0.013071842851584248
2020-02-24,7.58,7.65,7.45,7.45,7.143163,43700,-0.013245117277209895
2020-02-25,7.46,7.54,7.4,7.48,7.171927,32000,0.004026787572956048
2020-02-26,7.48,7.488,7.4,7.45,7.143163,23000,-0.0040106375873596445
2020-02-27,7.38,7.42,7.22,7.24,6.941812,21100,-0.028187932992709386
2020-02-28,7.24,7.24,6.88,6.88,6.596639,84200,-0.04972376088548636
2020-03-02,6.85,7.052,6.7,6.7,6.424053,51000,-0.026162717104877165
2020-03-03,6.86,6.99,6.63,6.99,6.702108,37500,0.04328342247487682
2020-03-04,7.07,7.12,6.791,6.95,6.663755999999999,28700,-0.005722378690406149
2020-03-05,6.99,7.118,6.96,6.96,6.673344999999999,37300,0.0014389782579073973
2020-03-06,6.86,6.86,6.61,6.67,6.395288,48300,-0.04166681027280916
2020-03-09,6.55,6.91,6.55,6.59,6.318583,47900,-0.011993986822798175
2020-03-10,6.69,6.703,6.45,6.49,6.222702,27700,-0.015174446549170995
2020-03-11,6.4,6.637,5.895,6.07,5.82,46100,-0.06471497429894602
2020-03-12,5.64,5.64,3.25,3.7,3.7,192600,-0.36426116838487976
2020-03-13,3.9,4.057,3.0,3.325,3.325,86300,-0.10135135135135132
2020-03-16,2.63,3.08,2.543,2.77,2.77,67000,-0.1669172932330828
2020-03-17,2.7,2.75,2.297,2.61,2.61,65700,-0.0577617328519856
2020-03-18,2.44,2.61,1.38,1.49,1.49,110500,-0.4291187739463601
2020-03-19,1.5,2.1,1.5,1.82,1.82,95800,0.2214765100671141
2020-03-20,1.9,2.58,1.9,2.4,2.4,43400,0.31868131868131866
2020-03-23,2.55,2.55,2.047,2.15,2.15,44700,-0.10416666666666663
2020-03-24,2.35,3.22,2.35,2.64,2.64,56200,0.22790697674418614
2020-03-25,2.7,3.23,2.65,2.67,2.67,53100,0.011363636363636243
2020-03-26,2.73,3.28,2.58,2.66,2.66,96300,-0.0037453183520598232
2020-03-27,2.74,3.02,2.38,2.44,2.44,70800,-0.08270676691729328
2020-03-30,2.47,2.666,2.05,2.2,2.2,43300,-0.0983606557377048
2020-03-31,2.242,2.51,2.228,2.46,2.46,46700,0.11818181818181817
2020-04-01,2.43,2.96,2.35,2.95,2.95,40900,0.19918699186991873
2020-04-02,3.12,3.187,2.67,3.0,3.0,102300,0.016949152542372836
2020-04-03,3.0,3.2,2.891,3.01,3.01,47600,0.0033333333333331883
