Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,1.37,1.74,1.31,1.61,1.61,121900,
2020-01-03,1.6,1.72,1.411,1.57,1.57,64400,-0.024844720496894457
2020-01-06,1.65,1.65,1.45,1.61,1.61,63300,0.02547770700636942
2020-01-07,1.6,1.85,1.46,1.73,1.73,107500,0.07453416149068315
2020-01-08,1.79,1.89,1.5,1.59,1.59,161300,-0.08092485549132944
2020-01-09,1.64,1.69,1.43,1.58,1.58,142600,-0.0062893081761006275
2020-01-10,1.66,1.66,1.483,1.59,1.59,44600,0.006329113924050667
2020-01-13,1.58,1.78,1.35,1.44,1.44,377300,-0.09433962264150952
2020-01-14,1.42,1.54,1.28,1.46,1.46,113000,0.01388888888888884
2020-01-15,1.465,1.52,1.3,1.47,1.47,63200,0.006849315068493178
2020-01-16,1.44,1.52,1.36,1.45,1.45,39000,-0.013605442176870763
2020-01-17,1.41,1.64,1.3,1.34,1.34,1183100,-0.07586206896551717
2020-01-21,1.4,1.41,1.26,1.3,1.3,228100,-0.02985074626865669
2020-01-22,1.28,1.3,1.19,1.224,1.224,218200,-0.058461538461538565
2020-01-23,1.26,1.26,1.12,1.217,1.217,115300,-0.005718954248365882
2020-01-24,1.22,1.26,1.13,1.19,1.19,126700,-0.022185702547247388
2020-01-27,1.2,1.2,1.1,1.11,1.11,65600,-0.0672268907563024
2020-01-28,1.17,1.2,1.1,1.13,1.13,60600,0.018018018018017834
2020-01-29,1.134,1.26,1.128,1.2,1.2,183200,0.06194690265486735
2020-01-30,1.17,1.22,1.107,1.18,1.18,88300,-0.01666666666666672
2020-01-31,1.15,1.18,1.05,1.1,1.1,97400,-0.06779661016949146
2020-02-03,1.04,1.15,1.01,1.03,1.03,91900,-0.06363636363636371
2020-02-04,1.1,1.1,1.0,1.05,1.05,59500,0.01941747572815533
2020-02-05,1.01,1.24,1.008,1.06,1.06,417100,0.00952380952380949
2020-02-06,1.1,1.1,0.935,1.0,1.0,99800,-0.05660377358490576
2020-02-07,0.96,1.1,0.96,1.04,1.04,71700,0.040000000000000036
2020-02-10,1.04,1.08,0.98,1.07,1.07,42600,0.028846153846153966
2020-02-11,1.07,1.14,0.99,1.119,1.119,196000,0.04579439252336437
2020-02-12,1.14,1.3,0.971,0.98,0.98,842800,-0.12421805183199286
2020-02-13,1.01,1.09,0.93,1.01,1.01,570600,0.030612244897959107
2020-02-14,1.02,1.08,0.955,0.975,0.975,427500,-0.034653465346534684
2020-02-18,0.975,0.975,0.9,0.934,0.934,197300,-0.042051282051281946
2020-02-19,0.92,0.92,0.815,0.86,0.86,288200,-0.07922912205567456
2020-02-20,0.85,0.886,0.84,0.87,0.87,102500,0.011627906976744207
2020-02-21,0.846,0.99,0.831,0.904,0.904,107900,0.03908045977011487
2020-02-24,0.83,0.9,0.83,0.848,0.848,54200,-0.06194690265486735
2020-02-25,0.876,0.89,0.83,0.85,0.85,116300,0.002358490566037652
2020-02-26,0.85,0.9,0.82,0.88,0.88,125400,0.03529411764705892
2020-02-27,0.81,0.86,0.771,0.848,0.848,72700,-0.036363636363636376
2020-02-28,0.85,1.18,0.737,0.99,0.99,1802200,0.1674528301886793
2020-03-02,0.95,1.06,0.806,0.86,0.86,687500,-0.13131313131313127
2020-03-03,0.85,0.88,0.785,0.8,0.8,172100,-0.06976744186046502
2020-03-04,0.783,1.03,0.77,0.84,0.84,837400,0.04999999999999982
2020-03-05,0.79,0.841,0.755,0.756,0.756,227700,-0.09999999999999998
2020-03-06,0.76,0.78,0.712,0.741,0.741,53800,-0.019841269841269882
2020-03-09,0.74,0.74,0.5,0.627,0.627,148100,-0.15384615384615385
2020-03-10,0.69,0.76,0.62,0.68,0.68,100000,0.08452950558213734
2020-03-11,0.95,1.16,0.75,0.82,0.82,3546500,0.2058823529411764
2020-03-12,0.76,0.77,0.64,0.652,0.652,259500,-0.20487804878048776
2020-03-13,0.666,0.69,0.511,0.64,0.64,248000,-0.018404907975460127
2020-03-16,0.57,0.63,0.5,0.543,0.543,218100,-0.15156249999999993
2020-03-17,0.5,0.644,0.44,0.519,0.519,555700,-0.04419889502762431
2020-03-18,0.5,0.539,0.45,0.47,0.47,106500,-0.09441233140655114
2020-03-19,0.439,0.488,0.42,0.47,0.47,36900,0.0
2020-03-20,0.47,0.526,0.42,0.457,0.457,57300,-0.02765957446808498
2020-03-23,0.5,0.5,0.423,0.44,0.44,99200,-0.03719912472647702
2020-03-24,2.0,4.95,1.55,4.95,4.95,32046600,10.25
2020-03-25,3.15,3.5,2.11,2.23,2.23,7289900,-0.5494949494949495
2020-03-26,2.15,3.1,1.95,2.2,2.2,7179700,-0.013452914798206206
2020-03-27,2.02,2.12,1.82,1.97,1.97,1038600,-0.10454545454545461
2020-03-30,1.95,1.97,1.58,1.64,1.64,608900,-0.16751269035533
2020-03-31,1.61,2.06,1.55,2.02,2.02,903300,0.23170731707317072
2020-04-01,1.76,1.802,1.56,1.69,1.69,384100,-0.1633663366336634
2020-04-02,1.6,1.64,1.55,1.58,1.58,209100,-0.06508875739644959
2020-04-03,1.59,1.63,1.33,1.43,1.43,281800,-0.09493670886075956
