Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,2.9,3.35,2.85,3.35,3.35,72900,
2020-01-03,3.56,3.56,3.15,3.23,3.23,44900,-0.035820895522388096
2020-01-06,3.47,3.47,3.13,3.28,3.28,35700,0.015479876160990669
2020-01-07,3.3,3.3,3.2,3.22,3.22,3600,-0.018292682926829174
2020-01-08,3.21,3.21,3.14,3.18,3.18,9300,-0.012422360248447228
2020-01-09,3.34,3.34,3.17,3.26,3.26,12300,0.025157232704402288
2020-01-10,3.19,3.41,3.19,3.37,3.37,12700,0.033742331288343586
2020-01-13,3.31,3.38,3.23,3.38,3.38,23000,0.0029673590504450953
2020-01-14,3.36,3.5,3.35,3.39,3.39,18700,0.002958579881656931
2020-01-15,3.49,3.98,3.4,3.97,3.97,111200,0.17109144542772858
2020-01-16,4.0,4.04,3.75,4.04,4.04,80000,0.0176322418136019
2020-01-17,3.99,4.1,3.91,4.0,4.0,47100,-0.00990099009900991
2020-01-21,4.22,4.5,4.04,4.18,4.18,172600,0.04499999999999993
2020-01-22,4.41,4.41,4.1,4.14,4.14,28400,-0.009569377990430672
2020-01-23,4.19,4.4,4.1,4.38,4.38,87100,0.05797101449275366
2020-01-24,4.48,4.48,4.15,4.19,4.19,57600,-0.04337899543378987
2020-01-27,4.05,4.15,3.9,4.14,4.14,55500,-0.011933174224343812
2020-01-28,4.33,4.47,4.24,4.43,4.43,47900,0.07004830917874405
2020-01-29,4.5,4.93,4.35,4.92,4.92,149000,0.11060948081264121
2020-01-30,4.76,4.91,4.43,4.63,4.63,61000,-0.058943089430894324
2020-01-31,4.85,4.85,4.52,4.57,4.57,27300,-0.01295896328293733
2020-02-03,4.57,4.57,4.41,4.52,4.52,31200,-0.010940919037199293
2020-02-04,4.7,4.82,4.6,4.79,4.79,53600,0.05973451327433632
2020-02-05,4.94,4.94,4.55,4.7,4.7,50800,-0.018789144050104345
2020-02-06,4.86,4.9,4.62,4.9,4.9,72400,0.042553191489361764
2020-02-07,4.86,4.86,4.69,4.7,4.7,28900,-0.04081632653061229
2020-02-10,4.61,4.75,4.52,4.58,4.58,58200,-0.025531914893617058
2020-02-11,4.6,4.6,4.43,4.46,4.46,27600,-0.026200873362445476
2020-02-12,4.46,4.47,4.3,4.35,4.35,24700,-0.024663677130044914
2020-02-13,4.31,4.33,3.9,3.9,3.9,59900,-0.10344827586206895
2020-02-14,3.93,4.27,3.66,4.2,4.2,67900,0.0769230769230771
2020-02-18,4.33,4.41,4.08,4.34,4.34,54200,0.033333333333333215
2020-02-19,4.34,4.54,4.34,4.41,4.41,58300,0.016129032258064502
2020-02-20,4.41,4.95,4.41,4.77,4.77,140600,0.08163265306122436
2020-02-21,4.8,5.12,4.5,4.71,4.71,109700,-0.012578616352201144
2020-02-24,4.81,4.92,4.29,4.78,4.78,170900,0.014861995753715496
2020-02-25,4.54,4.76,2.81,2.87,2.87,558700,-0.39958158995815896
2020-02-26,3.0,3.13,2.62,2.67,2.67,214600,-0.06968641114982588
2020-02-27,2.71,2.75,2.31,2.41,2.41,134700,-0.09737827715355796
2020-02-28,2.44,2.44,2.13,2.2,2.2,138300,-0.08713692946058094
2020-03-02,2.31,2.31,2.02,2.18,2.18,148600,-0.00909090909090915
2020-03-03,2.25,2.45,2.18,2.41,2.41,110400,0.10550458715596323
2020-03-04,2.73,2.76,2.41,2.75,2.75,391100,0.1410788381742738
2020-03-05,2.75,3.34,2.55,3.2,3.2,364100,0.1636363636363638
2020-03-06,3.36,3.36,2.83,2.94,2.94,230900,-0.08125000000000004
2020-03-09,2.93,2.93,2.4,2.75,2.75,186600,-0.06462585034013602
2020-03-10,2.94,3.05,2.57,2.71,2.71,141800,-0.014545454545454528
2020-03-11,2.53,2.64,2.29,2.38,2.38,97000,-0.12177121771217714
2020-03-12,2.2,2.3,2.05,2.19,2.19,74700,-0.07983193277310918
2020-03-13,2.35,2.35,2.06,2.09,2.09,63600,-0.045662100456621
2020-03-16,2.0,2.05,1.76,1.82,1.82,78500,-0.1291866028708133
2020-03-17,1.98,2.11,1.83,2.03,2.03,34600,0.1153846153846152
2020-03-18,3.25,3.6,2.0,2.3,2.3,3380400,0.13300492610837433
2020-03-19,2.32,2.32,1.9,1.98,1.98,566700,-0.13913043478260867
2020-03-20,1.92,2.08,1.63,1.76,1.76,331400,-0.11111111111111105
2020-03-23,1.73,1.73,1.35,1.4,1.4,288100,-0.20454545454545459
2020-03-24,1.5,1.63,1.4,1.48,1.48,213000,0.05714285714285716
2020-03-25,1.48,1.69,1.41,1.54,1.54,230100,0.04054054054054057
2020-03-26,1.64,1.89,1.55,1.71,1.71,297700,0.11038961038961026
2020-03-27,1.78,1.78,1.6,1.65,1.65,124900,-0.03508771929824561
2020-03-30,1.86,1.86,1.65,1.77,1.77,213100,0.07272727272727275
2020-03-31,1.85,1.85,1.59,1.74,1.74,176000,-0.016949152542372947
2020-04-01,1.53,1.67,1.5,1.61,1.61,202300,-0.07471264367816088
2020-04-02,1.58,1.63,1.5,1.58,1.58,94000,-0.018633540372670843
2020-04-03,1.58,1.75,1.56,1.69,1.69,148500,0.06962025316455689
