Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,68.68,68.889999,66.839996,68.370003,68.370003,333300,
2020-01-03,67.599998,68.519997,66.605003,68.239998,68.239998,246200,-0.001901491798969146
2020-01-06,67.599998,70.879997,66.519997,70.529999,70.529999,364800,0.03355804611834845
2020-01-07,70.029999,70.379997,68.029999,68.110001,68.110001,380800,-0.034311612566448546
2020-01-08,69.139999,71.220001,69.040001,70.639999,70.639999,292400,0.03714576365958355
2020-01-09,71.440002,72.644997,71.08000200000001,71.760002,71.760002,343000,0.01585508233090427
2020-01-10,72.699997,75.480003,72.18,75.220001,75.220001,395800,0.04821626119798594
2020-01-13,75.41999799999999,76.0,74.197998,74.980003,74.980003,331200,-0.003190614155934357
2020-01-14,74.809998,80.0,74.5,79.980003,79.980003,523200,0.06668444651836047
2020-01-15,80.0,84.599998,79.150002,84.0,84.0,727900,0.0502625262467169
2020-01-16,84.900002,89.18,84.260002,89.010002,89.010002,562900,0.05964288095238102
2020-01-17,89.18,89.220001,84.75,84.989998,84.989998,570900,-0.04516350870321295
2020-01-21,85.0,87.230003,81.5,82.949997,82.949997,542700,-0.02400283619256005
2020-01-22,83.589996,86.68,82.82,86.089996,86.089996,484400,0.03785411830696028
2020-01-23,85.769997,89.699997,84.730003,89.269997,89.269997,550000,0.03693810137939835
2020-01-24,89.599998,91.93,88.029999,88.620003,88.620003,602800,-0.007281214538407688
2020-01-27,86.459999,88.150002,86.459999,87.959999,87.959999,278100,-0.007447573658962758
2020-01-28,88.0,89.510002,85.010002,87.349998,87.349998,315500,-0.0069349818887559644
2020-01-29,87.889999,89.425003,86.68,88.910004,88.910004,199100,0.01785925627611351
2020-01-30,88.309998,88.945,85.239998,86.870003,86.870003,622600,-0.02294456088428476
2020-01-31,86.709999,86.989998,85.230003,85.629997,85.629997,210500,-0.01427427140758808
2020-02-03,85.839996,86.5,85.050003,86.099998,86.099998,241000,0.005488742455520557
2020-02-04,87.739998,88.690002,85.610001,88.379997,88.379997,414700,0.02648082523764983
2020-02-05,89.150002,89.779999,87.949997,88.720001,88.720001,162600,0.003847069603317488
2020-02-06,89.339996,90.0,88.849998,89.800003,89.800003,217800,0.01217315135061825
2020-02-07,89.510002,89.849998,86.160004,86.5,86.5,162000,-0.036748361801279716
2020-02-10,86.389999,87.775002,85.059998,87.209999,87.209999,261800,0.008208080924855476
2020-02-11,88.279999,88.910004,87.08000200000001,88.589996,88.589996,162200,0.01582383919073327
2020-02-12,89.32,89.32,86.769997,87.519997,87.519997,140800,-0.012078101911190964
2020-02-13,87.099998,89.114998,87.099998,88.889999,88.889999,139600,0.015653588287942943
2020-02-14,89.290001,89.620003,88.099998,89.220001,89.220001,110700,0.0037124761358136027
2020-02-18,89.360001,89.519997,88.175003,88.760002,88.760002,238900,-0.005155783398836711
2020-02-19,89.190002,90.0,87.144997,87.41999799999999,87.41999799999999,183400,-0.015096935216382779
2020-02-20,87.290001,88.769997,86.199997,88.0,88.0,127100,0.006634660412598192
2020-02-21,87.769997,88.730003,86.529999,88.0,88.0,294000,0.0
2020-02-24,84.339996,87.379997,83.003998,86.739998,86.739998,412300,-0.014318204545454516
2020-02-25,87.459999,87.75,80.839996,82.660004,82.660004,375800,-0.047037054347176754
2020-02-26,83.610001,84.209999,80.43,81.040001,81.040001,237500,-0.01959839005088837
2020-02-27,79.0,82.949997,77.639999,80.400002,80.400002,452900,-0.007897322212520708
2020-02-28,75.779999,87.695,75.779999,86.970001,86.970001,885700,0.0817164034398905
2020-03-02,87.209999,88.550003,84.989998,88.019997,88.019997,451300,0.01207308253336703
2020-03-03,87.220001,96.629997,85.410004,95.389999,95.389999,881900,0.08373099580996346
2020-03-04,96.370003,99.639999,93.324997,99.349998,99.349998,472400,0.04151377546402957
2020-03-05,97.889999,104.25,96.464996,101.400002,101.400002,517200,0.020634162468730066
2020-03-06,97.290001,100.68,93.029999,95.720001,95.720001,542400,-0.056015787849787224
2020-03-09,91.900002,91.900002,86.970001,87.339996,87.339996,641300,-0.08754706343975072
2020-03-10,89.989998,90.879997,86.029999,89.099998,89.099998,383400,0.020151157323158086
2020-03-11,87.480003,88.300003,84.32,85.540001,85.540001,445100,-0.03995507384859864
2020-03-12,81.199997,81.199997,75.660004,77.260002,77.260002,391100,-0.09679680737904128
2020-03-13,80.0,80.0,72.5,79.550003,79.550003,380800,0.029640188205017237
2020-03-16,67.0,74.050003,60.279999,62.82,62.82,527400,-0.21030801218197315
2020-03-17,63.849998,70.519997,60.599998,66.139999,66.139999,680800,0.05284939509710296
2020-03-18,64.059998,65.949997,56.540001000000004,57.790001000000004,57.790001000000004,576100,-0.12624732576727127
