Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,17.67,17.73,17.34,17.690001000000002,17.690001000000002,70500,
2020-01-03,17.370001000000002,17.674999,17.34,17.540001,17.540001,26700,-0.008479366394609111
2020-01-06,17.209999,17.57,17.145,17.41,17.41,67800,-0.007411687148706547
2020-01-07,17.33,17.540001,17.09,17.370001000000002,17.370001000000002,51900,-0.0022974727168293407
2020-01-08,17.379998999999998,17.573,17.219998999999998,17.49,17.49,39300,0.0069084048987675395
2020-01-09,17.59,17.635,17.4,17.559998999999998,17.559998999999998,63100,0.004002229845625926
2020-01-10,17.48,17.747999,17.375,17.52,17.52,61800,-0.0022778475101278284
2020-01-13,17.549999,17.75,17.43,17.75,17.75,23000,0.013127853881278462
2020-01-14,17.709999,17.73,17.4,17.530001000000002,17.530001000000002,51800,-0.012394309859154795
2020-01-15,17.469998999999998,17.77,17.469998999999998,17.639999,17.639999,48800,0.006274842768120736
2020-01-16,17.799999,18.0,17.74,17.82,17.82,37200,0.010204138900461457
2020-01-17,17.99,17.99,17.43,17.549999,17.549999,40100,-0.015151571268237962
2020-01-21,17.32,17.42,17.16,17.26,17.26,51700,-0.01652416048570704
2020-01-22,17.34,17.34,16.99,17.01,17.01,24500,-0.014484356894553851
2020-01-23,16.92,17.370001000000002,16.708,17.25,17.25,71000,0.014109347442680775
2020-01-24,17.245001000000002,17.299999,17.030001000000002,17.24,17.24,33300,-0.0005797101449276365
2020-01-27,17.030001000000002,17.25,16.969998999999998,17.129998999999998,17.129998999999998,48500,-0.006380568445475632
2020-01-28,17.209999,17.209999,17.1,17.15,17.15,36600,0.0011676007686864942
2020-01-29,17.049999,17.049999,16.799999,16.809998999999998,16.809998999999998,62000,-0.019825131195335355
2020-01-30,16.709999,16.950001,16.497999,16.92,16.92,37900,0.006543783851504337
2020-01-31,16.860001,16.860001,16.165001,16.18,16.18,50300,-0.043735224586288535
2020-02-03,16.280001000000002,16.540001,16.200001,16.52,16.52,51400,0.021013597033374465
2020-02-04,16.74,16.768,16.309998999999998,16.389999,16.389999,44900,-0.00786930992736079
2020-02-05,16.57,16.76,16.32,16.690001000000002,16.690001000000002,37200,0.01830396694960168
2020-02-06,16.1,16.290001,15.75,16.25,16.25,79300,-0.026363150008199665
2020-02-07,16.07,16.09,15.75,16.049999,16.049999,83300,-0.012307753846153902
2020-02-10,15.92,15.958,15.474,15.67,15.67,69200,-0.023675951630900416
2020-02-11,15.8,16.049999,15.67,15.67,15.67,21400,0.0
2020-02-12,15.64,16.15,15.605,16.129998999999998,16.129998999999998,51100,0.029355392469687214
2020-02-13,16.02,16.09,15.73,15.92,15.92,33500,-0.013019157657728209
2020-02-14,15.92,16.040001,15.79,15.91,15.91,47700,-0.0006281407035175768
2020-02-18,15.87,16.09,15.73,15.78,15.78,31400,-0.008170961659333842
2020-02-19,15.81,15.98,15.75,15.88,15.88,32700,0.006337135614702172
2020-02-20,15.85,16.118,15.85,16.07,16.07,39300,0.011964735516372782
2020-02-21,16.049999,16.139999,15.87,15.94,15.94,46500,-0.008089607965152457
2020-02-24,15.34,15.5,14.795,15.06,15.06,66700,-0.05520702634880792
2020-02-25,15.13,15.21,14.635,14.78,14.78,42600,-0.018592297476759723
2020-02-26,14.91,15.14,14.51,14.6,14.6,27600,-0.012178619756427533
2020-02-27,14.3,14.62,13.87,13.87,13.87,48500,-0.050000000000000044
2020-02-28,13.39,13.9,13.2,13.55,13.55,78400,-0.02307137707281892
2020-03-02,13.71,13.79,13.11,13.75,13.75,99200,0.014760147601476037
2020-03-03,13.68,14.16,13.37,13.37,13.37,58300,-0.02763636363636368
2020-03-04,13.54,13.8,13.33,13.79,13.79,54600,0.03141361256544495
2020-03-05,13.46,13.66,12.93,13.06,13.06,67300,-0.052936910804931014
2020-03-06,12.5,13.18,12.5,12.78,12.78,54300,-0.0214395099540583
2020-03-09,11.96,12.15,11.5,11.61,11.61,64700,-0.09154929577464788
2020-03-10,11.99,12.26,11.315,12.03,12.03,74000,0.036175710594315236
2020-03-11,11.68,11.75,11.23,11.44,11.44,68600,-0.04904405652535326
2020-03-12,10.6,11.17,9.78,10.51,10.51,112500,-0.08129370629370625
2020-03-13,10.97,11.66,10.66,11.42,11.42,95500,0.08658420551855373
2020-03-16,10.25,13.14,10.25,11.98,11.98,136600,0.049036777583187474
2020-03-17,12.35,13.78,12.01,13.53,13.53,139300,0.12938230383973282
2020-03-18,12.41,14.04,11.45,11.46,11.46,124800,-0.1529933481152992
2020-03-19,11.45,13.26,11.45,11.63,11.63,115400,0.014834205933682343
2020-03-20,11.63,12.54,10.69,11.26,11.26,225700,-0.03181427343078258
2020-03-23,11.1,11.61,10.65,11.02,11.02,126400,-0.02131438721136769
2020-03-24,11.43,11.79,10.339,11.09,11.09,159200,0.006352087114337657
2020-03-25,11.01,12.14,10.68,11.84,11.84,79100,0.06762849413886385
2020-03-26,11.85,12.28,11.63,12.16,12.16,64400,0.027027027027026973
2020-03-27,11.82,12.065,10.85,10.86,10.86,87900,-0.10690789473684215
2020-03-30,10.95,11.79,10.701,11.75,11.75,67200,0.08195211786372014
2020-03-31,11.62,11.699,10.6,10.92,10.92,184500,-0.07063829787234044
2020-04-01,10.6,10.73,9.95,10.15,10.15,94200,-0.07051282051282048
2020-04-02,10.03,11.0,10.03,10.99,10.99,75200,0.08275862068965512
2020-04-03,11.03,11.18,10.24,10.49,10.49,46700,-0.04549590536851689
