Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,13.01,13.02,12.65,12.73,12.589188,141600,
2020-01-03,12.73,12.96,12.73,12.96,12.816644,79200,0.018067567185429345
2020-01-06,12.97,13.34,12.94,13.24,13.093546,119900,0.02160487566011815
2020-01-07,13.25,13.25,13.07,13.19,13.0441,301500,-0.003776364324836079
2020-01-08,13.19,13.19,13.06,13.08,12.935315,52400,-0.008339785803543442
2020-01-09,13.12,13.13,12.98,13.02,12.87598,69600,-0.004587054895841325
2020-01-10,13.0,13.14,12.98,13.07,12.925426,91700,0.0038401737188158425
2020-01-13,13.06,13.16,12.97,13.15,13.004541,89100,0.006120881431683545
2020-01-14,13.19,13.19,13.04,13.135,12.989708,73800,-0.001140601579094569
2020-01-15,13.15,13.41,13.11,13.36,13.212218,110500,0.01712971530999763
2020-01-16,13.4,13.475,13.32,13.44,13.291332999999998,122000,0.005988018060252953
2020-01-17,13.47,13.49,13.35,13.43,13.281445000000001,92100,-0.0007439434404357126
2020-01-21,13.4,13.46,13.33,13.42,13.271554,100100,-0.0007447231833584977
2020-01-22,13.4,13.41,13.22,13.26,13.113323999999999,72800,-0.011922492271816965
2020-01-23,13.19,13.42,13.137,13.4,13.296548999999999,58700,0.013972429873615688
2020-01-24,13.44,13.61,13.41,13.51,13.4057,93900,0.008208972117502045
2020-01-27,13.51,13.76,13.51,13.61,13.504926999999999,95300,0.007401851451248387
2020-01-28,13.58,13.635,13.385,13.45,13.346163,77000,-0.011756005789590573
2020-01-29,13.42,13.55,13.33,13.49,13.385854,264000,0.002973963378088529
2020-01-30,13.45,13.52,13.395,13.46,13.356086,71000,-0.002223840182329795
2020-01-31,13.58,13.58,13.19,13.23,13.127862,99000,-0.017087640795364734
2020-02-03,13.25,13.42,13.2,13.3,13.197320999999999,107100,0.005290960553972823
2020-02-04,13.31,13.36,13.15,13.27,13.167553,90500,-0.002255609301311856
2020-02-05,13.34,13.5,13.27,13.5,13.395778,96400,0.017332377549571953
2020-02-06,13.5,13.57,13.4,13.53,13.425545999999999,75200,0.002222192693847269
2020-02-07,13.53,13.62,13.44,13.46,13.356086,62100,-0.005173718819331374
2020-02-10,13.51,13.57,13.5,13.56,13.455314999999999,59800,0.007429496934955315
2020-02-11,13.58,13.73,13.54,13.64,13.534697,80400,0.005899676075959537
2020-02-12,13.7,13.79,13.68,13.75,13.643847000000001,79100,0.008064458332535995
2020-02-13,13.75,13.96,13.73,13.96,13.852225,60400,0.015272671996395148
2020-02-14,13.97,14.0,13.93,14.0,13.891916,60900,0.002865315860809403
2020-02-18,13.95,13.98,13.81,13.93,13.866682,62700,-0.0018164521006317491
2020-02-19,13.93,13.93,13.69,13.9,13.836818,71900,-0.0021536514647124694
2020-02-20,13.99,14.44,13.92,14.33,14.264864000000001,154000,0.030935291625574735
2020-02-21,14.33,14.39,14.21,14.38,14.314635999999998,134600,0.003489132458605715
2020-02-24,14.19,14.26,14.0,14.01,13.946319,123200,-0.025730098900174414
2020-02-25,14.13,14.13,13.69,13.835,13.772114000000002,127400,-0.012491109661266098
2020-02-26,14.0,14.4,13.97,14.17,14.105591,132800,0.024213929684288038
2020-02-27,14.07,14.07,13.34,13.7,13.637726999999998,201500,-0.033168691762011426
2020-02-28,13.43,13.65,13.21,13.43,13.368955,210500,-0.019707976263199756
2020-03-02,13.5,13.99,13.5,13.88,13.816908999999999,155800,0.03350703177623071
2020-03-03,13.9,14.12,13.75,13.92,13.856728,135200,0.0028819036153455713
2020-03-04,14.05,14.25,14.04,14.19,14.1255,97200,0.019396498220936476
2020-03-05,14.16,14.24,13.96,14.18,14.115545999999998,110800,-0.000704683020070207
2020-03-06,13.94,14.0,13.43,13.9,13.836818,124900,-0.01974617205738971
2020-03-09,13.4,13.475,12.573,12.73,12.672136,242400,-0.08417267611671986
2020-03-10,13.18,13.41,12.6,13.19,13.130045,168800,0.03613510776715145
2020-03-11,13.0,13.0,12.55,12.69,12.632318,170800,-0.03790748622719886
2020-03-12,12.43,12.7,11.21,11.27,11.218772999999999,330900,-0.11189909880356086
2020-03-13,11.33,11.77,10.64,11.25,11.198864,287500,-0.001774614746193559
2020-03-16,9.85,10.28,9.61,9.66,9.616091,285800,-0.1413333530972427
2020-03-17,9.8,11.065,9.8,10.91,10.860408999999999,208100,0.12939956579029865
2020-03-18,10.52,10.83,9.78,9.9,9.855,221200,-0.09257561110267565
2020-03-19,9.8,10.68,9.69,10.22,10.22,220100,0.03703703703703698
2020-03-20,10.35,11.19,10.02,10.51,10.51,294600,0.02837573385518577
2020-03-23,10.61,10.92,10.03,10.55,10.55,206600,0.0038058991436726863
2020-03-24,11.11,11.2,9.96,10.19,10.19,239500,-0.034123222748815296
2020-03-25,10.19,10.834,10.02,10.42,10.42,201600,0.02257114818449457
2020-03-26,10.53,11.429,10.53,11.14,11.14,306100,0.06909788867562394
2020-03-27,10.89,11.34,10.81,11.0,11.0,243300,-0.012567324955116699
2020-03-30,11.25,11.72,10.8,11.7,11.7,222900,0.06363636363636349
2020-03-31,11.74,12.0,11.2,11.85,11.85,259800,0.012820512820512775
2020-04-01,11.7,11.725,11.03,11.48,11.48,175100,-0.03122362869198303
2020-04-02,11.48,11.78,11.22,11.73,11.73,149400,0.021777003484320545
2020-04-03,11.69,11.69,11.13,11.61,11.61,135500,-0.010230179028133057
