Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,17.42,17.42,17.129998999999998,17.299999,17.16684,88400,
2020-01-03,17.09,17.24,17.0,17.190001000000002,17.057688,93700,-0.006358304731680531
2020-01-06,17.01,17.17,16.889999,17.139999,17.008072,125400,-0.0029087177582330925
2020-01-07,17.030001000000002,17.030001000000002,16.83,16.93,16.79969,75500,-0.012251947193073986
2020-01-08,16.91,17.1,16.879998999999998,17.040001,16.908844000000002,41700,0.0064973817969262715
2020-01-09,17.040001,17.120001000000002,16.959999,17.01,16.879074,76500,-0.0017606171066456566
2020-01-10,16.950001,17.040001,16.83,16.92,16.789766,101600,-0.00529104854922724
2020-01-13,16.91,17.09,16.809998999999998,17.049999,16.918764000000003,228700,0.007683132689282335
2020-01-14,17.0,17.040001,16.92,16.93,16.79969,106900,-0.007037984571450107
2020-01-15,16.860001,16.889999,16.77,16.889999,16.759995999999997,146300,-0.0023627816941860225
2020-01-16,16.99,17.08,16.950001,17.030001000000002,16.89892,111100,0.008289023458001088
2020-01-17,17.16,17.16,16.92,16.969998999999998,16.83938,91100,-0.0035233020808431714
2020-01-21,16.809998999999998,16.91,16.75,16.77,16.640921,72000,-0.011785410151680109
2020-01-22,16.780001000000002,16.92,16.639999,16.690001000000002,16.561537,56900,-0.004770409041662815
2020-01-23,16.559998999999998,16.77,16.440001000000002,16.719998999999998,16.591305,106400,0.0017974177155173354
2020-01-24,16.85,17.09,16.43,16.43,16.303537,181900,-0.017344506655745273
2020-01-27,16.280001000000002,16.98,16.280001000000002,16.76,16.630999,396000,0.02008533485709263
2020-01-28,16.889999,16.889999,16.700001,16.73,16.601229,133800,-0.001790030773256568
2020-01-29,16.709999,16.799999,16.440001000000002,16.450001,16.323385000000002,113000,-0.01673635126652362
2020-01-30,16.379998999999998,16.610001,16.34,16.59,16.462307,66700,0.00851061222901972
2020-01-31,16.49,16.52,16.200001,16.24,16.115,117300,-0.021097103826335006
2020-02-03,16.219998999999998,16.34,16.200001,16.27,16.27,94000,0.009618367980142706
2020-02-04,16.42,16.639999,16.42,16.5,16.5,119400,0.0141364474492931
2020-02-05,16.67,16.860001,16.66,16.74,16.74,129600,0.014545454545454417
2020-02-06,16.84,16.93,16.719998999999998,16.719998999999998,16.719998999999998,101000,-0.0011948028673834932
2020-02-07,16.67,16.67,16.42,16.469998999999998,16.469998999999998,260900,-0.014952154004315488
2020-02-10,16.43,16.51,16.4,16.48,16.48,35500,0.0006072252949136381
2020-02-11,16.540001,16.73,16.540001,16.610001,16.610001,50500,0.007888410194174744
2020-02-12,16.75,16.76,16.57,16.719998999999998,16.719998999999998,134400,0.006622395748199894
2020-02-13,16.76,16.91,16.620001000000002,16.9,16.9,122700,0.010765610691723104
2020-02-14,16.950001,16.950001,16.709999,16.719998999999998,16.719998999999998,89500,-0.010650946745562218
2020-02-18,16.58,16.73,16.450001,16.530001000000002,16.530001000000002,102000,-0.011363517426047465
2020-02-19,16.52,16.700001,16.52,16.65,16.65,74500,0.007259467195434244
2020-02-20,16.59,16.77,16.58,16.73,16.73,108600,0.00480480480480483
2020-02-21,16.700001,16.700001,16.459999,16.58,16.58,69600,-0.00896592946802166
2020-02-24,16.200001,16.280001000000002,16.110001,16.18,16.18,123900,-0.024125452352231513
2020-02-25,16.16,16.440001000000002,15.43,15.56,15.56,134200,-0.03831891223732997
2020-02-26,15.64,15.8,15.49,15.56,15.56,84200,0.0
2020-02-27,15.26,15.65,15.02,15.02,15.02,176900,-0.03470437017994865
2020-02-28,14.58,14.8,14.06,14.41,14.41,291500,-0.04061251664447396
2020-03-02,14.42,15.16,14.36,15.15,15.15,106600,0.051353226925745954
2020-03-03,15.03,15.23,14.46,14.57,14.57,121100,-0.03828382838283828
2020-03-04,14.7,14.76,14.3,14.73,14.73,97300,0.010981468771448233
2020-03-05,14.43,14.46,13.85,14.06,14.06,179300,-0.04548540393754241
2020-03-06,13.5,13.92,13.37,13.71,13.71,154900,-0.024893314366998598
2020-03-09,12.64,12.79,11.92,12.19,12.19,145400,-0.11086797957695127
2020-03-10,12.67,12.77,11.98,12.54,12.54,141000,0.028712059064807116
2020-03-11,12.19,12.37,11.7,11.82,11.82,157100,-0.0574162679425837
2020-03-12,11.06,12.03,10.75,10.89,10.89,273800,-0.07868020304568524
