Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,7.03,7.38,7.03,7.31,7.263433,30200,
2020-01-03,7.17,7.36,7.08,7.17,7.1243240000000005,11600,-0.019151962990503146
2020-01-06,7.08,7.28,6.93,7.14,7.0945149999999995,13900,-0.00418411627545312
2020-01-07,7.06,7.25,6.97,7.22,7.174005999999999,5100,0.011204571418905962
2020-01-08,7.27,7.46,7.09,7.29,7.24356,12800,0.0096952804332755
2020-01-09,7.12,7.45,6.88,7.3,7.253497,26000,0.0013718392613577546
2020-01-10,7.11,7.31,6.93,7.09,7.044834,17300,-0.02876722772477891
2020-01-13,7.19,7.22,7.06,7.17,7.1243240000000005,6100,0.011283445429658201
2020-01-14,6.85,7.35,6.85,7.23,7.183942,16600,0.008368232550905796
2020-01-15,7.28,7.47,6.88,6.96,6.915661999999999,21100,-0.037344399495430336
2020-01-16,7.06,7.25,6.83,7.22,7.174005999999999,11900,0.03735636588369995
2020-01-17,7.37,7.37,7.1,7.14,7.0945149999999995,14400,-0.01108042006098131
2020-01-21,6.57,7.17,6.57,7.01,6.965344,18400,-0.01820716426704283
2020-01-22,7.14,7.14,6.7,6.9,6.856045,11200,-0.015691830870090517
2020-01-23,6.7,7.1,6.7,6.95,6.905726,22800,0.007246305997116398
2020-01-24,7.03,7.03,6.72,6.9,6.856045,15200,-0.007194174805081999
2020-01-27,6.96,7.08,6.94,6.95,6.905726,12500,0.007246305997116398
2020-01-28,7.0,7.0,6.54,6.69,6.647382,22400,-0.03741011444705444
2020-01-29,6.62,6.75,6.3,6.75,6.707,21400,0.00896864359532823
2020-01-30,6.61,6.61,6.4,6.47,6.47,2600,-0.03533621589384228
2020-01-31,6.49,6.9,6.43,6.77,6.77,49900,0.04636785162287471
2020-02-03,6.85,6.92,6.68,6.84,6.84,22500,0.010339734121122657
2020-02-04,6.9,6.94,6.69,6.69,6.69,4000,-0.021929824561403466
2020-02-05,6.78,6.93,6.78,6.92,6.92,4600,0.034379671150971625
2020-02-06,6.96,7.02,6.87,6.99,6.99,32500,0.010115606936416333
2020-02-07,7.01,7.01,6.75,6.86,6.86,9200,-0.01859799713876964
2020-02-10,6.79,6.95,6.79,6.91,6.91,8400,0.007288629737609353
2020-02-11,6.98,7.47,6.9,7.25,7.25,12200,0.04920405209840806
2020-02-12,7.13,7.26,7.07,7.21,7.21,3300,-0.0055172413793103114
2020-02-13,7.01,7.2,7.01,7.2,7.2,5700,-0.001386962552011095
2020-02-14,7.2,7.31,7.2,7.21,7.21,8000,0.001388888888888884
2020-02-18,7.25,7.25,7.02,7.1,7.1,5500,-0.015256588072122046
2020-02-19,7.06,7.14,7.06,7.07,7.07,4200,-0.00422535211267594
2020-02-20,7.03,7.43,7.02,7.35,7.35,14700,0.03960396039603942
2020-02-21,7.39,7.39,7.23,7.26,7.26,8300,-0.01224489795918371
2020-02-24,7.06,7.19,7.04,7.04,7.04,6800,-0.030303030303030276
2020-02-25,6.93,6.93,6.56,6.56,6.56,31400,-0.06818181818181823
2020-02-26,6.55,6.6,6.5,6.56,6.56,10400,0.0
2020-02-27,6.41,6.54,6.2,6.2,6.2,12200,-0.05487804878048774
2020-02-28,6.19,6.75,5.79,6.36,6.36,33600,0.02580645161290329
2020-03-02,6.4,6.43,6.12,6.15,6.15,18000,-0.03301886792452835
2020-03-03,6.04,6.14,6.01,6.14,6.14,11900,-0.001626016260162677
2020-03-04,6.17,6.19,6.05,6.14,6.14,21300,0.0
2020-03-05,6.12,6.12,5.8,5.92,5.92,22000,-0.03583061889250816
2020-03-06,5.81,6.17,5.77,6.02,6.02,16900,0.016891891891891886
2020-03-09,5.76,5.89,5.47,5.6,5.6,28600,-0.06976744186046513
2020-03-10,5.67,6.38,4.38,6.38,6.38,22200,0.13928571428571423
2020-03-11,6.49,6.49,5.5,6.39,6.39,51700,0.0015673981191222097
2020-03-12,5.65,6.35,4.78,5.03,5.03,67400,-0.21283255086071984
2020-03-13,5.06,5.95,5.0,5.33,5.33,48200,0.059642147117296096
2020-03-16,5.0,5.49,4.69,5.23,5.23,35000,-0.018761726078799223
2020-03-17,5.08,6.35,4.83,6.35,6.35,31700,0.21414913957934978
2020-03-18,5.56,5.99,4.8,4.8,4.8,34100,-0.2440944881889764
2020-03-19,4.58,5.15,4.06,5.15,5.15,42300,0.07291666666666674
2020-03-20,5.13,5.3,4.46,5.01,5.01,51100,-0.027184466019417597
2020-03-23,5.16,5.36,4.71,5.36,5.36,23500,0.06986027944111783
2020-03-24,5.77,6.01,5.02,5.37,5.37,56500,0.001865671641791078
2020-03-25,5.19,5.71,5.18,5.44,5.44,45300,0.013035381750465591
2020-03-26,6.14,6.75,5.2,5.43,5.43,40100,-0.0018382352941177516
2020-03-27,5.5,5.5,5.25,5.26,5.26,10200,-0.03130755064456725
2020-03-30,5.29,5.48,5.27,5.48,5.48,18000,0.041825095057034245
2020-03-31,5.77,5.79,5.23,5.65,5.65,30600,0.031021897810219023
2020-04-01,5.85,6.0,4.7,4.72,4.72,32500,-0.16460176991150455
2020-04-02,5.06,5.06,4.26,4.35,4.35,20800,-0.07838983050847459
2020-04-03,4.28,4.28,3.26,3.51,3.51,85000,-0.193103448275862
