Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,6.0,6.3,5.96,6.24,6.24,187600,
2020-01-03,6.25,6.53,6.07,6.21,6.21,423500,-0.004807692307692402
2020-01-06,6.21,6.59,6.18,6.42,6.42,341000,0.033816425120772875
2020-01-07,6.45,6.5,6.18,6.35,6.35,237100,-0.010903426791277315
2020-01-08,6.34,6.45,5.88,6.04,6.04,262700,-0.04881889763779523
2020-01-09,6.01,6.21,5.89,6.15,6.15,156900,0.018211920529801473
2020-01-10,6.17,6.46,6.06,6.38,6.38,160200,0.0373983739837398
2020-01-13,6.36,6.54,6.12,6.44,6.44,269300,0.009404388714733702
2020-01-14,6.47,6.52,6.25,6.31,6.31,138000,-0.02018633540372683
2020-01-15,6.31,6.44,6.14,6.21,6.21,116700,-0.015847860538827252
2020-01-16,6.28,6.49,6.19,6.44,6.44,194800,0.0370370370370372
2020-01-17,6.4,6.87,6.4,6.49,6.49,178000,0.007763975155279379
2020-01-21,6.65,6.88,6.5,6.81,6.81,239600,0.04930662557781185
2020-01-22,6.88,7.37,6.88,7.31,7.31,451900,0.07342143906020548
2020-01-23,7.35,7.49,7.05,7.26,7.26,247200,-0.0068399452804377425
2020-01-24,7.25,7.37,7.1,7.27,7.27,213200,0.0013774104683195176
2020-01-27,7.08,7.25,6.75,7.08,7.08,159600,-0.026134800550206227
2020-01-28,7.09,7.09,6.59,6.64,6.64,234800,-0.062146892655367325
2020-01-29,6.66,6.68,6.32,6.5,6.5,181700,-0.02108433734939752
2020-01-30,6.47,6.75,6.46,6.69,6.69,101400,0.029230769230769393
2020-01-31,6.71,6.71,6.3,6.5,6.5,136800,-0.02840059790732441
2020-02-03,6.43,6.71,6.16,6.16,6.16,204400,-0.05230769230769228
2020-02-04,6.14,6.25,5.91,5.96,5.96,135700,-0.032467532467532534
2020-02-05,6.09,6.4,5.94,6.4,6.4,142500,0.0738255033557047
2020-02-06,6.42,6.65,6.3,6.59,6.59,109800,0.029687499999999867
2020-02-07,6.56,6.75,6.39,6.75,6.75,64900,0.02427921092564489
2020-02-10,6.68,6.76,6.28,6.5,6.5,233100,-0.03703703703703709
2020-02-11,6.53,6.7,6.45,6.53,6.53,132000,0.004615384615384688
2020-02-12,6.58,6.94,6.5,6.9,6.9,98000,0.05666156202143946
2020-02-13,6.9,6.98,6.65,6.7,6.7,214700,-0.02898550724637683
2020-02-14,6.7,6.81,6.25,6.33,6.33,159300,-0.055223880597014885
2020-02-18,6.32,6.55,6.2,6.51,6.51,114100,0.02843601895734582
2020-02-19,6.54,6.71,6.39,6.61,6.61,198500,0.015360983102918668
2020-02-20,6.63,6.68,6.31,6.36,6.36,104300,-0.03782148260211804
2020-02-21,6.34,6.4,6.15,6.36,6.36,83500,0.0
2020-02-24,6.2,6.21,5.85,6.0,6.0,305300,-0.05660377358490576
2020-02-25,6.04,6.15,5.52,5.67,5.67,100300,-0.05500000000000005
2020-02-26,5.64,5.73,5.26,5.32,5.32,87300,-0.061728395061728336
2020-02-27,5.25,5.33,4.79,5.01,5.01,199700,-0.05827067669172936
2020-02-28,4.84,5.16,4.84,5.11,5.11,130600,0.019960079840319445
2020-03-02,5.16,5.27,4.95,5.04,5.04,162200,-0.013698630136986356
2020-03-03,5.08,5.18,4.4,4.4,4.4,375700,-0.12698412698412687
2020-03-04,4.5,4.81,4.5,4.71,4.71,226200,0.07045454545454533
2020-03-05,4.63,4.7,4.33,4.46,4.46,133100,-0.05307855626326963
2020-03-06,4.31,4.5,4.08,4.21,4.21,246300,-0.056053811659192876
2020-03-09,3.87,3.9,2.95,3.6,3.6,265800,-0.1448931116389548
2020-03-10,3.82,3.95,3.57,3.82,3.82,136400,0.061111111111111116
2020-03-11,3.75,3.94,3.58,3.67,3.67,254800,-0.03926701570680624
2020-03-12,3.47,3.5,3.16,3.33,3.33,232400,-0.09264305177111709
2020-03-13,3.5,3.75,3.33,3.56,3.56,665800,0.06906906906906896
2020-03-16,3.1,3.37,3.1,3.21,3.21,151100,-0.09831460674157311
2020-03-17,3.24,3.67,3.15,3.5,3.5,120300,0.09034267912772598
2020-03-18,3.28,3.51,3.04,3.5,3.5,197100,0.0
2020-03-19,3.42,3.86,3.37,3.78,3.78,108600,0.07999999999999985
2020-03-20,3.8,4.0,3.4,3.47,3.47,141100,-0.08201058201058187
2020-03-23,3.49,3.55,3.28,3.39,3.39,172000,-0.023054755043227737
2020-03-24,3.53,3.73,3.27,3.64,3.64,167700,0.07374631268436582
2020-03-25,3.7,4.13,3.47,3.97,3.97,205300,0.09065934065934078
2020-03-26,3.84,4.42,3.75,4.05,4.05,610700,0.02015113350125941
2020-03-27,3.97,4.09,3.77,3.91,3.91,145500,-0.03456790123456788
2020-03-30,3.86,4.01,3.76,4.0,4.0,351000,0.023017902813299296
2020-03-31,4.0,4.49,4.0,4.29,4.29,142800,0.07250000000000001
2020-04-01,4.14,4.14,3.9,3.97,3.97,87000,-0.07459207459207451
2020-04-02,3.96,4.19,3.8,4.03,4.03,73800,0.015113350125944613
2020-04-03,4.07,4.19,3.95,4.1,4.1,40900,0.017369727047146233
