Date,Open,High,Low,Close,Adj Close,Volume,Daily Return
2020-01-02,0.45,0.45,0.41,0.43,0.43,131000,
2020-01-03,0.45,0.48,0.42,0.45,0.45,420100,0.04651162790697683
2020-01-06,0.49,0.5,0.48,0.5,0.5,328200,0.11111111111111116
2020-01-07,0.49,0.5,0.46,0.49,0.49,186800,-0.020000000000000018
2020-01-08,0.65,0.74,0.51,0.54,0.54,1997400,0.10204081632653073
2020-01-09,0.6,0.6,0.51,0.56,0.56,501200,0.03703703703703698
2020-01-10,0.56,0.57,0.52,0.56,0.56,250600,0.0
2020-01-13,0.54,0.56,0.53,0.56,0.56,115500,0.0
2020-01-14,0.53,0.59,0.53,0.59,0.59,233400,0.05357142857142838
2020-01-15,0.58,0.7,0.58,0.7,0.7,767500,0.18644067796610164
2020-01-16,0.71,0.73,0.65,0.68,0.68,279300,-0.02857142857142847
2020-01-17,0.7,0.75,0.65,0.72,0.72,520600,0.0588235294117645
2020-01-21,0.74,0.74,0.65,0.7,0.7,247400,-0.02777777777777779
2020-01-22,0.69,0.7,0.65,0.67,0.67,199300,-0.042857142857142705
2020-01-23,0.72,0.72,0.66,0.7,0.7,197900,0.04477611940298498
2020-01-24,0.7,0.72,0.68,0.7,0.7,174400,0.0
2020-01-27,0.7,0.75,0.69,0.71,0.71,264000,0.014285714285714235
2020-01-28,0.7,0.73,0.69,0.71,0.71,87600,0.0
2020-01-29,0.73,0.73,0.7,0.72,0.72,86400,0.014084507042253502
2020-01-30,0.71,0.72,0.71,0.71,0.71,142600,-0.01388888888888895
2020-01-31,0.72,0.77,0.71,0.75,0.75,514000,0.05633802816901423
2020-02-03,0.77,0.85,0.74,0.76,0.76,532200,0.01333333333333342
2020-02-04,0.76,0.76,0.71,0.72,0.72,250600,-0.052631578947368474
2020-02-05,0.71,0.76,0.65,0.76,0.76,116800,0.05555555555555558
2020-02-06,0.74,0.74,0.69,0.69,0.69,94200,-0.0921052631578948
2020-02-07,0.7,0.72,0.66,0.69,0.69,154200,0.0
2020-02-10,0.68,0.7,0.68,0.68,0.68,166000,-0.014492753623188248
2020-02-11,0.72,0.73,0.66,0.68,0.68,275100,0.0
2020-02-12,0.68,0.7,0.65,0.67,0.67,201100,-0.014705882352941235
2020-02-13,0.68,0.69,0.62,0.63,0.63,192900,-0.059701492537313494
2020-02-14,0.63,0.67,0.61,0.62,0.62,169700,-0.015873015873015928
2020-02-18,0.61,0.67,0.61,0.66,0.66,144100,0.06451612903225823
2020-02-19,0.66,0.68,0.57,0.6,0.6,270300,-0.09090909090909094
2020-02-20,0.62,0.64,0.6,0.62,0.62,101700,0.03333333333333344
2020-02-21,0.63,0.67,0.61,0.67,0.67,153600,0.08064516129032273
2020-02-24,0.69,0.7,0.55,0.59,0.59,740600,-0.11940298507462699
2020-02-25,0.62,0.64,0.55,0.56,0.56,218200,-0.05084745762711851
2020-02-26,0.55,0.6,0.53,0.57,0.57,306500,0.01785714285714257
2020-02-27,0.59,0.59,0.46,0.51,0.51,558100,-0.10526315789473673
2020-02-28,0.46,0.52,0.46,0.5,0.5,260800,-0.019607843137254943
2020-03-02,0.5,0.6,0.5,0.51,0.51,135300,0.020000000000000018
2020-03-03,0.54,0.6,0.49,0.57,0.57,307900,0.11764705882352922
2020-03-04,0.57,0.58,0.54,0.54,0.54,111500,-0.05263157894736825
2020-03-05,0.53,0.55,0.5,0.53,0.53,245900,-0.01851851851851849
2020-03-06,0.53,0.54,0.49,0.5,0.5,177500,-0.05660377358490576
2020-03-09,0.49,0.54,0.47,0.47,0.47,201100,-0.06000000000000005
2020-03-10,0.47,0.53,0.47,0.48,0.48,140400,0.02127659574468077
2020-03-11,0.49,0.5,0.47,0.48,0.48,113200,0.0
2020-03-12,0.47,0.48,0.43,0.47,0.47,192700,-0.02083333333333337
2020-03-13,0.46,0.51,0.37,0.41,0.41,302900,-0.12765957446808507
2020-03-16,0.4,0.4,0.37,0.4,0.4,191500,-0.024390243902438935
2020-03-17,0.4,0.52,0.38,0.45,0.45,631800,0.125
2020-03-18,0.45,0.46,0.4,0.43,0.43,227200,-0.04444444444444451
2020-03-19,0.44,0.46,0.33,0.42,0.42,434200,-0.023255813953488413
2020-03-20,0.42,0.43,0.39,0.43,0.43,167600,0.023809523809523725
2020-03-23,0.42,0.42,0.38,0.4,0.4,302000,-0.06976744186046502
2020-03-24,0.42,0.49,0.41,0.43,0.43,402800,0.07499999999999996
2020-03-25,0.45,0.45,0.41,0.41,0.41,145900,-0.04651162790697683
2020-03-26,0.42,0.49,0.42,0.42,0.42,402000,0.024390243902439046
2020-03-27,0.42,0.49,0.41,0.49,0.49,227900,0.16666666666666674
2020-03-30,0.44,0.44,0.4,0.4,0.4,277900,-0.18367346938775508
2020-03-31,0.4,0.42,0.4,0.41,0.41,166400,0.02499999999999991
2020-04-01,0.4,0.41,0.38,0.39,0.39,190100,-0.04878048780487798
2020-04-02,0.45,0.45,0.38,0.39,0.39,91100,0.0
2020-04-03,0.4,0.4,0.35,0.37,0.37,167500,-0.05128205128205132
